3poke_walk.dat
3poke_walk_kusa_01	[~ 0]
3poke_walk_kusa_02	[~ 1]
3poke_walk_honoo_01	[~ 2]
3poke_walk_honoo_02	[~ 3]
3poke_walk_mizu_01	[~ 4]
3poke_walk_mizu_02	[~ 5]
3poke_walk_kusa_01a	[~ 6]
3poke_walk_kusa_02a	[~ 7]
3poke_walk_honoo_01a	[~ 8]
3poke_walk_honoo_02a	[~ 9]
3poke_walk_mizu_01a	[~ 10]
3poke_walk_mizu_02a	[~ 11]
3poke_walk_kusa_01b	[~ 12]
3poke_walk_kusa_02b	[~ 13]
3poke_walk_honoo_01b	[~ 14]
3poke_walk_honoo_02b	[~ 15]
3poke_walk_mizu_01b	[~ 16]
3poke_walk_mizu_02b	[~ 17]
ajito_aku_010.tbl
ajito_aku_010_sitappa_a_01	好了好了！站住！[VAR 0114(002D)]
ajito_aku_010_sitappa_b_01	這前面是我們\n天星隊惡幫班……\r\n通稱閣道二小隊的基地。[VAR 0114(002E)]
ajito_aku_010_sitappa_a_02	沒錯～所以別搞什麼擅自入侵，\n饒了我們吧！[VAR 0114(002D)]
ajito_aku_010_sitappa_b_02	抱歉啊。如果[VAR 1100(00FF,0101)]你妳不離開的話，\n我們就得把[VAR 1100(00FF,0101)]你妳趕走。[VAR 0114(002E)]
ajito_aku_010_sitappa_a_03	咦～該不會……\n[VAR 1100(00FF,0101)]你妳是[VAR 0100(0000)]？[VAR 0114(002D)]
ajito_aku_010_sitappa_a_04	就是那個向天星隊挑釁，\n現在被通緝中的傢伙？[VAR 0114(002D)]
ajito_aku_010_select_01	或許是
ajito_aku_010_select_02	才不是！
ajito_aku_010_sitappa_b_03	欸，或許是……？\n[VAR 1100(00FF,0101)]你妳這麼老實反而嚇到我了。[VAR 0114(002E)]
ajito_aku_010_sitappa_b_04	正是被通緝中的傢伙，\n才會強調自己不是那個人……！[VAR 0114(002E)]
ajito_aku_010_sitappa_a_05	不管[VAR 1100(00FF,0101)]你妳是何方神聖，快閃一邊去！\n不然就等著輸給我吧！[VAR 0114(002D)]
ajito_aku_010_select_03	我會贏的！
ajito_aku_010_select_04	我現在就走……
ajito_aku_010_sitappa_b_05	那[VAR 1100(00FF,0101)]你妳就趕快走吧。\n今天星苦了～！[VAR 0114(002E)]
