3poke_walk.dat
3poke_walk_kusa_01	[~ 0]
3poke_walk_kusa_02	[~ 1]
3poke_walk_honoo_01	[~ 2]
3poke_walk_honoo_02	[~ 3]
3poke_walk_mizu_01	[~ 4]
3poke_walk_mizu_02	[~ 5]
3poke_walk_kusa_01a	[~ 6]
3poke_walk_kusa_02a	[~ 7]
3poke_walk_honoo_01a	[~ 8]
3poke_walk_honoo_02a	[~ 9]
3poke_walk_mizu_01a	[~ 10]
3poke_walk_mizu_02a	[~ 11]
3poke_walk_kusa_01b	[~ 12]
3poke_walk_kusa_02b	[~ 13]
3poke_walk_honoo_01b	[~ 14]
3poke_walk_honoo_02b	[~ 15]
3poke_walk_mizu_01b	[~ 16]
3poke_walk_mizu_02b	[~ 17]
ajito_aku_010.tbl
ajito_aku_010_sitappa_a_01	Whoa, whoa! Hold it, you![VAR 0114(002D)]
ajito_aku_010_sitappa_b_01	Up ahead’s the base of operations for Team\nStar’s Dark crew.\c\nYou may know us as the Segin Squad![VAR 0114(002E)]
ajito_aku_010_sitappa_a_02	Yup! And we don’t take too kindly to random\nkids sniffing around our turf.[VAR 0114(002D)]
ajito_aku_010_sitappa_b_02	Sorry, but if you don’t turn yourself around here,\namig[VAR 1100(00FF,0101)]oa, we’ll have to send you packing![VAR 0114(002E)]
ajito_aku_010_sitappa_a_03	Wait, hold up...\c\nJust going on a hunch here, but...are you that\n[VAR 0100(0000)] kid?[VAR 0114(002D)]
ajito_aku_010_sitappa_a_04	Y’know, that piece of work we’re out to get for\ndeclaring war on Team Star?[VAR 0114(002D)]
ajito_aku_010_select_01	Maybe I am
ajito_aku_010_select_02	You’ve got it all wrong!
ajito_aku_010_sitappa_b_03	“Maybe I am,” [VAR 1100(00FF,0100)]she says. Cool as a cucumber!\nHonesty’s not always the best policy, you know...[VAR 0114(002E)]
ajito_aku_010_sitappa_b_04	Talk about suspicious! That’s exactly what\nsomeone trying to slip under the radar would say![VAR 0114(002E)]
ajito_aku_010_sitappa_a_05	Ugh, you know what? Doesn’t matter who you\nare. You’re not gettin’ through.\c\nBuzz off or get thrashed by me in battle, kid.\nWhat’ll it be?[VAR 0114(002D)]
ajito_aku_010_select_03	I’ll take you on!
ajito_aku_010_select_04	I’ll get out of your hair...
ajito_aku_010_sitappa_b_05	Have a nice walk back, then! Hasta la vistar! ☆[VAR 0114(002E)]
