MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR4\PreloadMP4.pak\Cinematics_ChronoTower.MSBT
TrialMessage_1	{r2[えら　]}選{/r2}ばれし{r2[もの　]}者{/r2}…
TrialMessage_2	{r2[われ　]}我{/r2}らが{r2[きゅうせいしゅ　]}救世主{/r2}よ…
TrialMessage_3	これを{r2[さず　]}授{/r2}ける…
ct_2010_SC010_BossIntro_subtitles	これが マスターテレポーター…{[0004]}ねえ みんな…{[0004]}{r2[しん]}信{/r2}じられないよ…{[0004]}{r2[ほんとう]}本当{/r2}に{r2[もど]}戻{/r2}れるんだね…{[0004]}サムス！{[0004]}サムス？{[0004]}サムスよ{[0004]}この{r2[とき]}時{/r2}を{r2[ま]}待{/r2}っていた{[0004]}サイラックス！{[0004]}{r2[かま]}構{/r2}え！
ct_2010_SC010_LastLamorn_subtitles	ようこそ…{[0004]}{r2[わ]}我{/r2}が{r2[な]}名{/r2}は\nシャトヤント・ヴールーン{[0004]}ラモーンの\n{r2[さいご]}最後{/r2}に{r2[い]}生{/r2}き{r2[のこ]}残{/r2}った{r2[しさい]}司祭{/r2}である{[0004]}そなたは {r2[ふる]}古{/r2}き{r2[よげん]}予言{/r2}に{r2[しる]}記{/r2}された\n「{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}」{[0004]}{r2[われ]}我{/r2}らラモーンは{r2[ほろ]}滅{/r2}びる{[0004]}しかし…{[0004]}その{r2[れきし]}歴史{/r2}と{r2[ちしき]}知識{/r2}を\n{r2[こうせい]}後世{/r2}に{r2[のこ]}残{/r2}すことで{[0004]}ラモーンの{r2[たましい]}魂{/r2}は\n{r2[い]}生{/r2}き{r2[つづ]}続{/r2}けるのだ{[0004]}{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}よ…{[0004]}{r2[われ]}我{/r2}らの「{r2[いさん]}遺産{/r2}」を ここ{r2[わくせい]}惑星{/r2}ビューロスより\n{r2[あら]}新{/r2}たな{r2[せかい]}世界{/r2}へと{r2[はこ]}運{/r2}んで{r2[ほ]}欲{/r2}しい{[0004]}それこそが そなたの{r2[しめい]}使命{/r2}であり\n{r2[われ]}我{/r2}らラモーンの {r2[さいご]}最後{/r2}の{r2[のぞ]}望{/r2}みでもある{[0004]}この{r2[うえ]}上{/r2}の ピナクルに\nマスターテレポーターがある{[0004]}{r2[あら]}新{/r2}たな{r2[せかい]}世界{/r2}への{r2[たびだ]}旅立{/r2}ちに\n{r2[ひつよう]}必要{/r2}となるだろう{[0004]}そのためには まず\n５つのキーを{r2[あつ]}集{/r2}めねばならない{[0004]}ここに キーの{r2[ばしょ]}場所{/r2}を{r2[しめ]}示{/r2}そう…{[0004]}{r2[えら]}選{/r2}ばれし{r2[もの]}者{/r2}よ\nまずは {r2[われ]}我{/r2}らの{r2[しんでん]}神殿{/r2}へと{r2[む]}向{/r2}かわれよ{[0004]}この{r2[ひかり]}光{/r2}の{r2[たま]}玉{/r2}に{r2[ふ]}触{/r2}れるがよい 
ct_2010_SC030_CT2BossMidPoint_subtitles	やったか？{[0004]}まだまだ… これからだ{[0004]}サムス！{[0004]}どこへ{r2[い]}行{/r2}ったの？
ct_2010_SC040_CT2PinnacleReveal_subtitles	おお…{[0004]}{r2[み]}見{/r2}て…{[0004]}うわぁ…{[0004]}すごい…{[0004]}キーも {r2[ぜんぶ]}全部{/r2}そろってる{[0004]}{r2[もと]}元{/r2}の{r2[せかい]}世界{/r2}に{r2[かえ]}帰{/r2}ろう
