MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR4\PreloadMP4.pak\Cinematics_ChronoTower.MSBT
TrialMessage_1	Chosen One...
TrialMessage_2	Our savior...
TrialMessage_3	We give you this.
ct_2010_SC010_BossIntro_subtitles	This must be the Master Teleporter.{[0004]}Guys...{[0004]}I can't believe it.{[0004]}We're actually going home.{[0004]}Samus!{[0004]}Samus?{[0004]}Samus!{[0004]}I've been waiting for this.{[0004]}Sylux!{[0004]}Knuckle up!
ct_2010_SC010_LastLamorn_subtitles	Welcome.{[0004]}I am Chatoyant Vooloon,{[0004]}the last surviving priest of the Lamorn.{[0004]}You are the Chosen One\nforetold in the Ancient Prophecy.{[0004]}We, the Lamorn, will cease to exist.{[0004]}However,{[0004]}by preserving our history and knowledge\nfor the future,{[0004]}the Lamorn spirit will keep on living.{[0004]}Chosen One,{[0004]}carry out our legacy\nfrom this planet Viewros to a new world.{[0004]}That is your mission\nand the last hope of the Lamorn.{[0004]}The Master Teleporter\nis located in the pinnacle, above us.{[0004]}It is needed to journey to a new world.{[0004]}To use it,\nyou must first collect five keys.{[0004]}I shall mark the key locations here.{[0004]}Chosen One, first travel to our temple.{[0004]}Touch this ball of light.
ct_2010_SC030_CT2BossMidPoint_subtitles	Had enough?{[0004]}Oh, I'm just getting started.{[0004]}Samus!{[0004]}Where'd they go?
ct_2010_SC040_CT2PinnacleReveal_subtitles	Whoa...{[0004]}Look at this place.{[0004]}Wow...{[0004]}Geez...{[0004]}You've got the keys.{[0004]}Take us home.
ct_2020_SC050_ENDGame_subtitles	Hmm. Maybe if I—{[0004]}Oh... Your crystal powers the teleporter.{[0004]}It only responds to you.{[0004]}Wait. Is that Viewros?{[0004]}Then that must be Tanamaar!{[0004]}Home sweet home!{[0004]}And you are sure?{[0004]}Well, we're gonna find out.{[0004]}You did it.{[0004]}We're really going home.{[0004]}Sylux!{[0004]}But, but, I thought...{[0004]}Samus! No!{[0004]}Protect the teleporter!{[0004]}Samus, are you alright?{[0004]}Nora!{[0004]}I got you!{[0004]}Providing cover.{[0004]}Teleporter's not gonna last long!{[0004]}You gotta make the jump\nwhile you still can.{[0004]}I'll do my best to stabilize the power.{[0004]}Restart the sequence.{[0004]}We'll buy you time while it charges.{[0004]}Samus!{[0004]}Samus...{[0004]}Go...{[0004]}Mac! No!{[0004]}Enough.{[0004]}Samus!{[0004]}Go!
ct_2020_SC050_ENDGame_Success_subtitles	Hey! Samus...{[0004]}Sollan be with you.
ct_2030_SC035_CT2BossPortalOutro_subtitles	Just you and me, Samus.{[0004]}Come on! Let's get this over with!
ct_3040_sc050_CT2LastLamorn_subtitles	Chosen One.{[0004]}I fear this is the last we would speak.{[0004]}I have waited alone for a long time.{[0004]}Those twelve Lamorn\nwho left to find you...{[0004]}None have returned.{[0004]}I know nothing of their fate.{[0004]}Did they find you?{[0004]}Are you here, listening to my words?{[0004]}I fear not, for even in the darkness,\nI cling to hope.{[0004]}I believe you will find your way\nto Viewros.{[0004]}I believe you will save us.
ct_2010_samusReturn	Shouldn't we go after her?{[0004]}Tell me how, and I'm there.{[0004]}Alert. Spatial anomaly detected.{[0004]}Great...{[0004]}What now?{[0004]}Here we go.{[0004]}Be ready for anything!{[0004]}Samus!{[0004]}I knew you'd come back.{[0004]}Never doubted you for a second, boss.{[0004]}Glad to have you with us.{[0004]}Samus...{[0004]}Does that mean Sylux is...{[0004]}Good.{[0004]}Ready to go home?{[0004]}We'll be right behind ya.
SyluxFlashbackFull	Commander.{[0004]}What are you doing?{[0004]}I've commanded your troops\nto hold your position.{[0004]}I've confirmed the Pirates' new weapon.{[0004]}If I can seize it—{[0004]}No. I've dispatched Samus's team.{[0004]}Await their arrival and join forces.{[0004]}Yes, sir.{[0004]}Orders...{[0004]}sir?{[0004]}Proceed as planned.{[0004]}Get me that weapon.
