MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR4\PreloadMP4.pak\Cinematics_ChronoTower.MSBT
TrialMessage_1	被選中之人……
TrialMessage_2	吾等的救世主啊……
TrialMessage_3	請收下這個……
ct_2010_SC010_BossIntro_subtitles	這就是主傳送站……{[0004]}各位……{[0004]}真不敢相信……{[0004]}我們真的可以回去了……{[0004]}薩姆斯！{[0004]}薩姆斯？{[0004]}薩姆斯啊{[0004]}我一直在等待這一刻{[0004]}賽拉克斯！{[0004]}準備戰鬥！
ct_2010_SC010_LastLamorn_subtitles	歡迎……{[0004]}吾名為\n沙托亞恩托‧弗倫{[0004]}乃是拉蒙\n碩果僅存的祭司{[0004]}你就是古老預言中所記載的\n「被選中之人」{[0004]}吾等拉蒙終將滅絕{[0004]}但是……{[0004]}只要將吾等的歷史與知識\n留於後世{[0004]}拉蒙的靈魂\n就能長存{[0004]}被選中之人啊……{[0004]}請將吾等的「遺產」從布洛斯這顆行星\n送到新世界去吧{[0004]}那正是你的使命\n亦是吾等拉蒙最後的心願{[0004]}主傳送站就位於\n此地之上的小尖塔{[0004]}當你要前往新世界時\n想必會用得上{[0004]}為此，你需先收集\n5把鑰匙{[0004]}吾將鑰匙所在地顯示於此……{[0004]}被選中之人啊\n首先　請前往吾等的神殿{[0004]}觸碰這顆光球吧
ct_2010_SC030_CT2BossMidPoint_subtitles	幹掉了嗎？{[0004]}還沒完呢……好戲才剛開始{[0004]}薩姆斯！{[0004]}上哪去了？
ct_2010_SC040_CT2PinnacleReveal_subtitles	哦……{[0004]}快看……{[0004]}哇……{[0004]}真厲害……{[0004]}鑰匙也全都集齊了{[0004]}我們回原本的世界吧
ct_2020_SC050_ENDGame_subtitles	要怎麼讓他動起來……？{[0004]}啊……你的水晶就是\n傳送站的原動力啊{[0004]}也就是說\n他只會對你產生反應{[0004]}那就是布洛斯？{[0004]}這麼說來\n那一定就是塔納瑪爾了{[0004]}是我可愛的家鄉！{[0004]}你確定嗎？{[0004]}等等就會知道了{[0004]}太好了{[0004]}我們真的可以回家了{[0004]}賽拉克斯！？{[0004]}怎麼會！{[0004]}薩姆斯！{[0004]}保護好傳送站！{[0004]}薩姆斯　你沒事吧？{[0004]}諾拉！{[0004]}你還好嗎？{[0004]}我來掩護{[0004]}撐不了多久了{[0004]}得趁著還能傳送的時候\n趕快動身才行{[0004]}我來想辦法穩住他{[0004]}快重新啟動序列{[0004]}爭取蓄力的時間{[0004]}薩姆斯！{[0004]}薩姆斯……{[0004]}快走……{[0004]}麥肯齊！{[0004]}不要啊。{[0004]}薩姆斯！{[0004]}快走！
ct_2020_SC050_ENDGame_Success_subtitles	喂　薩姆斯……{[0004]}願索蘭與你同在
ct_2030_SC035_CT2BossPortalOutro_subtitles	薩姆斯　就剩我們兩人了{[0004]}來吧！我要做個了斷
ct_3040_sc050_CT2LastLamorn_subtitles	被選中之人啊{[0004]}這應該是吾與你\n最後一次交談了{[0004]}吾一個人\n獨自等待了很長的時間{[0004]}前去尋找你的\n那12位拉蒙……{[0004]}一個也沒有回來{[0004]}吾無從得知\n他們的命運{[0004]}他們是否\n找到你了呢？\n你是否能在這裡\n聽見吾的這番話呢？{[0004]}……吾無所畏懼　\n即便身處黑暗中　吾也不會放棄希望{[0004]}吾相信你能找到\n前往布洛斯的路{[0004]}並且　也相信你一定能\n拯救吾等拉蒙……
