MiscData.pak\TEXT_RequiredEntries.MSBT
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR4\PreloadMP4.pak\Cinematics_ChronoTower.MSBT
TrialMessage_1	被选中之人……
TrialMessage_2	吾等的救世主啊……
TrialMessage_3	请收下这个……
ct_2010_SC010_BossIntro_subtitles	这就是主传送站……{[0004]}各位……{[0004]}真令人不敢相信……{[0004]}我们真的可以回去了……{[0004]}萨姆斯！{[0004]}萨姆斯？{[0004]}萨姆斯啊，{[0004]}我一直在等待这一刻。{[0004]}赛拉克斯！{[0004]}准备战斗！
ct_2010_SC010_LastLamorn_subtitles	欢迎……{[0004]}吾名为\n沙托亚恩托·弗伦。{[0004]}是拉蒙中\n最后生还的祭司。{[0004]}你就是古老预言中记载的\n“被选中之人”。{[0004]}吾等拉蒙已然灭绝，{[0004]}然而……{[0004]}将历史与知识\n留于后世，{[0004]}拉蒙之魂\n就能长存。{[0004]}被选中之人啊……{[0004]}请将吾等的“遗产”从行星布洛斯\n带去新的世界。{[0004]}这便是你的使命，\n亦是吾等拉蒙最后的心愿。{[0004]}主传送站就在\n此地之上的小尖塔中。{[0004]}当你前往新世界时，\n应该会需要它。{[0004]}为此，你需要先\n集齐5把钥匙。{[0004]}吾将钥匙所在地显示于此……{[0004]}被选中之人啊，\n首先，请前往吾等的神殿。{[0004]}触碰这个光球吧。
ct_2010_SC030_CT2BossMidPoint_subtitles	干掉他了吗？{[0004]}还没完呢……好戏才正要开始。{[0004]}萨姆斯！{[0004]}他们到哪里去了？
ct_2010_SC040_CT2PinnacleReveal_subtitles	哦哦……{[0004]}看啊……{[0004]}哇啊……{[0004]}真厉害……{[0004]}钥匙也都集齐了。{[0004]}我们回原本的世界吧。
ct_2020_SC050_ENDGame_subtitles	要怎么让它动起来……？{[0004]}哦……原来你的水晶\n是传送站的原动力啊。{[0004]}也就是说\n它只会对你产生反应。{[0004]}那就是布洛斯？{[0004]}那么，那个\n一定就是塔纳玛尔了。{[0004]}是我可爱的故乡……{[0004]}你确定吗？{[0004]}等会儿就知道了。{[0004]}太好了。{[0004]}我们真的能回去了对吧。{[0004]}赛拉克斯？！{[0004]}怎么会这样！{[0004]}萨姆斯！{[0004]}保护传送站！{[0004]}萨姆斯，你没事吧？{[0004]}诺拉！{[0004]}不要紧吧？{[0004]}我来掩护。{[0004]}撑不了太久了。{[0004]}必须趁失效前\n赶紧传送。{[0004]}我来想办法稳住它。{[0004]}重新定序，{[0004]}为充能争取时间。{[0004]}萨姆斯！{[0004]}萨姆斯……{[0004]}走啊……{[0004]}麦肯齐！{[0004]}不要。{[0004]}萨姆斯！{[0004]}快走！
ct_2020_SC050_ENDGame_Success_subtitles	喂，萨姆斯……{[0004]}愿索兰保佑你。
ct_2030_SC035_CT2BossPortalOutro_subtitles	就剩我们两个了，萨姆斯。{[0004]}来吧！该做个了断了。
ct_3040_sc050_CT2LastLamorn_subtitles	被选中之人啊，{[0004]}恐怕这是吾与你的\n最后一次对话了。{[0004]}吾很长一段时间\n都在独自等待。{[0004]}去寻找你的\n12位拉蒙……{[0004]}无一人归来。{[0004]}吾不清楚\n他们的命运如何。{[0004]}他们是否\n找到了你？\n你是否能于此\n听到吾的声音？{[0004]}但吾并不畏惧……\n即便是在黑暗中，吾依然没有丢弃希望。{[0004]}吾坚信你能找到\n通往布洛斯的道路。{[0004]}也相信你一定能\n拯救吾等拉蒙……
ct_2010_samusReturn	要去追萨姆斯吗？{[0004]}要是能追上的话\n我也想追啊。{[0004]}警告——\n检测到空间异常。{[0004]}真是的……{[0004]}又怎么了？{[0004]}要来了，{[0004]}做好心理准备。{[0004]}萨姆斯！{[0004]}我就相信你会回来的！{[0004]}从来没有怀疑过！{[0004]}能会合就好。{[0004]}萨姆斯。{[0004]}也就是说……\n赛拉克斯已经……{[0004]}这样啊。{[0004]}准备好回去了吗？{[0004]}走吧，萨姆斯。
