Common\Reference.msbt
GameName_gm102_T0	Statues
GameName_gm102_T1	Statues 2
GameName_gm102_T2	Statues 3
GameName_gm105_T0	Quiz Show
GameName_gm105_T1	Quiz Show 2
GameName_gm105_T2	Quiz Show 3
GameName_gm105_T3	Quiz Show 4
GameName_gm105_T4	Quiz Show 5
GameName_gm105_MD	Quiz Party
GameName_gm105_S0	Combo Quiz
GameName_gm105_E0	Custom Quiz
GameName_gm105_E1	Spontaneous Quiz
GameName_gm107_T0	Balloons
GameName_gm107_T1	Balloons 2
GameName_gm107_T2	Balloons 3
GameName_gm107_T3	Balloons 4
GameName_gm110_T0	Ice Cream Parlor
GameName_gm110_T1	Ice Cream Parlor 2
GameName_gm110_T2	Ice Cream Parlor 3
GameName_gm110_T3	Ice Cream Parlor 4
GameName_gm111_T0	Hip Bump
GameName_gm111_T1	Hip Bump 2
GameName_gm111_T2	Hip Bump 3
GameName_gm112_T0	Ninjas
GameName_gm112_T1	Ninjas 2
GameName_gm113_T0	UFOs
GameName_gm113_T1	UFOs 2
GameName_gm115_T0	Relay Race
GameName_gm115_T2	Relay Race 2
GameName_gm116_T0	Jump Rope
GameName_gm116_T1	Jump Rope 2
GameName_gm121_T0	Color Shoot
GameName_gm121_T2	Color Shoot 2
GameName_gm124_T0	Samurai Sword Fight
GameName_gm127_T0	Auction
GameName_gm127_T1	Auction 2
GameName_gm127_T2	Auction 3
GameName_gm130_T0	Squats
GameName_gm130_T1	Squats 2
GameName_gm130_T2	Squats 3
GameName_gm134_T0	Kitchen Timer
GameName_gm134_T1	Kitchen Timer 2
GameName_gm134_T2	Kitchen Timer 3
GameName_gm134_T3	Kitchen Timer 4
GameName_gm135_T0	Bingo
GameName_gm135_T3	Bingo 2
GameName_gm135_MD	Bingo Party
GameName_gm136_T0	Joy-Con Hide & Seek
GameName_gm139_T0	Musical Chairs
Catchphrase_gm102_T0	Don't move when he's looking!
Catchphrase_gm102_T1	Uh-oh! He's learned some new tricks!
Catchphrase_gm102_T2	No do-overs this time!
Catchphrase_gm105_T0	Get your thinking caps on!
Catchphrase_gm105_T1	Make sure you "pic" the right answer!
Catchphrase_gm105_T2	A speed bonus can be a real plus!
Catchphrase_gm105_T3	If you're stuck, sound out your team!
Catchphrase_gm105_T4	Think INSIDE the box...the brain box!
Catchphrase_gm105_MD	A medley of mind-bogglers!
Catchphrase_gm107_T0	Are you feeling pumped?
Catchphrase_gm107_T1	Don't blow things out of proportion!
Catchphrase_gm107_T2	Don't stop till you pop!
Catchphrase_gm107_T3	Pop or flop? That is the question!
Catchphrase_gm110_T0	Good luck, scooper troopers!
Catchphrase_gm110_T1	This job is snow joke!
Catchphrase_gm110_T2	They all scream, all right...
Catchphrase_gm110_T3	Don't get a brain freeze!
Catchphrase_gm111_T0	Here's the bottom line!
Catchphrase_gm111_T1	You can't afford to give an inch!
Catchphrase_gm111_T2	The screen's gone funky!
Catchphrase_gm112_T0	Ninjas
Catchphrase_gm112_T1	Ninjas 2
Catchphrase_gm113_T0	They come in peace!
Catchphrase_gm113_T1	Turns out they leave in peace, too!
Catchphrase_gm115_T0	Relay on your teammates!
Catchphrase_gm115_T2	Baton down the hatches!
Catchphrase_gm116_T0	Yippee skippy!
Catchphrase_gm116_T1	Keep your ears peeled for the rope!
Catchphrase_gm121_T0	Hunt down this season's trends!
Catchphrase_gm121_T2	You'll see red if you forget the color!
Catchphrase_gm124_T0	Samurai Sword Fight
Catchphrase_gm127_T0	Now's your chance to bid for glory!
Catchphrase_gm127_T1	Don't be abiding, get a-bidding!
Catchphrase_gm127_T2	Put on your best poker faces!
Catchphrase_gm130_T0	To squat, or not to squat?
Catchphrase_gm130_T1	Squatch out for wrong calls!
Catchphrase_gm130_T2	No brains, no gains!
Catchphrase_gm134_T0	A high-steaks cooking lesson!
Catchphrase_gm134_T1	Get the timing right, and hey, pesto!
Catchphrase_gm134_T2	Will your perfect paella pan out?
Catchphrase_gm134_T3	Having trouble? Use your noodle!
Catchphrase_gm135_T0	Will your numbers come up?
Catchphrase_gm135_T3	Chances are, the odds are even!
Catchphrase_gm135_MD	It's every player for themselves!
Catchphrase_gm136_T0	This game is all about good vibes.
Catchphrase_gm139_T0	Try not to be the last one standing!
GeneralPurpose_Yes_00	Yes
GeneralPurpose_No_00	No
GeneralPurpose_OK_00	OK
Common\Unit.msbt
UnitRank_00	st
UnitRank_01	nd
UnitRank_02	rd
UnitRank_03	th
UnitMeter_00	yd
UnitPoint_00	pt
UnitPoint_01	pts
UnitPoint_02	pts
UnitPercent_00	%
UnitPercent_01	%
UnitPercent_02	%
UnitSecond_00	sec
UnitSecond_01	sec
UnitSecond_02	sec
UnitPeople_00	 person
UnitPeople_01	 people
UnitPeople_02	 people
UnitSheet_00	{[0104]}
UnitSheet_01	{[0104]}
UnitSheet_02	{[0104]}
UnitMinute_00	minute
UnitMinute_01	minutes
UnitMinute_02	minute
UnitGroup_00	group
UnitGroup_01	groups
UnitGroup_02	group
UnitDecimalPoint_00	.
NXMsg\GameMsg\nx_gm102.msbt
GameIntroduction_00_V	It's time for a game of Statues!\r\nIf your nose is itchy, better scratch it now.
_T1_RuleDescription_00	Go as fast as\r\nyou can when\r\nhis back is turned!
_T2_RuleDescription_00	If you get\r\ncaught once\r\nyou're out!
AssignBscConFixed_00_V	Check who's using\r\nwhich Joy-Con.
AssignCmnPressButton_00_V	When you're done, press a button!
AssignPrmEntryGuide_00_V	If you're playing, use your smart device to join!
AssignPrmEntryGuide_01_V	If you're playing, use your smart device to join!
AssignPrmSupportGuide_00_V	If you're sitting this one out, cheer the others on!
GamePlayTutorialOperations_00_V	OK, everyone stand up!
GamePlayTutorialOperations_01_V	Hold your Joy-Con with both hands\r\nand walk in place!
GamePlayTutorialOperationsSmapho_00_V	Hold your smart device with\r\nboth hands and walk in place!
GamePlayRightTeamSize_00_V	The Right Team needs THIS many members...
GamePlayLeftTeamSize_00_V	...and the Left Team needs THIS many members...
GamePlayRuleDescription_00_V	...to get to the goal!
_T2_GamePlayRule_00_V	This time, if you get caught\r\nmoving, you'll be out of the game!
GamePlayStartCall_00_V	Okie dokie, let's play!
GamePlayOutCall_01_V	You moved!
GamePlayOutCall_02_V	You moved!
GamePlayOutCall_03_V	You moved!
GamePlayStartOver_00_V	If you got caught,\r\nyou'll have to go back to the start.
GamePlayVineCall_00_V	Hey! You better not be cheating!
GamePlayCancelNotice_00_V	Whoopsie! Looks like time is running out.\r\nYou only have three tries left.
GamePlayCancel_00_V	Oh no! You're all out of time!
GamePlaySurprised_00_V	Argh!
ResultWinNotAlone_00_V	Rats, you beat me!
ResultWinAlone_00_V	Rats, you beat me!
_T2_ResultLeaveAll_00_V	Haha! I caught everyone! Game over!
GamePlayCall00_V	When I turn around, freeze!
GamePlayCall00_01_V	When I turn
GamePlayCall00_02_V	around
GamePlayCall00_03_V	freeze!
GamePlayCall01_V	When I turn around, freeze!
GamePlayCall01_01_V	When I turn
GamePlayCall01_02_V	around
GamePlayCall01_03_V	freeze!
GamePlayCall02_V	When I turn around, freeze!
GamePlayCall03_V	When I turn around, freeze!
GamePlayCall04_V	When I turn around, freeze!
GamePlayCall05_V	When I turn around, freeze!
GamePlayCall05_01_V	When I turn
GamePlayCall05_02_V	around
GamePlayCall05_03_V	freeze!
GamePlayCall06_V	When I turn around, freeze!
GamePlayCall06_01_V	When I turn
GamePlayCall06_02_V	around
GamePlayCall06_03_V	freeze!
GamePlayCall07_V	When I turn around, freeze!
GamePlayCall07_01_V	When I turn
GamePlayCall07_02_V	around
GamePlayCall07_03_V	freeze!
GamePlayCall10_V	When I turn around, freeze!
GamePlayCall10_01_V	When I turn around
GamePlayCall10_02_V	freeze!
GamePlayCall11_V	When I turn around, freeze!
GamePlayCall11_01_V	When I turn around
GamePlayCall11_02_V	freeze!
GamePlayCall12_V	When I turn around, freeze!
GamePlayCall12_01_V	When I turn
GamePlayCall12_02_V	around
GamePlayCall12_03_V	freeze!
GamePlayCall13_V	When I turn around, freeze!
GamePlayCall13_01_V	When I turn
GamePlayCall13_02_V	around
GamePlayCall13_03_V	freeze!
GamePlayCall14_V	When I turn around, freeze!
GamePlayCall14_01_V	When I turn
GamePlayCall14_02_V	around
GamePlayCall14_03_V	freeze!
GamePlayCall15_V	When I turn around, freeze!
GamePlayCall15_01_V	When I
GamePlayCall15_02_V	turn around
GamePlayCall15_03_V	freeze!
GamePlayCall16_V	When I turn around, freeze!
GamePlayCall17_V	Turnaroundfreeze!
GamePlayCall17_V_2	Turnaroundfreeze!
GamePlayCall18_V	Turnaroundfreeze!
GamePlayCall19_V	Turnaroundfreeze!
GamePlayCall20_V	When I turn around, freeze!
GamePlayCall21_V	When I turn around, freeze!
GamePlayCall30_V	When I turn around, freeze!
BsqIntroPlayerEntryHeader_00	When you're done,\r\npress a button!
PsqIntroPlayerEntryHeader_00	Use your smart device to join!
GamePlayTutorial_00	Stand up!
GamePlayTutorial_01	Walk in place!
GamePlayStart_00	Go!
GamePlayVictoryConditions_00	{[0100|00020200]}
GamePlayVictoryConditions_01	{[0100|00020200]} {size[2d00]}more{size[6400]}
GamePlayGoal_01	You made it!
ResultRankingTitle_00	Reached the Goal
ResultRankingTitle_01	Didn't Make It
ResultRankingScore_00	{size[6400]}{[0101|00cd]}{size[6400]}{size[2d00]}{[0102|01cd]} off{size[6400]}
NXMsg\GameMsg\nx_gm105.msbt
_T0_GameIntroduction_00_V	You'd better keep a clear head!\r\nIt's time to put your General Knowledge to the test!
_T1_GameIntroduction_00_V	Who's got that eagle eye?\r\nIt's time to find out with Pick The Picture!
_T2_GameIntroduction_00_V	Close your calculators and ditch your dictionaries!\r\nIt's time for a round of Brain Teasers!
_T3_GameIntroduction_00_V	Keep those ears peeled!\r\nIt's time to Guess That Sound!
_T4_GameIntroduction_00_V	It's time for a Tricky Trivia Challenge!\r\nIf you know it, show it!
_E1_GameIntroduction_01_V	Do you want to be the one asking the questions, for a change?\r\nNow's your chance! Try your hand at making your very own quiz!
_MD_GameIntroductionOpening_00_V	The Quiz Party is a quiz with nine questions\r\nfrom all the other quiz categories put together.
_E1_GameIntroductionOpening_00_V	To make a quiz, just use your smart device to write questions and answers.
_E1_GameIntroductionOpening_01_V	Once you've come up with a brain teaser, you can send it to your console!
_E1_GameIntroductionOpening_02_V	I hope you have fun challenging each other with the quizzes you've made!
_E1_GameIntroductionOpening_03_V	So, without further ado...
_E1_GameIntroductionOpening_04_V	Let's get quiz-making!
_E1_QuizCreateAdvice_00_V	I can't wait to see what questions you come up with!
_E1_QuizCreateAdvice_01_V	Just so you know, there's no rule against\r\nanswering your own questions in a quiz.
_E1_QuizCreateAdvice_02_V	Some sample questions will be shown on-screen\r\nto help get your creative juices flowing!
_E1_QuizCreateCome_00_V	So, how're you doing?
_E1_QuizCreateCount_00_V	Looks like we have a question!
_E1_QuizCreateFirst_01_V	During the quiz, your questions will\r\nbe asked in a random order.
_E1_QuizCreateGameStart_00_V	Even if you come up with fewer than\r\nten questions, you'll still be able to play\r\nthem as a quiz!
_E1_QuizCreateGameStart_01_V	To start the game, just select\r\nthe Play button with your Joy-Con.
_E1_QuizCreatePrompt_01_V	Don't forget you can use the example questions\r\nfor inspiration if you're short on ideas!
_E1_QuizCount_1_00_V	You have one question so far.
_E1_QuizCount_2_00_V	You have two questions so far.
_E1_QuizCount_3_00_V	You have three questions so far.
_E1_QuizCount_4_00_V	You have four questions so far.
_E1_QuizCount_5_00_V	You have five questions so far.
_E1_QuizCount_6_00_V	You have six questions so far.
