jpn_dlp_adventure_note.txt
DLP_adventure_note_001_00	ぼうけん　とは？
DLP_adventure_note_001_01	あなたは　いまから　はじまる　せかいの\tしゅじんこうと　なって\tぼうけんのたびに　しゅっぱつ　します。
DLP_adventure_note_001_02	まちかど　いえのなか　どうろ　くさむら\tそして　どうくつや　もりのなか……\tいろいろな　ところにいる　ひとたちに\tはなしかけて　みてください。
DLP_adventure_note_001_03	こまっている　ひとを　たすけたり\tなぞを　ときあかしたり　することで\tあらたなみちは　ひらかれて　いきます。
DLP_adventure_note_001_04	ときには　ひとびとが\tしょうぶを　もうしこんできたり\tやせいの　いきものが\tたちふさがることも　あるでしょう。\tそれらに　うちかつことで\tあなたは　つよく　なっていきます。
DLP_adventure_note_001_05	けれど　つよく　なることだけが\tぼうけんの　もくてきでは　ありません。
DLP_adventure_note_001_06	たびを　すすめていく　なかで\tたくさんの　ひとびとと　ふれあい\tじぶんじしんを　せいちょう　させること。\tそれが　この　ぼうけんの\tもっとも　おおきな　もくてきです。
DLP_adventure_note_002_00	ぼうけんノート
DLP_adventure_note_002_01	この　\t<color=#F01E1EFF>\tぼうけんノート\t</color>\tには\tぼうけんに　やくだつ　きのうや\tしせつ　どうぐなどの　つかいかたが\tかいて　あります。\tぼうけんを　すすめると\tないようが　ふえて　いきます。\t<color=#F01E1EFF>\tぼうけんノート\t</color>\tは　\t<color=#F01E1EFF>\tバッグ\t</color>\tの\t<color=#F01E1EFF>\tたいせつなもの\t</color>\tに　はいっており\tいつでも　かくにんできます。
DLP_adventure_note_003_00	メニュー
DLP_adventure_note_003_01	<color=#F01E1EFF>\tＸボタン\t</color>\tで　\t<color=#F01E1EFF>\tメニュー\t</color>\tが　ひらきます。\t<color=#F01E1EFF>\tメニュー\t</color>\tの　\t<color=#F01E1EFF>\tバッグ\t</color>\tでは　どうぐを　つかえ\t<color=#F01E1EFF>\tメニュー\t</color>\tで　\t<color=#F01E1EFF>\tＲボタン\t</color>\tを　おせば\t<color=#F01E1EFF>\tレポート\t</color>\tで　きろくが　できます。\tぼうけんを　すすめて　いくと\tあたらしい　きのうが　ふえて　いきます。
DLP_adventure_note_004_00	ポケモンずかん
DLP_adventure_note_004_01	ナナカマドはかせに　たのまれたこと\tそれは　\t<color=#F01E1EFF>\tポケモンずかん\t</color>\tの　かんせいです。\tあたらしい　ポケモンに　であうたび\tずかんに　じどうで　きろくされます。\tメニューで　\t<color=#F01E1EFF>\tずかん\t</color>\tを　えらぶと\tきろくした　ポケモンを　みられます。
DLP_adventure_note_004_02	ポケモンの　ぶんるいや　みため\tタイプや　せいべつなど\tポケモンに　ついての　あらゆる\tじょうほうが　かくにん　できます。\tまた　ぶんぷを　みれば　どこに\tせいそくして　いるかも　わかります。
DLP_adventure_note_004_03	なきごえがめんでは　ポケモンの\tなきごえが　きけます。\tジョイコンを　ふれば\tこもった　こえが　でたり\tどうじに　おおくの　こえが　きけたり\tするので　ぜひ　ためしてみてください。
DLP_adventure_note_005_00	ポケモンセンター
DLP_adventure_note_005_01	シンオウちほうの　かくちには\t<color=#F01E1EFF>\tポケモンセンター\t</color>\tが　あります。\tきずついた　ポケモンを　げんきに\tしてくれる　ところです。\tあかい　やねが　めじるしです。
DLP_adventure_note_005_02	<color=#F01E1EFF>\tポケモンセンター\t</color>\tに　ある\t<color=#F01E1EFF>\tパソコン\t</color>\tの　\t<color=#F01E1EFF>\tボックス\t</color>\tには　じぶんの\tポケモンを　あずけることが　できます。\tあずけた　ポケモンは\tどこの　\t<color=#F01E1EFF>\tポケモンセンター\t</color>\tの\t<color=#F01E1EFF>\tパソコン\t</color>\tからでも　ひきだせます。
DLP_adventure_note_006_00	ポケモンボックス
DLP_adventure_note_006_01	<color=#F01E1EFF>\tポケモンボックス\t</color>\tを　つかうと\tてもちの　ポケモンと　ポケモンセンターの\tパソコンに　あずけた　ポケモンを\tいれかえることが　できます。\tメニューから　\t<color=#F01E1EFF>\tポケモン\t</color>\tを　えらんだあと\t<color=#F01E1EFF>\tＲボタン\t</color>\tを　おすことで　つかえます。
DLP_adventure_note_007_00	ポケッチ
DLP_adventure_note_007_01	<color=#F01E1EFF>\tポケッチ\t</color>\tは　ポケモントレーナーの\tぼうけんを　てだすけしてくれる\tべんりな　さいしんがた　ガジェットです。\tデジタルどけいや　けいさんきなど\tさまざまな　アプリが　あります。
DLP_adventure_note_007_02	<color=#F01E1EFF>\tポケッチ\t</color>\tを　つかうには\tまず　\t<color=#F01E1EFF>\tＲボタン\t</color>\tを　おします。\tさらに　\t<color=#F01E1EFF>\tＲボタン\t</color>\tを　おすと　がめんが\tかくだい／しゅくしょう　します。\t<color=#F01E1EFF>\tＬスティック\t</color>\tで　ゆびカーソルを　うごかし\t<color=#F01E1EFF>\tＡボタン\t</color>\tを　おすか\tちょくせつ　がめんを　タッチして\tアプリを　そうさします。\tみぎはしの　\t<color=#F01E1EFF>\tあかいボタン\t</color>\tで\tつぎの　アプリに　きりかわります。\tがめんを　とじるには　\t<color=#F01E1EFF>\tＲボタン\t</color>\tを\tおしっぱなしに　します。
