jpn_kanji_dlp_adventure_note.txt
DLP_adventure_note_001_00	冒険　とは？
DLP_adventure_note_001_01	あなたは　今から　始まる　世界の\t主人公と　なって\t冒険の旅に　出発　します。
DLP_adventure_note_001_02	街角　家の中　道路　草むら\tそして　洞窟や　森の中……\tいろいろな　ところにいる　人たちに\t話しかけて　みてください。
DLP_adventure_note_001_03	困っている　人を　助けたり\t謎を　解き明かしたり　することで\t新たな道は　開かれて　いきます。
DLP_adventure_note_001_04	時には　人々が\t勝負を　申し込んできたり\t野生の　生き物が\t立ちふさがることも　あるでしょう。\tそれらに　打ち勝つことで\tあなたは　強く　なっていきます。
DLP_adventure_note_001_05	けれど　強く　なることだけが\t冒険の　目的では　ありません。
DLP_adventure_note_001_06	旅を　進めていく　中で\tたくさんの　人々と　触れ合い\t自分自身を　成長　させること。\tそれが　この　冒険の\t最も　大きな　目的です。
DLP_adventure_note_002_00	ぼうけんノート
DLP_adventure_note_002_01	この　\t<color=#F01E1EFF>\tぼうけんノート\t</color>\tには\t冒険に　役立つ　機能や\t施設　道具などの　使い方が\t書いて　あります。\t冒険を　進めると\t内容が　増えて　いきます。\t<color=#F01E1EFF>\tぼうけんノート\t</color>\tは　\t<color=#F01E1EFF>\tバッグ\t</color>\tの\t<color=#F01E1EFF>\tたいせつなもの\t</color>\tに　入っており\tいつでも　確認できます。
DLP_adventure_note_003_00	メニュー
DLP_adventure_note_003_01	<color=#F01E1EFF>\tＸボタン\t</color>\tで　\t<color=#F01E1EFF>\tメニュー\t</color>\tが　開きます。\t<color=#F01E1EFF>\tメニュー\t</color>\tの　\t<color=#F01E1EFF>\tバッグ\t</color>\tでは　道具を　使え\t<color=#F01E1EFF>\tメニュー\t</color>\tで　\t<color=#F01E1EFF>\tＲボタン\t</color>\tを　押せば\t<color=#F01E1EFF>\tレポート\t</color>\tで　記録が　できます。\t冒険を　進めて　いくと\t新しい　機能が　増えて　いきます。
DLP_adventure_note_004_00	ポケモン図鑑
DLP_adventure_note_004_01	ナナカマド博士に　頼まれたこと\tそれは　\t<color=#F01E1EFF>\tポケモン図鑑\t</color>\tの　完成です。\t新しい　ポケモンに　出会うたび\t図鑑に　自動で　記録されます。\tメニューで　\t<color=#F01E1EFF>\t図鑑\t</color>\tを　選ぶと\t記録した　ポケモンを　見られます。
