trad_chinese_dlp_adventure_note.txt
DLP_adventure_note_001_00	什麼是冒險？
DLP_adventure_note_001_01	在這個即將開始的世界中，\t你將成為主角，並踏上冒險的旅程。
DLP_adventure_note_001_02	街坊間、房子裡、道路上、草叢中、\t洞窟裡，又或是森林裡……\t去和各種地方的人們搭話看看吧。
DLP_adventure_note_001_03	透過幫助有困難的人，\t或是解開各種謎題等等，\t新的道路將不斷地拓展開來。
DLP_adventure_note_001_04	有時候，有人會向你要求對戰，\t或是出現野生的生物擋住去路。\t藉由戰勝他們，你將變得越來越強。
DLP_adventure_note_001_05	不過，變強並不是冒險的唯一目的。
DLP_adventure_note_001_06	在旅途中與各式各樣的人互動，\t並讓自己從中成長。\t這才是這趟冒險的最大目的。
DLP_adventure_note_002_00	冒險筆記
DLP_adventure_note_002_01	這本\t<color=#F01E1EFF>\t冒險筆記\t</color>\t裡寫著\t會在冒險中派上用場的功能，\t以及設施和道具等的使用方法。\t隨著冒險進展，\t筆記的內容會逐漸增加。\t<color=#F01E1EFF>\t冒險筆記\t</color>\t收在\t<color=#F01E1EFF>\t包包\t</color>\t的\t<color=#F01E1EFF>\t重要物品\t</color>\t內，\t隨時可以拿出來翻閱。
DLP_adventure_note_003_00	選單
DLP_adventure_note_003_01	按下\t<color=#F01E1EFF>\tＸ鍵\t</color>\t就能開啟\t<color=#F01E1EFF>\t選單\t</color>\t。\t在\t<color=#F01E1EFF>\t選單\t</color>\t的\t<color=#F01E1EFF>\t包包\t</color>\t裡能使用道具。\t在\t<color=#F01E1EFF>\t選單\t</color>\t中按下\t<color=#F01E1EFF>\tＲ鍵\t</color>\t就能寫下\t<color=#F01E1EFF>\t紀錄\t</color>\t。\t隨著冒險進展，\t還會逐漸增加新的功能。
DLP_adventure_note_004_00	寶可夢圖鑑
DLP_adventure_note_004_01	山梨博士對你提出了\t完成\t<color=#F01E1EFF>\t寶可夢圖鑑\t</color>\t的委託。\t每當遇見新種類的寶可夢，\t牠就會被自動記錄進圖鑑裡。\t在選單中選擇\t<color=#F01E1EFF>\t圖鑑\t</color>\t，\t就能查看已經記錄的寶可夢。
DLP_adventure_note_004_02	在圖鑑裡可以確認寶可夢的分類、\t外觀、屬性、性別等所有相關資訊。\t此外，還能從分佈了解牠們的棲息地。
DLP_adventure_note_004_03	在叫聲畫面裡揮動Joy-Con，\t就能聽寶可夢的叫聲。\t隨著揮動方式不同，叫聲會變模糊，\t或同時發出多個聲音等等。\t請一定要試試看。
DLP_adventure_note_005_00	寶可夢中心
DLP_adventure_note_005_01	神奧地區的各地設有\t<color=#F01E1EFF>\t寶可夢中心\t</color>\t。\t在那裡能讓受傷的寶可夢恢復活力。\t紅色屋頂是這個設施的醒目特色。
DLP_adventure_note_005_02	<color=#F01E1EFF>\t寶可夢中心\t</color>\t的\t<color=#F01E1EFF>\t電腦盒子\t</color>\t\t可以用來寄放自己的寶可夢。\t無論使用哪個\t<color=#F01E1EFF>\t寶可夢中心\t</color>\t的\t<color=#F01E1EFF>\t電腦\t</color>\t，\t都能取回寄放的寶可夢。
DLP_adventure_note_006_00	寶可夢盒
DLP_adventure_note_006_01	只要使用\t<color=#F01E1EFF>\t寶可夢盒\t</color>\t，\t就能將同行寶可夢和寄放在寶可夢中心的\t電腦裡面的寶可夢進行替換。\t從選單選擇\t<color=#F01E1EFF>\t寶可夢\t</color>\t後按下\t<color=#F01E1EFF>\tＲ鍵\t</color>\t就能使用。
DLP_adventure_note_007_00	寶可錶
