announce.msbt
AnnounceEmpty	お{r2[し]}知{/r2}らせは　まだありません
AnnHead_01	アクセサリー{r2[や]}屋{/r2}　オープン
AnnBody_01	キノピオタウンに、アクセサリー{r2[や]}屋{/r2}がオープンしました。
AnnHead_02	アクセサリー５０％{r2[オフ]}ＯＦＦ{/r2}
AnnBody_02	{r2[セール]}ＳＡＬＥ{/r2}！　バトルで{r2[やくだ]}役立{/r2}つアクセサリーの{r2[かかく]}価格{/r2}が、５０％{r2[オフ]}ＯＦＦ{/r2}になりました。
AnnHead_02_1	アクセサリー８０％{r2[オフ]}ＯＦＦ{/r2}
AnnBody_02_1	{r2[セール]}ＳＡＬＥ{/r2}！　バトルで{r2[やくだ]}役立{/r2}つアクセサリーの{r2[かかく]}価格{/r2}が、８０％{r2[オフ]}ＯＦＦ{/r2}になりました。
AnnHead_02_2	アクセサリー９０％{r2[オフ]}ＯＦＦ{/r2}
AnnBody_02_2	{r2[セール]}ＳＡＬＥ{/r2}！　バトルで{r2[やくだ]}役立{/r2}つアクセサリーの{r2[かかく]}価格{/r2}が、９０％{r2[オフ]}ＯＦＦ{/r2}になりました。
AnnHead_03	バトル{r2[けんきゅうじょ]}研究所{/r2}　オープン
AnnBody_03	キノピオタウンに、バトル{r2[けんきゅうじょ]}研究所{/r2}がオープンしました。
AnnHead_07	パズル{r2[せいかいひょうじ]}正解表示{/r2}マシーン　{r2[かんせい]}完成{/r2}
AnnBody_07	バトルお{r2[たす]}助{/r2}け{r2[きのう]}機能{/r2}「パズル{r2[せいかいひょうじ]}正解表示{/r2}マシーン」が{r2[かんせい]}完成{/r2}しました。　キノピオタウンの、バトル{r2[けんきゅうじょ]}研究所{/r2}までお{r2[こ]}越{/r2}しください。
AnnHead_08	タイマー{r2[じどうえんちょう]}自動延長{/r2}マシーン　{r2[かんせい]}完成{/r2}
AnnBody_08	バトルお{r2[たす]}助{/r2}け{r2[きのう]}機能{/r2}「タイマー{r2[じどうえんちょう]}自動延長{/r2}マシーン」が{r2[かんせい]}完成{/r2}しました。　キノピオタウンの、バトル{r2[けんきゅうじょ]}研究所{/r2}までお{r2[こ]}越{/r2}しください。
