announce.msbt
AnnounceEmpty	No notifications yet.
AnnHead_01	Accessory Shop Open
AnnBody_01	The accessory shop is now open in Toad Town!
AnnHead_02	Accessories 50% Off
AnnBody_02	SALE! All battle accessories now 50% off!
AnnHead_02_1	Accessories 80% Off
AnnBody_02_1	SALE! All battle accessories now 80% off!
AnnHead_02_2	Accessories 90% Off
AnnBody_02_2	SALE! All battle accessories now 90% off!
AnnHead_03	Battle Lab Open
AnnBody_03	Get trained up at Toad Town's new Battle Lab!
AnnHead_07	Puzzle Solver Is Ready for Battle
AnnBody_07	A new device is ready to assist you in battles! Visit the Battle Lab in Toad Town to try the Puzzle Solver!
AnnHead_08	Timer Extender Is Ready for Battle
AnnBody_08	A new device is ready to assist you in battles! Visit the Battle Lab in Toad Town to try the Timer Extender!
AnnHead_09	Sensor Lab Now Open
AnnBody_09	The Sensor Lab on Picnic Road is now open!
AnnHead_10	Lamination Suit Is Ready for Testing
AnnBody_10	Visit the Sensor Lab on Picnic Road to try their latest gizmo: the Lamination Suit!
AnnHead_11	Hidden Block Unhider Is Ready for Testing
AnnBody_11	Visit the Sensor Lab on Picnic Road to try their latest gizmo: the Hidden Block Unhider!
AnnHead_15	Boat Engine Upgraded
AnnBody_15	A new engine for your boat has been completed and is now available at the Toad Town dock.
AnnHead_16	Collectible Treasure on Display
AnnBody_16	Check out the Mus\xe9e Champignon in Toad Town to see all of your Collectible Treasures in one place.
AnnHead_19	All Cruise Ship Passengers Rescued
AnnBody_19	All passengers who abandoned the Princess Peach have been found and rescued!
AnnHead_21	Battle King Trophy Earned
AnnBody_21	You've earned the Battle King trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_22	Coin Collector Trophy Earned
AnnBody_22	You've earned the Coin Collector trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_23	? Block Head Trophy Earned
AnnBody_23	You've earned the ? Block Head trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_24	Fish Finder Trophy Earned
AnnBody_24	You've earned the Fish Finder trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_25	Ring Champion Trophy Earned
AnnBody_25	You've earned the Ring Champion trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_26	The True Ringer Trophy Earned
AnnBody_26	You've earned the True Ringer trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_27	Speed Ring King Trophy Earned
AnnBody_27	You've earned the Speed Ring King trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_28	Coin Captain Trophy Earned
AnnBody_28	You've earned the Coin Captain trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_29	Shuriken Master Trophy Earned
AnnBody_29	You've earned the Shuriken Master trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_30	Quiz Master Trophy Earned
AnnBody_30	You've earned the Quiz Master trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_31	Art Collector Trophy Earned
AnnBody_31	You've earned the Art Collector trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_32	Origami Toad Collector Trophy Earned
AnnBody_32	You've earned the Origami Toad Collector trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_33	Collectible Collector Trophy Earned
AnnBody_33	You've earned the Collectible Collector trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_34	Origami Aficionado Trophy Earned
AnnBody_34	You've earned the Origami Aficionado trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_35	Sound Disc Collector Trophy Earned
AnnBody_35	You've earned the Sound Disc Collector trophy! Visit the Mus\xe9e Champignon to check it out.
AnnHead_37	Fish Prints on Display
AnnBody_37	View your reel accomplishments at the Mus\xe9e Champignon!
AnnHead_38	Gallery Added
AnnBody_38	A new gallery has opened at the Mus\xe9e Champignon!
battle.msbt
BtlGuide_CmdInfo	\x0e\0\x01\x02\x02\0\x0e\x02\0\0{s[050]}Actions{s[100]}\x0f\x02\0\x0e\0\x01\x02\xff\xff
BtlGuide_RingInfo	\x0e\0\x01\x02\x02\0\x0e\x02\0\0{s[050]}Ring Moves{s[100]}\x0f\x02\0\x0e\0\x01\x02\xff\xff
BtlGuide_RingInfoValue	\x0e\0\x01\x02\x04\0\x0e\x03\x04\0{s[100]}\xd7\x0e\x03\0\x04\0\0\0\0{s[100]}\x0f\x03\x04\x0e\0\x01\x02\xff\xff
BtlGuide_MeterButton_Time	{s[065]} Buy Time{s[100]}
BtlGuide_MeterButton_Hint	{s[065]} Hint{s[100]}
BtlGuide_MeterButton_LaboPass	{s[065]} Pass{s[100]}
BtlGuide_MeterButton_QuizEnd	{s[080]} Finish{s[100]}
BtlGuide_MeterButton_Cheer	{s[065]} Cheer{s[100]}
BtlGuide_MeterButton_Escape	{s[065]} Flee{s[100]}
BtlGuide_MeterButton_LaboExit	{s[065]} Quit{s[100]}
BtlGuide_MeterButton_LaboGiveUp	{s[065]} Give Up{s[100]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Puzzle	{s[075]}\x0e\x03\0\x04\0\0\0\0↕ Select Action　↔ Select Enemy　 Change View　 Confirm{s[100]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku	{s[075]}\x0e\x03\0\x04\0\0\0\0↕ Select Action　 Confirm{s[100]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Sugoroku2	{s[075]}\x0e\x03\0\x04\0\0\0\0↕ Select Action　 Back　 Confirm{s[100]}
BtlGuide_KeyGuideBar_SelectEnemy_B_DecideCmd	{s[075]}\x0e\x03\0\x04\0\0\0\0 Quit{s[100]}
BtlGuide_KeyGuideBar_SelectEnemy_B_Menu_Weapon	{s[075]}\x0e\x03\0\x04\0\0\0\0 Select　 Back　 Confirm{s[100]}
BtlGuide_KeyGuideBar_GodHandOperation	{s[075]}\x0e\x03\0\x04\0\0\0\0{s[100]}{s[100]}{s[100]} {s[075]}Move 1,000-Fold Arms　 Reset Arms{s[100]}
BtlGuide_KeyGuideBar_GodHandOperation_Stick	{s[075]}\x0e\x03\0\x04\0\0\0\0 Move 1,000-Fold Arms{s[100]}
BtlGuide_KeyGuideBar_RingOperation	{s[075]}\x0e\x03\0\x04\0\0\0\0 Toggle Rotate/Slide　 Select Ring　 Change View　 Confirm {s[100]}
BtlGuide_KeyGuideBar_RingOperation2	{s[075]}　　\x0e\x03\0\x04\0\0\0\0 Toggle Rotate/Slide　 Select Ring　 Change View　 Back　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide	{s[075]}\x0e\x03\0\x04\0\0\0\0 Ring Controls　 Change View　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide2	{s[075]}\x0e\x03\0\x04\0\0\0\0 Ring Controls　 Change View　 Back　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera	{s[075]}\x0e\x03\0\x04\0\0\0\0 Toggle Rotate/Slide　 Select Ring　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera2	{s[075]}\x0e\x03\0\x04\0\0\0\0 Toggle Rotate/Slide　 Select Ring　 Back　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperationSecond	{s[075]}\x0e\x03\0\x04\0\0\0\0 Ring Controls　 Change View　 Cancel　 Confirm{s[100]}
BtlGuide_KeyGuideBar_RingOperationSecond_NoCamera	{s[075]}\x0e\x03\0\x04\0\0\0\0 Cancel   Confirm{s[100]}
BtlGuide_KeyGuideBar_Variable_Help	 Help　
BtlGuide_Skip	{s[075]} Skip{s[100]}
BtlCmdList_Enter	{s[050]}\x0e\0\x01\x02\x02\0Confirm Move\x0e\0\x01\x02\xff\xff{s[100]}{s[100]} {s[100]}
BtlCmdList_Confirm	{s[050]}\x0e\0\x01\x02\x02\0Start Battle\x0e\0\x01\x02\xff\xff{s[100]}{s[100]} {s[100]}
