announce.msbt
AnnounceEmpty	暂无通知
AnnHead_01	饰品店开放
AnnBody_01	奇诺比奥镇的饰品店开放了。
AnnHead_02	饰品降价５０％
AnnBody_02	大酬宾！能在战斗中派上用场的饰品价格下降了５０％。
AnnHead_02_1	饰品降价８０％
AnnBody_02_1	大酬宾！能在战斗中派上用场的饰品价格下降了８０％。
AnnHead_02_2	饰品降价９０％
AnnBody_02_2	大酬宾！能在战斗中派上用场的饰品价格下降了９０％。
AnnHead_03	战斗研究所开放
AnnBody_03	奇诺比奥镇的战斗研究所开放了。
AnnHead_07	拼板正解显示机完成
AnnBody_07	战斗辅助功能“拼板正解显示机”完成了。请前往奇诺比奥镇的战斗研究所了解详细情况。
AnnHead_08	计时器自动延长机完成
AnnBody_08	战斗辅助功能“计时器自动延长机”完成了。请前往奇诺比奥镇的战斗研究所了解详细情况。
AnnHead_09	感应器研究所开放
AnnBody_09	郊游之路的感应器研究所开放了。
AnnHead_10	透明装完成
AnnBody_10	新的感应器“透明装”完成了。请前往郊游之路的感应器研究所了解详细情况。
AnnHead_11	隐藏砖块雷达完成
AnnBody_11	新的感应器“隐藏砖块雷达”完成了。请前往郊游之路的感应器研究所了解详细情况。
AnnHead_15	船的新型引擎完成
AnnBody_15	船的新型引擎完成了。请前往奇诺比奥镇的港口了解详细情况。
AnnHead_16	宝物模型的展示场所
AnnBody_16	你获得的“宝物模型”将会在奇诺比奥镇的大博物馆里展览。
AnnHead_19	乘客们回到桃花公主号上
AnnBody_19	跑到小岛上避难的桃花公主号乘客们全部回到船上了。
AnnHead_21	战斗之王条件达成
AnnBody_21	已达成奖杯“战斗之王”的条件。请前往大博物馆领取奖杯。
AnnHead_22	金币大亨条件达成
AnnBody_22	已达成奖杯“金币大亨”的条件。请前往大博物馆领取奖杯。
AnnHead_23	?砖块爱好者条件达成
AnnBody_23	已达成奖杯“?砖块爱好者”的条件。请前往大博物馆领取奖杯。
AnnHead_24	钓鱼专家条件达成
AnnBody_24	已达成奖杯“钓鱼专家”的条件。请前往大博物馆领取奖杯。
AnnHead_25	擂台冠军条件达成
