another_name.dat
msg_another_name_00	卡洛斯冠军[VAR 0102(0000)]
msg_another_name_01	冠军[VAR 0102(0000)]
msg_another_name_02	神奥冠军[VAR 0102(0000)]
msg_another_name_03	挚友[VAR 0102(0000)]
msg_another_name_04	一起接受过试练的[VAR 0102(0000)]
msg_another_name_05	经验老到的[VAR 0102(0000)]
msg_another_name_06	高手[VAR 0102(0000)]
msg_another_name_07	那时很努力的[VAR 0102(0000)]
msg_another_name_08	那天精神抖擞的[VAR 0102(0000)]
msg_another_name_09	以前是胆小鬼的[VAR 0102(0000)]
msg_another_name_10	有着伤心过去的[VAR 0102(0000)]
msg_another_name_11	也曾犯错的[VAR 0102(0000)]
msg_another_name_12	那天神清气爽的[VAR 0102(0000)]
msg_another_name_13	总是在睡觉的[VAR 0102(0000)]
msg_another_name_14	笑口常开的[VAR 0102(0000)]
msg_another_name_15	豪华[VAR 0102(0000)]
msg_another_name_16	高贵[VAR 0102(0000)]
msg_another_name_17	豪华＆高贵[VAR 0102(0000)]
msg_another_name_18	成为绘画模特的[VAR 0102(0000)]
msg_another_name_19	以自己的脚印为傲的[VAR 0102(0000)]
msg_another_name_20	保持纪录的[VAR 0102(0000)]
msg_another_name_21	保持厉害纪录的[VAR 0102(0000)]
msg_another_name_22	优胜者[VAR 0102(0000)]
msg_another_name_23	克服了困难的[VAR 0102(0000)]
msg_another_name_24	１００连胜的[VAR 0102(0000)]
msg_another_name_25	称霸世界的[VAR 0102(0000)]
msg_another_name_26	喜欢宝可梦的[VAR 0102(0000)]
msg_another_name_27	度过了纪念日的[VAR 0102(0000)]
msg_another_name_28	参加了活动的[VAR 0102(0000)]
msg_another_name_29	总是在一起的[VAR 0102(0000)]
msg_another_name_30	特别日子里的[VAR 0102(0000)]
msg_another_name_31	精彩回忆里的[VAR 0102(0000)]
msg_another_name_32	梦想成真的[VAR 0102(0000)]
msg_another_name_33	对战冠军[VAR 0102(0000)]
msg_another_name_34	地区冠军[VAR 0102(0000)]
msg_another_name_35	国家冠军[VAR 0102(0000)]
msg_another_name_36	世界冠军[VAR 0102(0000)]
msg_another_name_37	辉煌回忆里的[VAR 0102(0000)]
msg_another_name_38	热血回忆里的[VAR 0102(0000)]
msg_another_name_39	丰缘冠军[VAR 0102(0000)]
msg_another_name_40	传奇明星[VAR 0102(0000)]
msg_another_name_41	曾经是明星的[VAR 0102(0000)]
msg_another_name_42	当时美丽动人的[VAR 0102(0000)]
msg_another_name_43	曾是偶像的[VAR 0102(0000)]
