another_name.dat
msg_another_name_00	カロスチャンピオン　[VAR 0102(0000)]
msg_another_name_01	チャンピオン　[VAR 0102(0000)]
msg_another_name_02	シンオウチャンピオン　[VAR 0102(0000)]
msg_another_name_03	しんゆうの　[VAR 0102(0000)]
msg_another_name_04	しれんをともにした　[VAR 0102(0000)]
msg_another_name_05	べテランの　[VAR 0102(0000)]
msg_another_name_06	たつじんの　[VAR 0102(0000)]
msg_another_name_07	あのころがんばった　[VAR 0102(0000)]
msg_another_name_08	あのひしゃきっとした　[VAR 0102(0000)]
msg_another_name_09	むかしビビりだった　[VAR 0102(0000)]
msg_another_name_10	かなしいことがあった　[VAR 0102(0000)]
msg_another_name_11	ミスするひもあった　[VAR 0102(0000)]
msg_another_name_12	あのひスッキリした　[VAR 0102(0000)]
msg_another_name_13	ねてばかりだった　[VAR 0102(0000)]
msg_another_name_14	よくわらっていた　[VAR 0102(0000)]
msg_another_name_15	ゴージャス　[VAR 0102(0000)]
msg_another_name_16	ロイヤル　[VAR 0102(0000)]
msg_another_name_17	ゴージャス＆ロイヤル　[VAR 0102(0000)]
msg_another_name_18	えのモデルになった　[VAR 0102(0000)]
msg_another_name_19	あしあとがじまんの　[VAR 0102(0000)]
msg_another_name_20	きろくをもつ　[VAR 0102(0000)]
msg_another_name_21	すごいきろくをもつ　[VAR 0102(0000)]
msg_another_name_22	ゆうしょうしゃの　[VAR 0102(0000)]
msg_another_name_23	こんなんをのりこえた　[VAR 0102(0000)]
msg_another_name_24	１００にんぬきの　[VAR 0102(0000)]
msg_another_name_25	せかいをせいした　[VAR 0102(0000)]
msg_another_name_26	ポケモンずきの　[VAR 0102(0000)]
msg_another_name_27	きねんびをすごした　[VAR 0102(0000)]
msg_another_name_28	イベントにさんかした　[VAR 0102(0000)]
msg_another_name_29	いつもいっしょの　[VAR 0102(0000)]
msg_another_name_30	プレミアムなひの　[VAR 0102(0000)]
msg_another_name_31	さいこうのおもいでの　[VAR 0102(0000)]
msg_another_name_32	ゆめかなえし　[VAR 0102(0000)]
msg_another_name_33	バトルチャンピオン　[VAR 0102(0000)]
msg_another_name_34	エリアチャンピオン　[VAR 0102(0000)]
msg_another_name_35	ナショナルチャンピオン　[VAR 0102(0000)]
