album.msbt
armor.msbt
Fighter00	Squire Armor
Fighter01	Leather Armor
Fighter02	Copper Armor
Fighter03	Iron Armor
Fighter04	Silver Armor
Fighter05	Magical Armor
Fighter06	Steel Armor
Fighter07	Ancient Armor
Fighter08	Dragon Armor
Fighter09	Gold Armor
Fighter10	Sacred Armor
Fighter11	Hero Armor
Fighter12	Legendary Armor
Fighter13	Super Armor
Fighter14	Macho Armor
Fighter15	Heart Armor
Fighter16	Bee Armor
Fighter17	Polka-Dot Armor
Fighter18	Ragged Armor
Fighter19	Woolly Armor
Fighter20	Adventure Armor
Fighter21	Shell Armor
Fighter22	Neon Armor
Fighter23	Garish Armor
Fighter24	Samurai Armor
Fighter25	Monster Armor
Fighter26	Bronze Armor
Fighter27	Viking Armor
Fighter28	Raven Armor
Fighter29	Camo Armor
Fighter30	Space Armor
Wizard00	Apprentice Robe
Wizard01	Linen Robe
Wizard02	Leather Robe
Wizard03	Silk Robe
Wizard04	Magical Robe
Wizard05	Spirit Robe
Wizard06	Sparkling Robe
Wizard07	Black Magic Robe
Wizard08	Sorcerer Robe
Wizard09	Magma Robe
Wizard10	Rune Robe
Wizard11	Hero Robe
Wizard12	Legendary Robe
Wizard13	Super Robe
Wizard14	Macho Robe
Wizard15	Heart Robe
Wizard16	Puffer Jacket Robe
Wizard17	Polka-Dot Robe
Wizard18	Ragged Robe
Wizard19	Woolly Robe
Wizard20	Cheerful Robe
Wizard21	Suit Robe
Wizard22	Zip Robe
Wizard23	Crossed-Heart Robe
Wizard24	Clown Robe
Wizard25	Kimono Robe
Wizard26	Celebrity Robe
Wizard27	Tin Robe
Wizard28	Faux-Snakeskin Robe
Wizard29	Dancer's Robe
Priest00	Novice Vestments
Priest01	Morning Vestments
Priest02	Leather Vestments
Priest03	Silk Vestments
Priest04	Sunlight Vestments
Priest05	Holy Vestments
Priest06	Mystic Vestments
Priest07	Puzzle Vestments
Priest08	Enlightened Vestments
Priest09	Sacred Vestments
Priest10	Judgment Vestments
Priest11	Hero Vestments
Priest12	Legendary Vestments
Priest13	Super Vestments
Priest14	Macho Vestments
Priest15	Heart Vestments
Priest16	Penguin Vestments
Priest17	Polka-Dot Vestments
Priest18	Ragged Vestments
Priest19	Woolly Vestments
Priest20	Japanese Vestments
Priest21	Frilly Vestments
Priest22	Prayer Vestments
Priest23	Matryoshka Vestments
Priest24	Bread Vestments
Priest25	Bell Vestments
Priest26	Wicker Vestments
Priest27	Glass Vestments
Priest28	Ghost Vestments
Priest29	Tin Vestments
Thief00	Apprentice Gear
Thief01	Leather Gear
Thief02	Faux-Fur Gear
Thief03	Silk Gear
Thief04	Stone Gear
Thief05	Swimming Gear
Thief06	Pirate Gear
Thief07	Lightning Gear
Thief08	Ninja Gear
Thief09	Steel Gear
Thief10	Punk Gear
Thief11	Hero Gear
Thief12	Legendary Gear
Thief13	Super Gear
Thief14	Macho Gear
Thief15	Heart Gear
Thief16	Skeleton Gear
Thief17	Polka-Dot Gear
Thief18	Ragged Gear
Thief19	Woolly Gear
Thief20	Monster Gear
Thief21	Golden-Skull Gear
Thief22	Desert Gear
Thief23	Chick Gear
Thief24	High-Tech Gear
Thief25	Ice Cream Gear
Thief26	Pharaoh Gear
Thief27	Ancient Gear
Thief28	Mushroom Gear
Thief29	Outdoor Gear
IdolM00	Debutant Threads
IdolM01	Hero Threads
IdolM02	Legendary Threads
IdolM03	Super Threads
IdolM04	Macho Threads
IdolM05	Heart Threads
IdolM06	Sparkling Threads
IdolM07	Polka-Dot Threads
IdolM08	Ragged Threads
IdolM09	Woolly Threads
IdolM10	Prince Threads
IdolM11	Casual Threads
IdolM12	Wild Threads
IdolM13	Tuxedo Threads
IdolM14	Colorful Threads
IdolM15	Smart Threads
IdolF00	Debutante Outfit
IdolF01	Hero Outfit
IdolF02	Legendary Outfit
IdolF03	Super Outfit
IdolF04	Macho Outfit
IdolF05	Heart Outfit
IdolF06	Strawberry Outfit
IdolF07	Polka-Dot Outfit
IdolF08	Ragged Outfit
IdolF09	Woolly Outfit
IdolF10	School Outfit
IdolF11	Gothic Punk Outfit
IdolF12	Fairy Outfit
IdolF13	Kimono Outfit
IdolF14	Gingham Outfit
IdolF15	Aurora Outfit
Vampire00	Thrall Suit
Vampire01	Rose Suit
Vampire02	White Suit
Vampire03	Leather Suit
Vampire04	Darkness Suit
Vampire05	Frilly Suit
Vampire06	Velvet Suit
Vampire07	Silver Suit
Vampire08	Gold Suit
Vampire09	Demon Suit
Vampire10	Platinum Suit
Vampire11	Hero Suit
Vampire12	Legendary Suit
Vampire13	Super Suit
Vampire14	Macho Suit
Vampire15	Heart Suit
Vampire16	Lovely Suit
Vampire17	Polka-Dot Suit
Vampire18	Ragged Suit
Vampire19	Woolly Suit
Vampire20	Sweet Suit
Vampire21	Gift Suit
Vampire22	Kimono Suit
Vampire23	Leprechaun Suit
Vampire24	Aquarium Suit
Vampire25	Magician Suit
Vampire26	Tin Suit
Vampire27	Plaid Suit
Vampire28	Stylish Suit
Vampire29	Brat Suit
Cook00	Commis Uniform
Cook01	Chinese Uniform
Cook02	Frilly Uniform
Cook03	Leather Uniform
Cook04	Three-Star Uniform
Cook05	Sinister Uniform
Cook06	Wonder Uniform
Cook07	Halloween Uniform
Cook08	Flame Uniform
Cook09	Sailor Uniform
Cook10	Chocolate Uniform
Cook11	Hero Uniform
Cook12	Legendary Uniform
Cook13	Super Uniform
Cook14	Macho Uniform
Cook15	Heart Uniform
Cook16	Grapes Uniform
Cook17	Polka-Dot Uniform
Cook18	Ragged Uniform
Cook19	Woolly Uniform
Cook20	Robot Uniform
Cook21	Outlandish Uniform
Cook22	Pro Uniform
Cook23	Sweet Uniform
Cook24	Newsprint Uniform
Cook25	Master Uniform
Cook26	Checked Uniform
Cook27	Statue Uniform
Cook28	Wooden Uniform
Cook29	Sushi Chef Uniform
Tank00	Training Tank
Tank01	Camo Tank
Tank02	Wooden Tank
Tank03	Octopus Tank
Tank04	Rusty Tank
Tank05	Toy Tank
Tank06	Cardboard Tank
Tank07	Ice Tank
Tank08	Patchwork Tank
Tank09	Neon Tank
Tank10	Brick Tank
Tank11	Hero Tank
Tank12	Legendary Tank
Tank13	Super Tank
Tank14	Macho Tank
Tank15	Heart Tank
Tank16	Watermelon Tank
Tank17	Polka-Dot Tank
Tank18	Ragged Tank
Tank19	Woolly Tank
Tank20	Lacquered Tank
Tank21	Fancy Tank
Tank22	Camo Tank II
Tank23	Disco Ball Tank
Tank24	Billiard Tank
Tank25	Tiger Tank
Tank26	Graffiti Tank
Tank27	Titanium Tank
Tank28	Steampunk Tank
Tank29	Acropolis Tank
Devil00	Training Costume
Devil01	Goat Costume
Devil02	Bat Costume
Devil03	Uniform Costume
Devil04	Mummy Costume
Devil05	Silver Costume
Devil06	Rock Costume
Devil07	Steampunk Costume
Devil08	Odd Bird Costume
Devil09	Dragon Costume
Devil10	Harlequin Costume
Devil11	Hero Costume
Devil12	Legendary Costume
Devil13	Super Costume
Devil14	Macho Costume
Devil15	Heart Costume
Devil16	Statue Costume
Devil17	Polka-Dot Costume
Devil18	Ragged Costume
Devil19	Woolly Costume
Devil20	Angel Costume
Devil21	Leather Costume
Devil22	Lacy Costume
Devil23	Lightning Costume
Devil24	Neon Costume
Devil25	Egyptian Costume
Devil26	Fairy Costume
Devil27	Demon Costume
Devil28	Robot Costume
Devil29	Squid Costume
Royalty00	Debutante Gown
Royalty01	Floral Gown
Royalty02	Peasant Gown
Royalty03	Embroidered Gown
Royalty04	Crystal Gown
Royalty05	Chinese Gown
Royalty06	Silk Gown
Royalty07	Olympian Gown
Royalty08	Celestial Gown
Royalty09	Witch Gown
Royalty10	Valkyrie Gown
Royalty11	Hero Gown
Royalty12	Legendary Gown
Royalty13	Super Gown
Royalty14	Macho Gown
Royalty15	Heart Gown
Royalty16	Queen Bee Gown
Royalty17	Polka-Dot Gown
Royalty18	Ragged Gown
Royalty19	Woolly Gown
Royalty20	Maid Gown
Royalty21	Wedding Gown
Royalty22	Punk Gown
Royalty23	Nurse Gown
Royalty24	Futuristic Gown
Royalty25	Sailor Gown
Royalty26	Colorful Gown
Royalty27	Sweet Gown
Royalty28	Disco Gown
Royalty29	Kimono Gown
Flower00	Budding Flower
Flower01	Cherry Blossom
Flower02	Dandelion
Flower03	Violet
Flower04	Sunflower
Flower05	Rose
Flower06	Venus Flytrap
Flower07	Lotus
Flower08	Four-Leaf Clover
Flower09	Cactus Flower
Flower10	Flower Bouquet
Flower11	Hero Flower
Flower12	Legendary Flower
Flower13	Super Flower
Flower14	Macho Flower
Flower15	Heart Flower
Flower16	Rafflesia
Flower17	Polka-Dot Flower
Flower18	Ragged Flower
Flower19	Woolly Flower
Flower20	Peacock Flower
Flower21	Dried Flower
Flower22	Stained-Glass Flower
Flower23	Crystal Flower
Flower24	Sea Anemone Flower
Flower25	Scribble Flower
Flower26	Mandrake
Flower27	Goddess Flower
Flower28	Mushroom Flower
Flower29	Robot Flower
Scientist00	Student Lab Gear
Scientist01	Experiment Lab Gear
Scientist02	Smart Lab Gear
Scientist03	High-Tech Lab Gear
Scientist04	Eyeball Lab Gear
Scientist05	Watch Lab Gear
Scientist06	Outlandish Lab Gear
Scientist07	Steampunk Lab Gear
Scientist08	Rose Lab Gear
Scientist09	Cyber Lab Gear
Scientist10	Pirate Lab Gear
Scientist11	Hero Lab Gear
Scientist12	Legendary Lab Gear
Scientist13	Super Lab Gear
Scientist14	Macho Lab Gear
Scientist15	Heart Lab Gear
Scientist16	Explosion Lab Gear
Scientist17	Polka-Dot Lab Gear
Scientist18	Ragged Lab Gear
Scientist19	Woolly Lab Gear
Scientist20	Metallic Lab Gear
Scientist21	Tropical Lab Gear
Scientist22	Masquerade Lab Gear
Scientist23	Star Lab Gear
Scientist24	Two-Tone Lab Gear
Scientist25	Japanese Lab Gear
Scientist26	Slime Lab Gear
Scientist27	Toy Lab Gear
Scientist28	Snazzy Lab Gear
Scientist29	Minimalist Lab Gear
Cat00	Kitten Suit
Cat01	Tabby Cat Suit
Cat02	Bengal Cat Suit
Cat03	Calico Cat Suit
Cat04	Siamese Cat Suit
Cat05	Sphynx Cat Suit
Cat06	Fluffy Cat Suit
Cat07	Spotted Cat Suit
Cat08	Leotard Cat Suit
Cat09	Egyptian Cat Suit
Cat10	Puss in Boots Suit
Cat11	Hero Cat Suit
Cat12	Legendary Cat Suit
Cat13	Super Cat Suit
Cat14	Macho Cat Suit
Cat15	Heart Cat Suit
Cat16	Casual Cat Suit
Cat17	Polka-Dot Cat Suit
Cat18	Ragged Cat Suit
Cat19	Woolly Cat Suit
Cat20	Robot Cat Suit
Cat21	Outlandish Cat Suit
Cat22	Gentleman Cat Suit
Cat23	Stationmaster Cat Suit
Cat24	Kimono Jacket Cat Suit
Cat25	Pajama Cat Suit
Cat26	Maid Cat Suit
Cat27	Werewolf Cat Suit
Cat28	Dinosaur Cat Suit
Cat29	Leather Cat Suit
Elf00	Sprite Raiment
Elf01	Leather Raiment
Elf02	Iron Raiment
Elf03	Silver Raiment
Elf04	Wind Raiment
Elf05	Wisdom Raiment
Elf06	Spirit Raiment
Elf07	Dark Raiment
Elf08	Sacred Raiment
Elf09	Dragon Raiment
Elf10	Fluffy Raiment
Elf11	Hero Raiment
Elf12	Legendary Raiment
Elf13	Super Raiment
Elf14	Macho Raiment
Elf15	Heart Raiment
