Enemy.msbt
enemy_name_MARIO	瑪利歐
enemy_name_LUCIE	紙貼貼
enemy_name_KOOPA	庫巴
enemy_name_KPJ	庫巴Jr.
enemy_name_KMK	卡美克
enemy_name_HNB	花毛毛的身體
enemy_name_KUR	栗寶寶
enemy_name_KUR_K	閃亮栗寶寶
enemy_name_2MAI_KUR	２張栗寶寶
enemy_name_2MAI_KUR_K	２張閃亮栗寶寶
enemy_name_4MAI_KUR	４張栗寶寶
enemy_name_4MAI_KUR_K	４張閃亮栗寶寶
enemy_name_KAMI_TGK	紙錐栗寶寶
enemy_name_KAMI_TGK_K	閃亮紙錐栗寶寶
enemy_name_16MAI_KUR	栗寶寶老大
enemy_name_PTK	飛行栗寶寶
enemy_name_5MAI_PTK	５張飛行栗寶寶
enemy_name_PTK_K	閃亮飛行栗寶寶
enemy_name_NKT	慢慢龜
enemy_name_NKT_K	閃亮慢慢龜
enemy_name_PTT	飛行龜
enemy_name_PTT_K	閃亮飛行龜
enemy_name_MET	鋼盔龜
enemy_name_MET_K	閃亮鋼盔龜
enemy_name_HMT	枯骨鋼盔龜
enemy_name_TMT	尖刺鋼盔龜
enemy_name_DMT	大鋼盔龜
enemy_name_TGZ	刺刺龜
enemy_name_BOM	炸彈兵
enemy_name_BOM_K	閃亮炸彈兵
enemy_name_SNB	刺球丸子
enemy_name_DSB	刺球丸子老大
enemy_name_PKPK	泡泡魚
enemy_name_SPU	跟蹤泡泡魚
enemy_name_BIG_PKPK	大泡泡魚
enemy_name_HEI	嘿呵
enemy_name_MHE	墨西哥帽嘿呵
enemy_name_MRHE	沙鈴嘿呵
enemy_name_AHE	手風琴嘿呵
enemy_name_PHE	油漆嘿呵
enemy_name_CHE	迴紋針嘿呵
enemy_name_YHH	長矛嘿呵
enemy_name_MCH	木喬
enemy_name_GSA	蜘蛛怪
enemy_name_DGSGS	大蜘蛛怪
enemy_name_EMP	毒魷魷
enemy_name_BOS_GES	魷魷老大
enemy_name_TRS	害羞幽靈
enemy_name_TTR	一疊害羞幽靈
enemy_name_DTR	大害羞幽靈
enemy_name_SKP	庫巴雪雕
enemy_name_THM	雪球人老大
enemy_name_WAN	汪汪
enemy_name_DWN	大汪汪
enemy_name_POO	扳手仔
enemy_name_CPO	黃鼴鼠
enemy_name_PKF	食人花
enemy_name_IPK	噴墨食人花
enemy_name_FPK	火焰食人花
enemy_name_FFPK	呼呼食人花
enemy_name_BPK	食人花老大
enemy_name_KIL	炮彈刺客
enemy_name_KHD	炮彈刺客砲台
enemy_name_MKL	大炮彈刺客
enemy_name_MKH	大炮彈刺客砲台
enemy_name_HBR	鐵鎚兄弟
enemy_name_BBR	回力標兄弟
enemy_name_FBR	火焰兄弟
enemy_name_IBR	冰凍兄弟
enemy_name_GBN	加邦
enemy_name_IGB	雪球加邦
enemy_name_BSA	啪沙啪沙蝙蝠
enemy_name_KRN	碎碎龜
enemy_name_HKN	哈庫
enemy_name_CBN	絨毛怪
enemy_name_CYU	吱吱鼠
enemy_name_CRA	砸磚拳手
enemy_name_BTN	砰砰
enemy_name_HKR	壁畫栗寶寶
enemy_name_HNK	壁畫慢慢龜
global.msbt
yesno	要\n不要
noyes	不要\n要
kanban_ura	背面什麼也沒寫
item_full	貼紙簿已經貼不下了
bero_to_stagemap	要到世界地圖嗎？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
