Enemy.msbt
enemy_name_MARIO	马力欧
enemy_name_LUCIE	智贴贴
enemy_name_KOOPA	酷霸王
enemy_name_KPJ	酷霸王Jr.
enemy_name_KMK	卡美克
enemy_name_HNB	花之子的身体
enemy_name_KUR	栗子小子
enemy_name_KUR_K	闪闪栗子小子
enemy_name_2MAI_KUR	２张栗子小子
enemy_name_2MAI_KUR_K	２张闪闪栗子小子
enemy_name_4MAI_KUR	４张栗子小子
enemy_name_4MAI_KUR_K	４张闪闪栗子小子
enemy_name_KAMI_TGK	纸锥栗子小子
enemy_name_KAMI_TGK_K	闪闪纸锥栗子小子
enemy_name_16MAI_KUR	栗子小子头头
enemy_name_PTK	啪嗒栗子小子
enemy_name_5MAI_PTK	５张啪嗒栗子小子
enemy_name_PTK_K	闪闪啪嗒栗子小子
enemy_name_NKT	喏库喏库
enemy_name_NKT_K	闪闪喏库喏库
enemy_name_PTT	啪嗒啪嗒
enemy_name_PTT_K	闪闪啪嗒啪嗒
enemy_name_MET	钢盔甲虫
enemy_name_MET_K	闪闪钢盔甲虫
enemy_name_HMT	枯骨甲虫
enemy_name_TMT	刺壳甲虫
enemy_name_DMT	巨型钢盔甲虫
enemy_name_TGZ	刺虫
enemy_name_BOM	炸弹兵
enemy_name_BOM_K	闪闪炸弹兵
enemy_name_SNB	刺球
enemy_name_DSB	刺球头头
enemy_name_PKPK	泡泡怪
enemy_name_SPU	巡游泡泡怪
enemy_name_BIG_PKPK	巨型泡泡怪
enemy_name_HEI	嘿虎
enemy_name_MHE	墨西哥帽嘿虎
enemy_name_MRHE	沙球嘿虎
enemy_name_AHE	手风琴嘿虎
enemy_name_PHE	油漆嘿虎
enemy_name_CHE	回形针嘿虎
enemy_name_YHH	长矛嘿虎
enemy_name_MCH	木乔
enemy_name_GSA	蜘蛛怪
enemy_name_DGSGS	巨型蜘蛛怪
enemy_name_EMP	毒乌贼怪
enemy_name_BOS_GES	乌贼怪头头
enemy_name_TRS	嘘嘘鬼
enemy_name_TTR	束束嘘嘘鬼
enemy_name_DTR	巨型嘘嘘鬼
enemy_name_SKP	酷霸王雪雕
enemy_name_THM	雪球人头头
enemy_name_WAN	汪汪
enemy_name_DWN	巨型汪汪
enemy_name_POO	扳手仔
enemy_name_CPO	黄鼹鼠
enemy_name_PKF	食人花
enemy_name_IPK	喷墨食人花
enemy_name_FPK	火焰食人花
enemy_name_FFPK	呼呼食人花
enemy_name_BPK	食人花头头
enemy_name_KIL	弹头杀手
enemy_name_KHD	弹头杀手炮台
enemy_name_MKL	大弹头杀手
enemy_name_MKH	大弹头杀手炮台
enemy_name_HBR	锤子兄弟
enemy_name_BBR	飞旋镖兄弟
enemy_name_FBR	火焰兄弟
enemy_name_IBR	冰冻兄弟
enemy_name_GBN	加邦
enemy_name_IGB	雪球加邦
enemy_name_BSA	啪萨啪萨
enemy_name_KRN	枯骨怪
enemy_name_HKN	哈库
enemy_name_CBN	绒毛怪
enemy_name_CYU	吱吱
enemy_name_CRA	砸砖拳手
enemy_name_BTN	嘭嘭
enemy_name_HKR	壁画栗子小子
enemy_name_HNK	壁画喏库喏库
global.msbt
yesno	是\n否
noyes	否\n是
kanban_ura	　背面什么也没写。
item_full	　无法再粘贴到收集册中。
bero_to_stagemap	　要去世界地图吗？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
query_save	要保存至今为止的\n　游戏内容吗？\x0e\x03\0\x14\0\0\xff\xff\0\0d\0\n\0y\0e\0s\0n\0o\0
wait_saving	正在保存……\n　请不要关闭电源。\x0e\x01\x01\0
info_saved	　保存完毕。\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
query_save_to_title	　要保存并返回标题画面吗？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
info_saved_to_title	　保存完毕。\n　即将返回标题画面。\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
rest_00	在感到疲劳之前，先休息一下吧！
info_staff	\x0e\x02\x06\x04\0\0\x03\0贴纸嘉年华的会场里\n\x0e\x02\x06\x04\0\0\xfc\xff　多了一个奇诺比奥。\x0e\0\x04\0\x0e\x02\x06\x04\0\0\x0b\0　试着跟他说话吧。
getitem_ok_01	贴纸
getmonoart_ok_00	得到
getmonoart_ok_01	了！
getmappeace_ok_00	得到
getmappeace_ok_01	了！
getitem_ng	已经拿不下了！
IC_HAMMER	锤子
SL_LUCIE	智贴贴
SL_RAGGED_JUMP	破烂跳
SL_JUMP	跳
SL_JUMP_K	闪闪跳
SL_JUMP_KK	闪耀跳
SL_DEKA_JUMP_K	巨型闪闪跳
SL_DODEKA_JUMP_KK	巨大闪耀跳
SL_IRON_JUMP	钢铁跳
SL_IRON_JUMP_K	闪闪钢铁跳
SL_IRON_JUMP_KK	闪耀钢铁跳
SL_DEKA_IRON_JUMP_K	巨型闪闪钢铁跳
SL_DODEKA_IRON_JUMP_KK	巨大闪耀钢铁跳
SL_BANE_JUMP	弹簧跳
SL_BANE_JUMP_K	闪闪弹簧跳
SL_BANE_JUMP_KK	闪耀弹簧跳
SL_DEKA_BANE_JUMP_K	巨型闪闪弹簧跳
SL_DODEKA_BANE_JUMP_KK	巨大闪耀弹簧跳
SL_TSUGI_JUMP	轮流跳
SL_TSUGI_JUMP_K	闪闪轮流跳
SL_TSUGI_JUMP_KK	闪耀轮流跳
SL_DEKA_TSUGI_JUMP_K	巨型闪闪轮流跳
SL_DODEKA_TSUGI_JUMP_KK	巨大闪耀轮流跳
SL_BUNSIN_JUMP_KK	闪耀分身跳
SL_DEKA_BUNSIN_JUMP_KK	巨型闪闪分身跳
SL_DODEKA_BUNSIN_JUMP_KK	巨大闪耀分身跳
SL_MUGEN_JUMP_KK	闪耀无尽跳
SL_DEKA_MUGEN_JUMP_KK	巨型闪闪无尽跳
SL_DODEKA_MUGEN_JUMP_KK	巨大闪耀无尽跳
SL_RAGGED_HAMMER	破烂锤子
SL_HAMMER	锤子
SL_HAMMER_K	闪闪锤子
SL_HAMMER_KK	闪耀锤子
SL_DEKA_HAMMER_K	巨型闪闪锤子
SL_DODEKA_HAMMER_KK	巨大闪耀锤子
SL_BUN_HAMMER	砰砰锤子
SL_BUN_HAMMER_K	闪闪砰砰锤子
SL_BUN_HAMMER_KK	闪耀砰砰锤子
SL_DEKA_BUN_HAMMER_K	巨型闪闪砰砰锤子
SL_DODEKA_BUN_HAMMER_KK	巨大闪耀砰砰锤子
SL_PICO_HAMMER	卟卟锤子
SL_PICO_HAMMER_K	闪闪卟卟锤子
SL_PICO_HAMMER_KK	闪耀卟卟锤子
SL_DEKA_PICO_HAMMER_K	巨型闪闪卟卟锤子
SL_DODEKA_PICO_HAMMER_KK	巨大闪耀卟卟锤子
SL_MEGATON_HAMMER	丢丢锤子
SL_MEGATON_HAMMER_K	闪闪丢丢锤子
SL_MEGATON_HAMMER_KK	闪耀丢丢锤子
SL_DEKA_MEGATON_HAMMER_K	巨型闪闪丢丢锤子
SL_DODEKA_MEGATON_HAMMER_KK	巨大闪耀丢丢锤子
SL_MEE_HAMMER	咩咩锤子
SL_DEKA_MEE_HAMMER_K	巨型闪闪咩咩锤子
SL_DODEKA_MEE_HAMMER_KK	巨大闪耀咩咩锤子
SL_BURNING_HAMMER	灼热锤子
SL_DEKA_BURNING_HAMMER_K	巨型闪闪灼热锤子
SL_DODEKA_BURNING_HAMMER_KK	巨大闪耀灼热锤子
SL_SEVERE_HAMMER	极寒锤子
SL_DEKA_SEVERE_HAMMER_K	巨型闪闪极寒锤子
SL_DODEKA_SEVERE_HAMMER_KK	巨大闪耀极寒锤子
SL_SANDAL	沙滩鞋
SL_SANDAL_K	闪闪沙滩鞋
SL_SANDAL_KK	闪耀沙滩鞋
SL_TOGE_HAT	钉刺帽
SL_TOGE_HAT_K	闪闪钉刺帽
SL_TOGE_HAT_KK	闪耀钉刺帽
SL_DEKA_BOOTS	超级靴
SL_DEKA_BOOTS_K	闪闪超级靴
SL_DEKA_TAIL	尾巴
SL_DEKA_TAIL_K	闪闪尾巴
SL_DEKA_FROG	青蛙服
SL_DEKA_FROG_K	闪闪青蛙服
SL_FIRE_FLOWER	火之花
SL_FIRE_FLOWER_K	闪闪火之花
SL_FIRE_FLOWER_KK	闪耀火之花
SL_ICE_FLOWER	冰之花
SL_ICE_FLOWER_K	闪闪冰之花
SL_ICE_FLOWER_KK	闪耀冰之花
SL_POW_BLOCK	力量块
SL_POW_BLOCK_K	闪闪力量块
SL_POW_BLOCK_KK	闪耀力量块
SL_NOKONOKO_KOURA	龟壳
SL_NOKONOKO_KOURA_K	闪闪龟壳
SL_NOKONOKO_KOURA_KK	闪耀龟壳
SL_KINOKO	蘑菇
SL_KINOKO_K	闪闪蘑菇
SL_KINOKO_KK	闪耀蘑菇
SL_DEKA_1UP_KINOKO	巨型加命蘑菇
