Enemy.msbt
enemy_name_MARIO	マリオ
enemy_name_LUCIE	ルーシー
enemy_name_KOOPA	クッパ
enemy_name_KPJ	クッパJr.
enemy_name_KMK	カメック
enemy_name_HNB	ハナチャンのからだ
enemy_name_KUR	クリボー
enemy_name_KUR_K	キラクリボー
enemy_name_2MAI_KUR	２まいクリボー
enemy_name_2MAI_KUR_K	２まいキラクリボー
enemy_name_4MAI_KUR	４まいクリボー
enemy_name_4MAI_KUR_K	４まいキラクリボー
enemy_name_KAMI_TGK	かみトゲクリボー
enemy_name_KAMI_TGK_K	キラかみトゲクリボー
enemy_name_16MAI_KUR	ボスクリボー
enemy_name_PTK	パタクリボー
enemy_name_5MAI_PTK	５まいパタクリボー
enemy_name_PTK_K	キラパタクリボー
enemy_name_NKT	ノコノコ
enemy_name_NKT_K	キラノコノコ
enemy_name_PTT	パタパタ
enemy_name_PTT_K	キラパタパタ
enemy_name_MET	メット
enemy_name_MET_K	キラメット
enemy_name_HMT	ホネメット
enemy_name_TMT	トゲメット
enemy_name_DMT	でかメット
enemy_name_TGZ	トゲゾー
enemy_name_TGZ_K	キラトゲゾー
enemy_name_BOM	ボムへい
enemy_name_BOM_K	キラボムへい
enemy_name_SNB	サンボ
enemy_name_DSB	ボスサンボ
enemy_name_PKPK	プクプク
enemy_name_SPU	サーチプクプク
enemy_name_BIG_PKPK	でかプクプク
enemy_name_HEI	ヘイホー
enemy_name_MHE	ソンブレロヘイホー
enemy_name_MRHE	マラカスヘイホー
enemy_name_AHE	アコーディオンヘイホー
enemy_name_PHE	ペンキヘイホー
enemy_name_CHE	クリップヘイホー
enemy_name_YHH	ヤリホー
enemy_name_MCH	ムーチョ
enemy_name_GSA	ガサゴソ
enemy_name_DGSGS	でかガサゴソ
enemy_name_EMP	どくゲッソー
enemy_name_BOS_GES	ボスゲッソー
enemy_name_TRS	テレサ
enemy_name_TTR	たばテレサ
enemy_name_DTR	でかテレサ
enemy_name_SKP	クッパせつぞう
enemy_name_THM	ボススローマン
enemy_name_WAN	ワンワン
enemy_name_DWN	でかワンワン
enemy_name_POO	プー
enemy_name_CPO	チョロプー
enemy_name_PKF	パックンフラワー
enemy_name_IPK	インクパックン
enemy_name_FPK	ファイアパックン
enemy_name_FFPK	フーフーパックン
enemy_name_BPK	ボスパックン
enemy_name_KIL	キラー
enemy_name_KHD	キラーほうだい
enemy_name_MKL	マグナムキラー
enemy_name_MKH	マグナムキラーほうだい
enemy_name_HBR	ハンマーブロス
enemy_name_BBR	ブーメランブロス
enemy_name_FBR	ファイアブロス
enemy_name_IBR	アイスブロス
enemy_name_GBN	ガボン
enemy_name_IGB	アイスガボン
enemy_name_BSA	バサバサ
enemy_name_KRS	クロスケー
enemy_name_KRN	カロン
enemy_name_KRN_K	キラカロン
enemy_name_HKN	ハックン
enemy_name_CBN	チョロボン
enemy_name_CYU	チュウチュウ
enemy_name_CRA	クラッシャー
enemy_name_BTN	バッタン
enemy_name_HKR	へきがクリボー
enemy_name_HNK	へきがノコノコ
global.msbt
yesno	はい\nいいえ
noyes	いいえ\nはい
kanban_ura	うらには　なにも　かかれていない
item_full	これ\x0e\0\0\x0c\x04\0\x08\0D0X0\x870F0以上 \x0e\0\0\x0c\x04\0\x08\0f0a0\x870F0手帳に\x0e\0\0\x06\x02\0\x02\0o0貼れません
bero_to_stagemap	ワールドマップに　でますか？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
query_save	これまでの　ゲームないようを\nセーブしますか？\x0e\x03\0\x14\0\0\xff\xff\0\0d\0\n\0y\0e\0s\0n\0o\0
wait_saving	セーブしています\nでんげんを　きらないでください\x0e\x01\x01\0\n
info_saved	セーブが　おわりました\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
query_save_to_title	セーブして　タイトルに　もどりますか？\x0e\x03\0\x14\0\0\x01\0\0\0d\0\n\0y\0e\0s\0n\0o\0
info_saved_to_title	セーブしました\nタイトルに　もどります\x0e\x04\x04\x04\xe8\x03\0\0\x0e\x01\x01\0
rest_00	\x0e\0\0\x08\x02\0\x04\0d0K0疲れを\x0e\0\0\x08\x02\0\x04\0K0\x930感じる\x0e\0\0\x08\x02\0\x04\0~0H0前に、\x0e\0\0\n\x02\0\x06\0M0\x850F0休けいしましょう！
info_staff	\x0e\x02\x06\x04\0\0\x03\0シールフェスタ\x0e\0\0\x0e\x04\0\n\0K0D0X0\x870F0会場に　キノピオが　ひとり \n\x0e\x02\x06\x04\0\0\xfc\xffふえました。はなしかけて　みましょう。
getitem_ok_01	シール
getmonoart_ok_01	 をゲット！
getmappeace_ok_01	 をゲット！
getitem_ng	もう\x0e\0\0\x06\x02\0\x02\0\x820持てない！
IC_COIN	コイン
IC_1COIN	コイン
IC_HAMMER	ハンマー
SL_CROWN	おうかん
SL_LUCIE	ルーシー
SL_RAGGED_JUMP	ぼろジャンプ
SL_JUMP	ジャンプ
SL_JUMP_K	キラジャンプ
SL_JUMP_KK	キラキラジャンプ
SL_DEKA_JUMP_K	デカキラジャンプ
SL_DODEKA_JUMP_KK	メガキラジャンプ
SL_IRON_JUMP	アイアンジャンプ
SL_IRON_JUMP_K	キラアイアンジャンプ
SL_IRON_JUMP_KK	キラキラアイアンジャンプ
SL_DEKA_IRON_JUMP_K	デカキラアイアンジャンプ
SL_DODEKA_IRON_JUMP_KK	メガキラアイアンジャンプ
SL_BANE_JUMP	ばねジャンプ
SL_BANE_JUMP_K	キラばねジャンプ
SL_BANE_JUMP_KK	キラキラばねジャンプ
SL_DEKA_BANE_JUMP_K	デカキラばねジャンプ
SL_DODEKA_BANE_JUMP_KK	メガキラばねジャンプ
SL_TSUGI_JUMP	つぎつぎジャンプ
SL_TSUGI_JUMP_K	キラつぎつぎジャンプ
SL_TSUGI_JUMP_KK	キラキラつぎつぎジャンプ
SL_DEKA_TSUGI_JUMP_K	デカキラつぎつぎジャンプ
SL_DODEKA_TSUGI_JUMP_KK	メガキラつぎつぎジャンプ
SL_BUNSIN_JUMP_KK	キラキラぶんしんジャンプ
SL_DEKA_BUNSIN_JUMP_KK	デカキラぶんしんジャンプ
SL_DODEKA_BUNSIN_JUMP_KK	メガキラぶんしんジャンプ
SL_MUGEN_JUMP_KK	キラキラむげんジャンプ
SL_DEKA_MUGEN_JUMP_KK	デカキラむげんジャンプ
SL_DODEKA_MUGEN_JUMP_KK	メガキラむげんジャンプ
SL_RAGGED_HAMMER	ぼろハンマー
SL_HAMMER	ハンマー
SL_HAMMER_K	キラハンマー
SL_HAMMER_KK	キラキラハンマー
SL_DEKA_HAMMER_K	デカキラハンマー
SL_DODEKA_HAMMER_KK	メガキラハンマー
SL_BUN_HAMMER	ブンブンハンマー
SL_BUN_HAMMER_K	キラブンブンハンマー
SL_BUN_HAMMER_KK	キラキラブンブンハンマー
SL_DEKA_BUN_HAMMER_K	デカキラブンブンハンマー
SL_DODEKA_BUN_HAMMER_KK	メガキラブンブンハンマー
SL_PICO_HAMMER	ピコピコハンマー
SL_PICO_HAMMER_K	キラピコピコハンマー
SL_PICO_HAMMER_KK	キラキラピコピコハンマー
SL_DEKA_PICO_HAMMER_K	デカキラピコピコハンマー
SL_DODEKA_PICO_HAMMER_KK	メガキラピコピコハンマー
SL_MEGATON_HAMMER	ポイなげハンマー
SL_MEGATON_HAMMER_K	キラポイなげハンマー
SL_MEGATON_HAMMER_KK	キラキラポイなげハンマー
SL_DEKA_MEGATON_HAMMER_K	デカキラポイなげハンマー
SL_DODEKA_MEGATON_HAMMER_KK	メガキラポイなげハンマー
SL_MEE_HAMMER	めぇめぇハンマー
SL_DEKA_MEE_HAMMER_K	デカキラめぇめぇハンマー
SL_DODEKA_MEE_HAMMER_KK	メガキラめぇめぇハンマー
SL_BURNING_HAMMER	しゃくねつハンマー
SL_DEKA_BURNING_HAMMER_K	デカキラしゃくねつハンマー
SL_DODEKA_BURNING_HAMMER_KK	メガキラしゃくねつハンマー
SL_SEVERE_HAMMER	ごっかんハンマー
SL_DEKA_SEVERE_HAMMER_K	デカキラごっかんハンマー
SL_DODEKA_SEVERE_HAMMER_KK	メガキラごっかんハンマー
SL_SANDAL	サンダル
SL_SANDAL_K	キラサンダル
SL_SANDAL_KK	キラキラサンダル
SL_TOGE_HAT	トゲぼうし
SL_TOGE_HAT_K	キラトゲぼうし
SL_TOGE_HAT_KK	キラキラトゲぼうし
SL_DEKA_BOOTS	スーパーブーツ
SL_DEKA_BOOTS_K	キラスーパーブーツ
SL_DEKA_TAIL	しっぽ
SL_DEKA_TAIL_K	キラしっぽ
SL_DEKA_FROG	カエルスーツ
SL_DEKA_FROG_K	キラカエルスーツ
SL_FIRE_FLOWER	ファイアフラワー
SL_FIRE_FLOWER_K	キラファイアフラワー
SL_FIRE_FLOWER_KK	キラキラファイアフラワー
SL_ICE_FLOWER	アイスフラワー
SL_ICE_FLOWER_K	キラアイスフラワー
SL_ICE_FLOWER_KK	キラキラアイスフラワー
SL_POW_BLOCK	ＰＯＷブロック
SL_POW_BLOCK_K	キラＰＯＷブロック
SL_POW_BLOCK_KK	キラキラＰＯＷブロック
SL_NOKONOKO_KOURA	コウラ
SL_NOKONOKO_KOURA_K	キラコウラ
SL_NOKONOKO_KOURA_KK	キラキラコウラ
SL_KINOKO	キノコ
SL_KINOKO_K	キラキノコ
SL_KINOKO_KK	キラキラキノコ
SL_DEKA_1UP_KINOKO	デカ１ＵＰキノコ
SL_DEKA_1UP_KINOKO_K	デカキラ１ＵＰキノコ
SL_POISON_KINOKO	どくキノコ
SL_LEAF	はっぱ
SL_LEAF_K	キラはっぱ
SL_BOMB	ばくだん
SL_SOMBRERO	ソンブレロ
SL_BONE	ホネ
SL_BOOMERANG	ブーメラン
SL_THROW_KNIFE	しゅりけん
SL_GABON_BALL	シューリンガン
SL_SNOW_BALL	ゆきだま
SL_BARREL	タル
SL_SPANNER	スパナ
SL_DOOR	ひみつドア
SL_BELLOWS	ふいご
SL_PAPER_FAN	うちわ
SL_FAN	せんぷうき
SL_HANDY_CLEANER	ハンディそうじき
SL_UPLIGHT_CLEANER	たてがたそうじき
SL_CLEANER	そうじき
SL_JAPANESE_SCISSORS	いときりばさみ
SL_HAIRCUT_SCISSORS	さんぱつばさみ
SL_SCISSORS	はさみ
SL_CLOTH_SCISSORS	たちばさみ
SL_GOAT	やぎ
SL_MANEKINEKO	まねきねこ
SL_WATERING_CAN	じょうろ
SL_TAP	じゃぐち
SL_KETTLE	やかん
SL_LAMP	でんきゅう
SL_FLASHLIGHT	でんとう
SL_SEARCHLIGHT	サーチライト
SL_FOOK	つりばり
SL_TRUMPET	トランペット
SL_VIOLIN	バイオリン
SL_GUITAR	ギター
SL_NEWSPAPER_BAT	しんぶんし
SL_PLASTIC_BAT	おもちゃのバット
SL_BAT	バット
SL_ITTOKAN	いっとかん
SL_DRUMKAN	ドラムかん
SL_TUB	タライ
SL_HIGHHEEL	ハイヒール
SL_OIL_HEATER	オイルヒーター
SL_DRYER	ドライヤー
SL_OVEN	オーブン
SL_BILLIARD_BALL	ビリヤードのたま
SL_CURLING_STONE	カーリング
SL_BOWLING	ボウリングのたま
SL_SHAVED_ICE	かきごおり
SL_AIR_CONDITIONER	エアコン
SL_FRIDGE	れいぞうこ
SL_BATTERY_BUTTON	ボタンでんち
SL_BATTERY_1	たん１でんち
SL_BATTERY_CAR	くるまバッテリー
SL_BALLOON	ふうせん
SL_POCKET_WATCH	かいちゅうどけい
SL_MAGNIFYING_GLASS	むしめがね
SL_MATCH	マッチ
SL_LIGHTER	ライター
SL_DUCK	アヒルちゃん
SL_PILLOW	まくら
SL_BED	ベッド
SL_CANOPY_BED	ごうかなベッド
SL_MOBILE_PHONE	けいたいでんわ
SL_JACKHAMMER	さくがんき
SL_CELLOPHANE_TAPE	セロファンテープ
SL_THUMBTACK	がびょう
SL_STAPLER	ホッチキス
SL_POWDER_PUFF	パフ
SL_SPONGE	スポンジ
SL_CAR_WASH_SPONGE	くるまのスポンジ
SL_JUICE	ジュース
SL_WATER_PISTOL	みずでっぽう
SL_CAKE	ケーキ
SL_TROPHY	トロフィー
SL_BOOM_BOX	ラジカセ
SL_TURKEY	しちめんちょう
PK_FIELD_BRIDGE_KUSYA	\x0e\0\0\x06\x02\0\x02\0M0木の\x0e\0\0\x08\x02\0\x04\0o0W0橋
PK_FIELD_STAR_KUSYA	コメットのかけら
SL_HEI_BRIDGE	\x0e\0\0\x06\x02\0\x02\0M0木の\x0e\0\0\x08\x02\0\x04\0o0W0橋
SL_HEI_DOKAN	みどりの\x0e\0\0\n\x04\0\x06\0i0K0\x930土管
SL_IWA_4_DOOR	\x0e\0\0\x08\x02\0\x04\0W0\x8d0白い\x0e\0\0\n\x02\0\x06\0h0s0\x890扉
