BestScore\BestScore.msbt
BestScore_Title	最高得分
BestScore_Sub	解开的线长
BestScore_Record	纪录
BestScore_PlayCount	游玩次数
BestScore_cm	cm
BestScore_Level	等级
BestScore_Content	{[0111]}
Catalog\Detail.msbt
Detail_Nui_PokemonName	{[0107]}
Detail_Size_01	尺寸
Detail_Size_02	{[0109]}
Detail_Nui_Possession_Num	持有的数量
Detail_Nui_Created_Num	至今制作过的数量
Detail_Recipe	布偶材料单
Detail_Itodama_Create_Num	需要的线团数量
Detail_Itodama_Possession_Num	持有的线团数量
Detail_Recipe_NoCreate	无法从目录\n制作{[0107]}。
Detail_Nui_Create_Button	制作
Detail_Nui_Create_01	要制作{[0107]}吗？
Detail_Nui_Create_01_OK	制作
Detail_Nui_Create_01_Quit	退出
Detail_Nui_Create_02	要制作{[0107]}吗？\n（使用“稍好的线团”。）
Detail_Nui_Create_02_OK	制作
Detail_Nui_Create_02_Quit	退出
Detail_Nui_Create_OK	OK
OgerponMidoriNoMen_Discription	虽然拿着可怕的面具，\n但脸庞却十分可爱。\n说不定它其实很容易害羞。
Eievui_Discription	圆圆的眼睛配上软软的毛皮，\n无论在哪个时代都备受欢迎的\n可爱外表也一定能征服你的心！
Wooluu_Discription	顺着它的身体轻轻～地抚摸，\n软软的，蓬蓬的……摸起来好舒服。\n这种手感比什么都重要。
Metamon_Discription	它的表情就像是在说\n“我什么都能变”，\n形状也让人捉摸不透。
Kuwassu_Discription	润水鸭的脑袋看起来湿湿的，\n只要摇摇头，就会像果冻\n一样有弹性地晃来晃去。
Koduck_Discription	好像在烦恼着什么事，\n又好像什么都没在想，\n真想当一只这样的可达鸭。
Zenigame_Discription	由双脚和尾巴作为支撑，\n看起来分量十足。\n不管摆在哪里都稳稳当当。
Messon_Discription	眼睛总是像快要哭出来了一样。\n为了不把它弄哭，摆放的时候\n要轻一点、再～轻一点。
Pamo_Discription	虽然布拨的脑袋和身子都圆圆的，\n但是会突然“噼啪”地释放静电，\n所以要注意别摸过了头。
Pikachu_Discription	制作的第一个布偶。\n脸颊上那又红又圆的电囊，\n让人也想用脸贴上去蹭一蹭。
Prasle_Discription	坊间流传着这样的说法：\n正电拍拍是加油打气的好伙伴。\n只要抱紧它，就会充满勇气！
Minun_Discription	坊间流传着这样的说法：\n负电拍拍是加油打气的好伙伴。\n只要抱紧它，就会充满自信！
Sarunori_Discription	据说插在头上的木棒是它\n敲出欢快节奏的必需品。\n木棒可以单独拆下来。
Nyahoja_Discription	坐姿乖巧可爱，\n后脚上露出的肉垫\n是它的魅力所在。
Fushigidane_Discription	妙蛙种子的4只脚稳稳撑住地面。\n要把它摆放到空间狭小的地方\n可能比想象中还困难得多？
Watacco_Discription	拥有3团圆润饱满的绒毛。\n但愿它不会带着这副得意\n洋洋的表情飞走不见了。
Hitokage_Discription	尾巴上的火焰是活力的晴雨表。\n因为希望它能格外有活力，\n所以火焰的形状做得十分讲究。
Hibanny_Discription	如果一直盯着炎兔儿看的话……\n总感觉自己的脖子也越来越歪……\n啊，布偶歪倒了。
Hogator_Discription	不管是晴天还是雨天，\n它的表情总让人想打声招呼：\n“今天天气真不错！”
Lizardon_Discription	长长的脖子、有力的四肢\n和动人心魄的翅膀，\n帅气的特征在它身上全都有。
Rayquaza_Discription	忍不住会去想象，\n它扭动着长长的、闪着绿宝石\n光芒的身体在空中飞舞的样子。
Zeraora_Discription	幻之战士捷拉奥拉，\n会以闪电般的速度大显身手。\n连坐姿都无懈可击。
Mimirol_Discription	伸长卷卷的耳朵来攻击！\n这样设计会很好玩吧！？\n……不，还是算了吧。
Mimilop_Discription	用两只长而有力的耳朵\n稳稳地支撑着身体，因此\n虽然外表纤细，但稳定性极佳。
Kabigon_Discription	大家应该都有过想要体验\n和卡比兽一起睡觉的愿望。\n来～尽情地和它一起睡吧！
Eneco_Discription	哪只宝可梦的魅力都不及\n向尾喵的尾巴。它的尾巴\n漂亮得让人不愿移开视线。
Yadon_Discription	盯着呆呆兽看上很～久，\n之后悄悄照照镜子，你看，\n表情是不是变得和它一样啦？
Namakobushi_Discription	形状让人忍不住想捏一捏。\n可以理解啦，但捏完之后\n记得帮它整理好形状哦。
Showers_Discription	这不是伊丽莎白圈，\n而是它气派的颈褶哦。\n不知道会不会挡视野呢？
Ashimari_Discription	球球海狮会操纵水做的气球。\n如果把它放到圆形的布偶上，\n感觉就像要开始表演了一样。
Wanpachi_Discription	某天，它带电的可爱屁屁上\n贴了一只电电虫。是不是\n把它错认成了真的来电汪？
Raichu_Discription	它身上能看到皮卡丘的影子，\n但又隐隐散发出成熟的气质，\n肚子也变得更加圆润。
Parmot_Discription	比布拨还大一圈，抱起来的\n感觉更舒服了。但它也更\n容易起静电，要小心哦。
Thunders_Discription	偏硬的布料搭配锯齿的形状。\n不过别担心，只要慢慢地抱，\n就不会被尖尖的地方扎疼了。
Leafia_Discription	尾巴是一条流畅的曲线，\n展现了叶伊布的优雅气质。\n好想从各种角度欣赏它。
Mokuroh_Discription	木木枭能让脑袋单独\n转向后方。但可不要\n强行扭转布偶哦。
Churine_Discription	也许是因为头上的叶子太大，\n它美中不足的地方就是容易\n歪倒。好想把它放进花盆里。
Junaiper_Discription	它身披斗篷的模样就\n像是一位英雄，在热爱\n大自然的人群中很受欢迎。
Booster_Discription	如果脖子或尾巴的茸茸毛脏了，\n就用毛巾沾上中性清洁剂\n温柔地帮它擦一擦吧。
Nyabby_Discription	火斑喵总是一脸若无其事的表情，\n在危急时刻，会吐出燃烧的毛球。\n不过它是布偶，所以要远离火源！
Gardie_Discription	无论何时都会保护你。\n好喜欢它坚定的眼神，\n让人觉得如此可靠。
Windie_Discription	在可怕的夜晚，如果枕着\n风速狗入睡，就算在梦里\n也一定能得到它的守护。
Yukihami_Discription	你看过雪吞虫的肚子吗？\n在上面看到的圆形数量，\n就是你专属的幸运数字！
Vanipeti_Discription	迷你冰非常怕热，很容易融化。\n不过它是布偶，所以不必担心。\n就算不放进冷冻柜里也没关系！
Tamazarashi_Discription	一不小心就会和线团\n骨碌碌地越滚越远，\n是个圆圆的调皮蛋。
Arukujira_Discription	走鲸的手感是干燥清爽的？\n还是软软弹弹的？\n抱抱它来确认一下吧。
Lucario_Discription	路卡利欧连坐姿都酷酷的。\n清澈的眼神让人觉得好像\n自己的心思也会被它看透。
Yogiras_Discription	虽然幼基拉斯的个子很小，\n但却很重。不过如果是布偶，\n就算和它玩举高高也没问题。
Metagross_Discription	头脑像超级电脑一样厉害。\n为了沾一沾这聪明头脑的光，\n我要把它的布偶顶在头上走一走。
HisuiGardie_Discription	毛发卷卷的，眼睛也被挡住，\n但站姿却让人感觉十分可靠。\n好想摆两只在家门前做装饰。
HisuiWindie_Discription	我忍不住试着把脸埋进了它\n松松软软的大尾巴里，结果\n却被缠住，好不容易才挣脱……
Pochiena_Discription	身体虽小，牙齿却很尖。\n这只布偶充满了土狼犬\n既可爱又有威严的魅力。
Dooh_Discription	喂！看这里！是这里啦！\n它会用这双小小的眼睛\n一直注视着你哦。
Zorua_Discription	索罗亚能幻化成和对手一模一样，\n但应该也没法幻化成布偶吧……\n咦？它刚才不会眨眼了吧？
Gangar_Discription	无精打采的日子常常会和它对视。\n感觉就好像听到它在对自己说\n“总会有办法的啦！”
Eleson_Discription	光是可爱还差了点什么。\n对于这样想的人群，它这张带点\n摇滚风格的娃娃脸正是大受欢迎。
Mimikkyu_Discription	你刚才从下面往上看了对吧？\n看完还偷偷放回去了对吧？\n我就当什么都没发生过好了。
Mawhip_Discription	霜奶仙的外表看上去好甜～\n好像会有甜～甜的香气飘过来，\n让人感觉肚子有点饿……
Pupimocchi_Discription	质感弹性十足、光滑柔软，\n就像还会继续膨胀的面包。\n但可不要把它放进烤箱里哦。
HisuiZorua_Discription	八字眉配上有点下垂的眼睛，\n这副充满魅力的模样\n是多么地惹人喜爱啊。
Sirnight_Discription	沙奈朵的坐姿很优美。\n我试着模仿相同的姿势，\n结果却把腿坐麻了。
Numelgon_Discription	因为它有点黏黏滑滑\n而犹豫要不要抱的人，\n这下可以尽情抱个够了。
SyaritatsuNobitaSugata_Discription	嘿！吃了吗？\n会喜欢这笔直平挺的姿势，\n你的性格一定很开朗。
SyaritatsuTaretaSugata_Discription	嘿！吃了吗？\n会喜欢这悠闲下垂的姿势，\n你的性格一定很温和。
SyaritatsuSottaSugata_Discription	嘿！吃了吗？\n会喜欢这紧绷上弓的姿势，\n你……是不是有点生气？
Gaburias_Discription	虽然烈咬陆鲨尖尖的翅膀\n有点可怕，但它的布偶\n坐姿相当可爱。
Mukkuru_Discription	姆克儿摆在哪里都能融入环境。\n不知不觉间，数量越变越多，\n感觉房间都变得喧闹起来了。
Poppo_Discription	因为波波有着绝佳的方向感，\n即使它的布偶在房间里不见了，\n之后也应该会从哪里冒出来的。
Tyltto_Discription	用软绵绵的翅膀围成\n床睡在上面的样子，\n光是看着都会感到幸福。
Kokogara_Discription	小小的身体配上严肃的表情，\n如果把它摆在书桌上，感觉\n自己也会鼓起一点干劲来。
ShayminLandForme_Discription	谢米会因感谢的心意而开花，\n因此它的布偶最适合作为\n礼物送给重要的人。
Jirachi_Discription	据说无论是怎样的愿望，\n基拉祈都能将它实现。\n好想在包里随身带着它。
Mew_Discription	幻之宝可梦梦幻，\n几乎没有人见过它的样子。\n摆在角落里还挺像那么回事。
Ootachi_Discription	大尾立的逃跑速度很快，\n这个布偶展现了它\n难得一见的熟睡模样。
Chillarmy_Discription	泡沫栗鼠的魅力就在于\n它像扫把一样的尾巴。\n但可不要拿它来打扫哦。
Bippa_Discription	厚墩墩的身子配上好像\n什么都没在想的眼睛。\n是休息时光的好伙伴。
Purin_Discription	在总觉得想唱歌的寂寞夜晚，\n如果有胖丁陪在身边，感觉\n就像是在和它一起双重唱。
Gekkouga_Discription	甲贺忍蛙的长舌头看起来像围巾\n在随风飘舞，很受小朋友欢迎。\n它放松时的姿势也很帅气。
Keromatsu_Discription	胸前和背后的泡泡\n由松软的棉花制成。\n被弄湿后就会变小。
Pochama_Discription	虽然波加曼的自尊心很强，\n但这个扑通坐下的姿势\n有种说不出来的可爱。
Bachuru_Discription	小小的、软绵绵的电电虫\n会吸附在各种各样的地方。\n贴到包包上没准也很时尚。
Bachinuni_Discription	虽然真正的啪嚓海胆满身尖刺，\n但布偶身上的刺里充满了温柔，\n所以你看，不会痛的，摸摸看吧。
AlolaRaichu_Discription	擅长的运动项目是尾巴冲浪！\n这应该是它稍作休息时坐在\n沙滩上欣赏海浪的样子吧。
Elfuun_Discription	就算是喜欢恶作剧的风妖精，\n它的布偶也可以任我摆布。\n啊，这里居然有个果蒂。
Naetle_Discription	它明明是用线制成的布偶，\n甲壳摸起来却会散发出一丝\n泥土的香气，而且很湿润。
Harimaron_Discription	从背后仔细观察它时，\n总觉得有什么让人在意……\n这个棕色的圆形是花纹吗？
Achamo_Discription	火稚鸡热乎乎的，很温暖，\n所以睡觉时总是想紧紧抱着它。\n不过夏天会有点热。
Hitomoshi_Discription	看着摇摇晃晃的火焰，应该可以让\n心情平静下来。虽然布偶的火焰\n不会摇晃，但一定也能让心情平静。
Fokko_Discription	从耳朵里冒出来的柔软\n毛发像毛毯一样温暖，\n摸起来的手感舒服极了。
Kumasyun_Discription	眼睛，手的动作，还有鼻涕！\n它的模样让人母爱爆棚，\n忍不住想要照顾它。
AlolaSand_Discription	因为甲壳由钢材质构成，\n身体好像没法蜷缩起来。\n凡事难免会有不如意呀。
Yukimenoko_Discription	在黑暗的房间里和它对上视线会\n突然心跳加速。虽然也会害怕，\n但主要还是为它的美丽心动。
Laplace_Discription	实在没能忍住内心的冲动，\n把它放到了浴缸的水面上，\n结果花了3天才把它晾干。
Sand_Discription	背上的布料硬硬的，\n但肚子上的布料比较软。\n真让人忍不住想戳一戳。
Bangiras_Discription	沉稳结实地踩在大地之上，\n耸立的身姿就像怪兽一般！\n从下往上看会显得更有魄力。
Riolu_Discription	来数一数肉垫的数量吧。\n有6个？错啦错啦，其实在\n意想不到的位置也长着肉垫哦。
Eifie_Discription	似乎可以通过感知空气的\n流动来预测对手的动作。\n真希望它能告诉我明天的天气。
Nyasper_Discription	好像在用耳朵牢牢压住体内不断\n涌出的能量。要不要翻开看，\n就请你自己来决定吧。
Peroream_Discription	只要和胖甜妮一起出门，\n总觉得不管什么食物都\n很美味，让人胃口大开。
Munna_Discription	如果睡觉时把它放在枕头边，\n它能不能帮我把昨天让人\n有点难过的梦也吃掉呢？
Fushide_Discription	不要说它有点可怕啦。\n布偶又不会有毒，\n就放下心来抱抱它吧。
Bracky_Discription	就算是在黑暗中，它红色的\n眼睛和像月亮一样闪耀的\n黄色花纹也会守护着你。
Pendror_Discription	庞大的体型，身体的曲线，\n还有大量的刺，全都做得\n抱起来超级舒服。
Kairyu_Discription	快龙被称为大海的化身。\n在这座小镇，常常有人\n带着快龙的布偶出海哦。
Kajicchu_Discription	大大的眼睛和尾巴正从\n苹果里伸出来向你问好。\n可别试图把它拽出来哦。
Fukamaru_Discription	好想让它用那张好像什么都能\n咬得动的嘴巴吃掉各种东西。\n比如说明天要交的作业。
Flygon_Discription	沙漠蜻蜓的振翅声就像歌声。\n听说这样的传闻后，我就偷偷\n试着让布偶拍了拍翅膀。
Tyltalis_Discription	只要被七夕青鸟用绒毛做成的\n翅膀环抱起来，不管是怎样的\n小朋友应该都能一下子睡着。
Naty_Discription	它的眼瞳好像能把人吸进去\n一样，颜色也很有冲击力。\n非常适合个性十足的你。
Yayakoma_Discription	虽然小箭雀很容易和人亲近，\n但据说强行去摸它就会被烧伤。\n不过这是布偶，所以不会有事。
Koraidon_Discription	好想有一天能骑上它的后背，\n在广阔无边的大地上奔驰！\n献给憧憬古代的你。
Miraidon_Discription	好想有一天能骑上它的后背，\n在闪闪发光的城镇里奔驰！\n献给憧憬未来的你。
IkkanezumiYonhikiKazoku_Discription	运用完美的平衡感\n制作而成的可爱布偶。\n在歪倒时也绝对不会分开。
Nuikoguma_Discription	它的模样让人总是忍不住想抱紧它，\n但童偶熊的力气很大，非常危险。\n就抱抱它的布偶来忍耐一下吧。
Hoshigarisu_Discription	鼓鼓的脸颊里好像\n塞满了什么东西。\n是树果？小石子？还是……？
Nuoh_Discription	试着抱住它大喊一声：\n“沼哇——！！”\n你看！痛快一点了吧！
Mijumaru_Discription	毛茸茸的脖颈和肚子上\n闪闪发光的漂亮贝壳，\n水水獭真是太时髦啦。
Mizugorou_Discription	嘴巴紧紧抿成一条线，\n水跃鱼直勾勾地盯着这边。\n还是稍微把它转向侧面吧。
Waninoko_Discription	小锯鳄身体的色彩鲜艳又清爽，\n它总是活力十足。但做成布偶\n好像也变得稍微温顺了一点？
Dedenne_Discription	把咚咚鼠贴在脸颊上，\n感觉它的胡须末梢刺刺的。\n虽然有点疼，但好像会上瘾。
Pachirisu_Discription	有着比身体还大的尾巴。\n别让它歪倒了，要小心地……\n啊，它四脚朝天地倒了。
Merriep_Discription	咩利羊的全身包裹着\n冬暖夏凉的蓬松体毛，\n来和它一起睡午觉吧。
Kimori_Discription	大大的脚丫和分成两条的尾巴。\n只要能灵活地运用这些特点，\n感觉可以把它挂在各种地方。
Chicorita_Discription	※注意※\n就算给脑袋上的叶片浇水，\n它也不会长大。
Tsutarja_Discription	全身都展现出曲线的美感。\n表情会根据观察角度不同而变化，\n有时像在耍酷，有时又像在笑。
Watashiraga_Discription	零星分布在大团绒毛上的\n种子是它的魅力所在。\n咦，难道这些种子是真的？
Hikozaru_Discription	学着小火焰猴那样\n张开手脚放松一下吧。\n偶尔这样过一天也不错嘛。
Hinoarashi_Discription	它背后的火焰在危急时刻才会喷出来，\n但因为这是布偶，所以特别做成了\n可以随时欣赏火焰的样子。
Pokabu_Discription	最喜欢吃烤树果的贪吃鬼。\n虽然从正面看它也很可爱，\n但特别推荐的是屁股和尾巴！
Rokon_Discription	一二三、四五六……\n六尾的尾巴有六条！\n记住这个会发生什么好事吗？
Glacia_Discription	冰伊布的魅力当然就\n在于那闪闪发光的体毛。\n早就想尽情地摸摸看了！
Delibird_Discription	看起来像袋子的尾巴里\n塞满了蓬松的棉花。\n那里面可没有礼物哦。
AlolaRokon_Discription	为了让它在雪里也不会\n觉得冷，把6条尾巴的\n蓬松感加强了3成。
Iwanko_Discription	不光是大大的尾巴，连脖子\n周围的岩石也做得松松软软，\n就算蹭上去也不会痛。
Surfugo_Discription	金色的身体广受欢迎，\n是个魅力四射的家伙。\n它可能有点过于晃眼了……
Dekanuchan_Discription	无论何时都很可爱的巨锻匠，\n配上它引以为豪的大锤子。\n不过，它的睡姿可是很豪放的。
Nymphia_Discription	只要看一眼，谁都会被它\n优雅的蝴蝶结和体态疗愈。\n真想学习它的时髦风度呀。
Bakeccha_Discription	圆圆的南瓜，发光的小眼睛，\n除了可爱还是可爱！\n但在半夜看到可能会有点害怕。
Pumpjin_Discription	就算是在夜晚的森林里徘徊，\n令人感到害怕的南瓜怪人，\n做成布偶反倒会很可爱。
Pippi_Discription	卷卷的毛发非常可爱。\n它的粉丝众多，很受人欢迎，\n甚至有人会把房间摆满皮皮。
Gureggru_Discription	模仿布偶的表情\n稍微龇了龇牙，\n结果嘴唇抽筋了……
Chiwohauhane_Discription	忍不住跳到了它的背上，\n结果蓬松的绒毛飞得\n到处都是。阿嚏！！
Merlarva_Discription	背上的5只角让它看起来\n像太阳一样。很多人都\n会不由自主地爱上它。
Sebie_Discription	两只手上垂下来飘动着的\n黄色部分其实是翅膀。\n这个部位虽小却也很重要。
Tatsubay_Discription	说起坚硬脑袋，就要提到这宝贝龙。\n想和它较量一番，试着撞上去，\n嘭、嘭、嘭……咦？居然不疼。
Numera_Discription	下雨的日子把黏黏宝的布偶\n放在窗边，就算只是一直\n看着窗外，一定也很棒。
Bohmander_Discription	巨大的翅膀是通过不断许愿\n才获得的。这个威风十足的\n布偶没有辜负那份执着。
Archen_Discription	色彩鲜艳的美丽翅膀仿佛\n梦想着有一天能够飞翔，\n充满了对进化的渴望。\n
Armorga_Discription	漆黑的铠甲和羽毛超级酷。\n让人真想把它放在肩膀上，\n装成酷酷的样子走一走呀。
Kamonegi_Discription	紧紧地抱着和性命一样\n重要的茎，脸上的表情\n看起来非常满足。
Catalog\List.msbt
Catalog_List_Title	目录
Catalog_List_Possession_Num_All	持有的布偶数量
Catalog_List_Created_Num_All	至今制作过的布偶数量
Catalog_List_Detail	查看详情
DLC\DLC.msbt
DLC_Title	商店
DLC_Detail	说明
DLC_Purchased	已购买
DLC_NotAvailable	无法购买
DLC_Set	套装商品
DLC_Buy	前往购买
DLC_Law_01_Title	Notation Based on Article 12-6 of the Act on Specified Commercial Transactions
DLC_Law_02_Title	Notation under the Act on Specified Commercial Transactions
DLC_Law_02_Exp	■ Support/Contact:\nPlease contact us at: https://www.apppokemon.com/gate/\n\n■ Service operator:\nThe Pokémon Company\n6-10-1 Roppongi, Minato-ku, Tokyo\nPhone: 0120-049-725\n\n*We do not provide any support or accept any inquiries by phone.\nPlease note that should you contact us by phone, we will ask you to contact us again through our support site (https://www.apppokemon.com/gate/).\n\n■ Service operation manager:\nTsunekazu Ishihara, President and CEO\n\n■ Sales price:\nThe sales price (including consumption tax) is shown for each product on the corresponding page.\n\n■ Timing and method of payment:\nTo be determined by each platform.\n\n■ Time of delivery:\nThe provision of the service will begin after the payment procedure is completed.\n\n■ Monies incurred by users other than the sales price:\nCommunication charges incurred during communication.\n\n■ Return Policy: Subject to each platform’s requirements.\nExcept as otherwise provided in the terms of each platform, we do not accept any returns after the purchase is confirmed, unless we deem, in our sole discretion, that the returns are appropriate. Also, you cannot return any product through a platform other than the one from which you actually purchased it.\nWe appreciate your understanding in advance.\n\n■ Defects:\nEven if a product is defective (e.g., malfunctioning), we will not be liable to repair any defects in the product.\n\n■ Supported models:\nSmart device terminals that can run the Service are required.\nPlease check our support site (https://www.apppokemon.com/gate/) and other relevant websites for the operating environment.\n\nUpdate: July 22, 2025
DLC_Law_03_Title	关于取消
DLC_Law_03_Exp	[청약 철회 안내]\n※상품 구입 7일 이내에 청약철회 신청이 가능하지만 상품 제공이 개시 되거나 사용한 경우 청약철회 신청이 제한됩니다.\n※법정 대리인의 동의가 없는 미성년자의 결제는 취소할 수 있습니다.\n\n[About cancellation]\n- You can apply for cancellation or withdrawal within 7 days of purchasing the product/service, but if the product/service has been provided or used, the application for cancellation or withdrawal is limited.\n- Payments by minors without the consent of a legal representative may be canceled or withdrawn\n\n[請約撤回について]\n※商品の購入から7日以内に契約の申込みの撤回が可能ですが、商品の提供が開始されたり使用されたりした場合、契約の申込みの撤回が制限されます。\n※法定代理人の同意がない未成年者の決済はキャンセルすることができます。\n
DLC_Restore_Title	购买后的注意事项
DLC_Restore_Exp	若购买过的下载内容未反映到游戏中，\n可以通过“恢复”来恢复购买信息。\n\n要执行恢复吗？
DLC_Restore_Cancel	返回
DLC_Restore_OK	恢复
DLC_Restore_Done	已恢复购买过的下载内容。
DLC_Restore_Done_OK	OK
DLC_Restore_Unfound	没有找到可恢复的下载内容。
DLC_Restore_Unfound_OK	OK
DLC_Restore_Fail	恢复失败。
DLC_Restore_Fail_OK	OK
DLC_DataTransision_Caution_Title	购买时的注意事项
DLC_DataTransision_Caution_Exp	若要向此设备所使用的{[0117]}\n以外的{[0117]}或操作系统不同的\n设备进行“继承保存数据”，\n将无法继承下载内容的购买信息，\n需要再次购买，敬请留意。\n\n商品可能可以重复购买，\n购买时敬请留意。\n\n详情请确认客服网站。
DLC_DataTransision_Caution_Support	前往客服网站
DLC_DataTransision_Caution_Back	返回
DLC_DataTransision_Caution_Buy	OK
DLC_Set_Caution01_Exp	另有包含了此商品的\n超值“综合包”。\n确定要继续购买吗？
DLC_Set_Caution01_Back	返回
DLC_Set_Caution01_OK	下一步
DLC_Set_Caution02_Exp	另有包含了此商品的\n超值“多多讲究包1＆2套装”。\n确定要继续购买吗？
DLC_Set_Caution02_Back	返回
DLC_Set_Caution02_OK	下一步
DLC_Set_Caution03_Exp	另有包含了此商品的\n超值“综合包”和\n“多多讲究包1＆2套装”。\n确定要继续购买吗？
DLC_Set_Caution03_Back	返回
DLC_Set_Caution03_OK	下一步
DLC_FinalConfirm_Exp	确定要购买\n“{[0114]}”吗？
DLC_FinalConfirm_Cancel	退出
DLC_FinalConfirm_Buy	前往购买
DLC_FinalConfirmNA_Exp	购买此虚拟内容后，\n您将根据本公司的用户协议获得授权。
DLC_FinalConfirmNA_Button	前往用户协议
DLC_FinalConfirmNA_Cancel	退出
DLC_FinalConfirmNA_Buy	前往购买
DLC_Interrupt	已中断购买。
DLC_Interrupt_OK	OK
DLC_Done	已完成购买。
DLC_Done_OK	OK
