BestScore\BestScore.msbt
BestScore_Title	ベストスコア
BestScore_Sub	ほぐした糸の長さ
BestScore_Record	きろく
BestScore_PlayCount	プレイ回数
BestScore_cm	cm
BestScore_Level	レベル
BestScore_Content	{[0111]}
Catalog\Detail.msbt
Detail_Nui_PokemonName	{[0107]}
Detail_Size_01	大きさ
Detail_Size_02	{[0109]}
Detail_Nui_Possession_Num	持っている数
Detail_Nui_Created_Num	これまでにつくった数
Detail_Recipe	ぬいレシピ
Detail_Itodama_Create_Num	ひつようなイトダマ数
Detail_Itodama_Possession_Num	持っているイトダマ数
Detail_Recipe_NoCreate	{[0107]} は\nカタログからつくることができません。
Detail_Nui_Create_Button	つくる
Detail_Nui_Create_01	{[0107]} をつくりますか？
Detail_Nui_Create_01_OK	つくる
Detail_Nui_Create_01_Quit	やめる
Detail_Nui_Create_02	{[0107]} をつくりますか？\n（「ちょっといい イトダマ」を使います。）
Detail_Nui_Create_02_OK	つくる
Detail_Nui_Create_02_Quit	やめる
Detail_Nui_Create_OK	OK
OgerponMidoriNoMen_Discription	こわいおめんを　持っているけど\n顔はとてもキュート。\nじつは　てれ屋だったり　するのかも。
Eievui_Discription	つぶらなひとみに　ふわふわの毛なみ。\nいつの時代でも　てっぱんなかわいさに\nキミもノックアウト！
Wooluu_Discription	体に　そって　そーっと　なでると\nもこもこ　もこもこ……　気持ちがいい。\nこの　手ざわり感が　何よりも　だいじ。
Metamon_Discription	わたしは　なんにでも　なれる。\nそんな　思いを感じる　ひょうじょうと\nとらえどころのない　そのかたち。
Kuwassu_Discription	なんだかぬれて見える　クワッスの頭。\nゆらしてみたら　ゼリーみたいに\nプルンプルンしたりして。
Koduck_Discription	なにか　なやんでいるようで\nなにも　考えていないようで\nそんなコダックに　わたしはなりたい。
Zenigame_Discription	足と　しっぽで　ささえられた\nどっしりとした　このフォルムは\nどこにおいても　安定感がばっちり。
Messon_Discription	今にも　泣き出しそうな　目をしている。\n泣かないように　そーっと　そーっと\nやさしく　おいてあげよう。
Pamo_Discription	まるっこい　頭と体の　パモだけど\nせいでんきが　パチッとくるから\nなですぎに　ちゅうい。
Pikachu_Discription	はじめて　つくった　ぬいぐるみ。\nほっぺたの　赤くてまるい　でんきぶくろに\nわたしの　ほっぺたも　こすりつけたい。
Prasle_Discription	おうえんの　おともに　プラスル。\nだきしめると　勇気が　わいてくる！\nと　ちまたで　うわさ　されている。
Minun_Discription	おうえんの　おともに　マイナン。\nだきしめると　自信が　わいてくる！\nと　ちまたで　うわさ　されている。
Sarunori_Discription	頭に　ささった　スティックは\n楽しい　リズムに　かかせないそうだ。\nスティックは　とりはずしができる。
Nyahoja_Discription	ちょこんと　かわいく　すわってて\nうしろ足の　ニクキュウが\n見えているのが　チャームポイント。
Fushigidane_Discription	４本の足で　しっかりと\n地面を　ささえる　フシギダネ。\nせまい場所に　おくのは　いがいと大変？
Watacco_Discription	まるくて　りっぱな　わた毛が３つ。\nその　とくいげな　ひょうじょうのまま\nどこかに　とんで　いきませんように。
Hitokage_Discription	しっぽのほのおは　元気の　バロメーター。\nとびきり　元気で　いてほしいから\nほのおのかたちには　こだわっている。
Hibanny_Discription	ヒバニーを　じっと見ていると……\nなんだか　自分の首も　かたむいていって……\nあっ　ぬいぐるみが　たおれちゃった。
Hogator_Discription	晴れた　日でも　雨の　日でも\n今日は　いい天気　だね！\nと　あいさつしたくなる　ひょうじょうです。
Lizardon_Discription	長い首　力づよい　手足\nはくりょくのある　つばさ\nぜんぶの　かっこよさが　つまっている。
Rayquaza_Discription	エメラルドに　かがやく\n長い体を　くねらせて　空を泳ぐさまを\nそうぞうせずには　いられない。
Zeraora_Discription	いなずまの　ような　速さで　かつやくする\nまぼろしの　せんし　ゼラオラ。\nすわっている　すがたにも　すきがない。
Mimirol_Discription	まるめた　耳を　のばして　パンチ！\nそんな　仕組みがあったら　楽しい！？\n……いや　やっぱり　やめておこう。
Mimilop_Discription	力づよくて　長い　両耳で\nしっかり　体を　ささえているから\nスリムな　見た目でも　安定感バツグン。
Kabigon_Discription	だれだって　一度は　カビゴンと\nいっしょに　ねてみたいと　思ったはず。\nさあ　思うぞんぶん　どうぞ！
Eneco_Discription	エネコの　しっぽの　みりょくには\nどんな　ポケモンでも　かなわない。\n目をはなせない　すてきなしっぽ。
Yadon_Discription	ヤドンを　ずーっと　見つめたあとに\nそっと　鏡を　見てみたら\nほら　同じ顔　しちゃってない？
