common_Kawashima.msbt
Button_Back	返回
Button_Cancel	中止
Button_01	确定
Button_02	取消
Button_05	左
Button_06	右
Button_07	1个月
Button_08	1周
Button_09	继续
Button_10	结束
Button_11	继续开始
Button_12	从最初开始
Button_13	可用
Button_14	不可用
Button_15	使用
Button_16	不使用
Button_17	确定
Button_18	修改
Button_19	总是相同的笔画数
Button_20	每次都不一样
Button_21	参加
Button_22	稍后
Button_23	确认
Button_24	稍后
Button_25	发送
Button_26	不发送
Button_27	可以
Button_28	不行
Button_29	解锁
Button_30	靠自己解锁
Button_31	查看闹钟
Button_32	稍后
Button_33	查看详情
Button_34	稍后
Button_35	1笔
Button_36	2笔
Advance_03	下一步
Advance_05	确定
Result_Best	{color[ff0c00ff]}记录有了大幅度地提高{color[000000ff]}！\n我好感动！
Result_Better	记录在稳步{color[ff0c00ff]}提高{color[000000ff]}呢！
Result_Keep	{color[ff0c00ff]}维持现状{color[000000ff]}呢。\n这样很不错。
Result_Keep_MAX	{color[ff0c00ff]}维持现状{color[000000ff]}呢。\n太棒了！
Result_Bad	{color[ff0c00ff]}没关系！{color[000000ff]}锻炼能为你\n打下坚实的基础。
Result_Worst	{color[ff0c00ff]}成绩是次要的{color[000000ff]}。\n锻炼才是最重要的。
Result_First	下次争取超过\n这个记录吧！
Result_First_MAX	下次也争取维持\n这个记录吧！
Result_Worst2Best	太棒了！\n状态恢复了呢！
Result_Worst2Better	恢复过来了呢！\n继续加油吧！
Result_Worst2Keep	维持现状呢。这样的话，\n你可以向着更高的目标努力呢。
Result_Bad2Bad	疲劳的状态好像还没有解除，\n不过坚持就是胜利！
Result_Better2Better	太棒了！\n记录在不断提高呢！
Result_Keep2Keep	一直很稳定呢。\n就这样保持下去吧！
Result_Relax	充分放松了吗？
Result_Stamp	那么，按下印章吧。
Result_ReStamp	那么，重新按下印章吧。
Result_Calc25_01	根据你的计算速度，\n向你推荐“计算100”哦！
Result_Calc25_02	它可能有助于让大脑更活性化。
Result_Sudoku_Failure_01	打起精神，\n下次加油吧。
Result_Sudoku_Failure_02	如果需要建议的话……
Result_Sudoku_Failure_03	请按开始前的\n画面中的{color[ff0c00ff]}“ｉ”键{color[000000ff]}。
Result_Sudoku_Failure_04	会对与场景{color[ff0c00ff]}难度{color[000000ff]}相关的\n{color[ff0c00ff]}技巧{color[000000ff]}进行说明哦。
Result_Sudoku_Clear	恭喜过关！\n干得漂亮！
BAC_Info_01	在这里会根据随机选出的\n{color[ff0c00ff]}3项测验{color[000000ff]}来计算你的脑年龄。
BAC_Info_03	详情请查看\n“{color[ff0c00ff]}脑年龄检查的原理{color[000000ff]}”。
BAC_Info	将根据随机选出的{color[ff0c00ff]}3项测验\n{color[000000ff]}来测量你的脑年龄。
BAC_Info_check01	通过3项测验来对你的{color[ff0c00ff]}抑制力{color[000000ff]}、\n{color[ff0c00ff]}处理速度{color[000000ff]}与{color[ff0c00ff]}短期记忆{color[000000ff]}进行评价……
BAC_Info_check02	并根据其结果，\n算出你{color[ff0c00ff]}现在的脑年龄{color[000000ff]}。
BAC_attention_01	脑年龄检查{color[ff0c00ff]}每天{color[000000ff]}只能\n留下{color[ff0c00ff]}1次{color[000000ff]}记录。
BAC_Question_01	在脑年龄检查开始前\n我想问一下……
BAC_Question_02	现在你可以使用{color[ff0c00ff]}Joy-Con(R){color[000000ff]}吗？
BAC_First	最初是\n{color[ff0c00ff]}“{[010d]}”{color[000000ff]}。
BAC_Next	接下来是\n{color[ff0c00ff]}“{[010d]}”{color[000000ff]}。
BAC_Last	最后是\n{color[ff0c00ff]}“{[010d]}”{color[000000ff]}。
BAC_Test_Janken	将对{color[ff0c00ff]}抑制（忍耐）力\n{color[000000ff]}进行评价。
BAC_Test_WordMemory	将对{color[ff0c00ff]}短期记忆力\n{color[000000ff]}进行评价。
BAC_Test_Keisan25	将对{color[ff0c00ff]}信息处理速度\n{color[000000ff]}进行评价。
BAC_ResultJoke_01	嗯～你的大脑\n好像很疲劳呢……
BAC_ResultJoke_02	……嗯？
BAC_ResultJoke_03	啊，{color[ff0c00ff]}脑年龄计算错了{color[000000ff]}！\n不好意思。
BAC_ResultJoke_04	这个才是正确的结果！
BrainAge_Result_Last_00	你实际的年龄是\n{color[ff0c00ff]}{[0110]}岁{color[000000ff]}吧。
BrainAge_Result_Last_00j	与你实际的年龄相同呢。
BAC_Start	那么，让我们开始吧。
BrainAge_Result	辛苦了。将计算你的脑年龄，\n其中{color[ff0c00ff]}以20岁为佳{color[000000ff]}。
BrainAge_Result_01	{color[ff0c00ff]}了不起{color[000000ff]}！\n你的脑年龄无可挑剔！
BrainAge_Result_01_02	请时刻{color[ff0c00ff]}保持{color[000000ff]}这个状态吧！
BrainAge_Result_02	你的脑年龄非常{color[ff0c00ff]}理想{color[000000ff]}。\n太棒了！
BrainAge_Result_02_02	继续加油，\n{color[ff0c00ff]}保持{color[000000ff]}这个状态吧。
BrainAge_Result_03	你的脑年龄{color[ff0c00ff]}很不错{color[000000ff]}呢。\n这样的话……
BrainAge_Result_03_02	你可以向着\n{color[ff0c00ff]}更高的目标{color[000000ff]}努力呢。
BrainAge_Result_04	你的脑年龄很不错。\n不过……
BrainAge_Result_04_02	要不要试着不满足于现状，\n向更高的目标努力呢？
BrainAge_Result_05	你的脑年龄保持着\n很不错的状态呢。不过……
BrainAge_Result_05_02	可不要大意哦。
BrainAge_Result_06	脑年龄还算不错，\n但希望你能{color[ff0c00ff]}更加把劲{color[000000ff]}呢。
BrainAge_Result_06_02	{color[ff0c00ff]}不过不用担心{color[000000ff]}。\n很快就能提高上去的。
BrainAge_Result_07	嗯～你的脑年龄\n感觉{color[ff0c00ff]}有所欠缺{color[000000ff]}呢。
BrainAge_Result_07_02	不过你{color[ff0c00ff]}可以继续努力的{color[000000ff]}。
BrainAge_Result_08	你的脑年龄有点令人担心呢……
BrainAge_Result_08_02	推荐你可以试着带给大脑\n一些新鲜的刺激哦。
BrainAge_Result_08_03	向着更高的目标努力吧。
BrainAge_Result_09	需要{color[ff0c00ff]}注意{color[000000ff]}哦。\n你的脑年龄正处于紧急状态。
BrainAge_Result_09_02	不过没关系。\n还有{color[ff0c00ff]}挽救的余地{color[000000ff]}。
BrainAge_Result_10	哎呀，你的脑年龄\n正处于{color[ff0c00ff]}严重的状态{color[000000ff]}哦！
BrainAge_Result_10_02	不过，不要灰心。
BrainAge_Result_10_03	反过来想，接下来等待着你的\n就只有提升了！
BrainAge_Result_Chart	让我们分别来看看{color[ff0c00ff]}抑制力{color[000000ff]}、\n{color[ff0c00ff]}处理速度{color[000000ff]}与{color[ff0c00ff]}短期记忆{color[000000ff]}的结果吧。
Sudoku_HintMode01	要使用{color[ff0c00ff]}辅助功能{color[000000ff]}吗？\n每个方格都将显示正确答案。
Sudoku_Resume01	要从之前{color[ff0c00ff]}中断{color[000000ff]}的地方\n{color[ff0c00ff]}继续开始{color[000000ff]}吗？
Greet_Special_01	{color[ff0c00ff]}生日快乐{color[000000ff]}！\n你{[010e]}岁了呢！
Greet_Special_02	明天是你的{color[ff0c00ff]}生日{color[000000ff]}呢！
Greet_Special_03	{color[ff0c00ff]}新年快乐！{color[000000ff]}
Greet_Special_04	{color[ff0c00ff]}圣诞快乐！{color[000000ff]}
Greet_Special_05	不好意思，\n今天是我的{color[ff0c00ff]}生日{color[000000ff]}哦。
Greet_Special_05_02	今天我就{[010f]}岁了呢。
Greet_Special_05_03	哎呀～真不好意思。
Greet_Special_06	嗨！
Greet_Special_06_02	♪我的大脑好棒棒\n♪你的大脑真棒棒
Greet_Special_06_03	我已经放弃大脑的研究，\n成为一名脑科学的说唱歌手了！
Greet_Special_06_03w	…………………………
Greet_Special_06_04	开玩笑的啦！\n这只是愚人节的一个玩笑！
Greet_Special_06_05	哎呀～思考说唱的内容\n也是一种大脑的锻炼呢！
Greet_Time_01	早上好。\n太阳好耀眼呢！
Greet_Time_02	{[0111]}，你好！
Greet_Time_03	辛苦了！\n夕阳好美丽呢……
Greet_Time_04	{[0111]}，晚上好！
Greet_Time_05	晚上好！\n尽量不要熬夜哦！
Greet_Time_06	{[0111]}，晚上好！
Greet_Time_06_02	我稍微改变了一下主意，\n试着用手电筒照了一下。
Greet_Season_01	阿嚏！
Greet_Season_01_02	好多花粉呢。
Greet_Season_02	哎呀～\n今天好热呢。
Greet_Season_03	开始变冷了呢。
Greet_Season_04	外面好冷呢。\n眼镜上都起雾了。
Greet_Freq_01	我们又见面了呢。
Greet_Freq_New	今天是第{[0107]}天了呢。
Greet_Freq_02	今天也有在努力呢！
Greet_Freq_03	2天没见了呢。\n我一直在等你。
Greet_Freq_04	3天没见了呢。\n我一直在等你。
Greet_Freq_05	4天没见了呢。\n我一直在等你。
Greet_Freq_06	5天没见了呢。\n我一直在等你。
Greet_Freq_07	6天没见了呢。\n我一直在等你。
Greet_Freq_08	一周没见了呢。\n我就知道你会来的。
Greet_Freq_09	两周没见了呢。\n我好想你。
Greet_Freq_10	三周没见了呢。\n我好想你。
Greet_Freq_11	一个月没见了呢。\n我好想你。
Greet_Freq_12	好久不见了呢。\n你还好吗？
Greet_Freq_13	你经常锻炼到很晚呢。
Greet_Freq_13_02	锻炼大脑很好，\n但也要保重身体。
Greet_Freq_14	你经常在晚上锻炼呢。
Greet_Freq_14_02	锻炼大脑很重要，\n但也要保重身体。
Greet_Freq_15	你经常在同一个时间锻炼呢。
Greet_Freq_15_02	看来你养成了锻炼的习惯呢。
Greet_Aniv3_01	今天是{color[ff0c00ff]}锻炼的第3天{color[000000ff]}。\n就这样继续下去吧。
Greet_Aniv10_01	今天是{color[ff0c00ff]}锻炼的第10天{color[000000ff]}。\n进展很顺利呢。
Greet_Aniv10_02	凡事先定一个小目标，\n做起来就比较容易了。
Greet_Aniv10_03	接下来以持续锻炼\n30天为目标吧！
Greet_Aniv30_01	今天是{color[ff0c00ff]}锻炼的第30天{color[000000ff]}。\n真是非常棒的持续力！
Greet_Aniv30_02	“持续就是力量”！\n但是……
Greet_Aniv30_03	不能仅以持续为目的。
Greet_Aniv30_04	需要自己来改善方法，\n让自己变得不同。
Greet_Aniv30_05	为了能让自己持续下去，\n不断摸索也是很重要的。
Greet_Aniv100_01	其实今天是\n{color[ff0c00ff]}锻炼的第100天{color[000000ff]}！
Greet_Aniv100_02	果然持续就是力量呢！\n我很钦佩。
Greet_Aniv100_03	今后也请务必\n持续进行锻炼。
Greet_Aniv365_01	其实……
Greet_Aniv365_02	今天是{color[ff0c00ff]}锻炼的第365天{color[000000ff]}！
Greet_Aniv365_03	恭喜恭喜！\n你真的是太棒了！
Greet_Aniv365_04	我觉得只要持续锻炼大脑，\n每天的生活也会变得充实。
Greet_Aniv365_05	今后也请务必\n持续进行锻炼吧。
Greet_BA_Reset_01	啊，对了……
Greet_BA_Reset_02	距上次的脑年龄检查\n已经过了{color[ff0c00ff]}1周{color[000000ff]}了……
Greet_BA_Reset_03	脑年龄已经被重置了。\n请再测量一下看看吧。
System_Virus_00_01	这个{color[ff0c00ff]}“细菌扑灭”\n{color[000000ff]}不是锻炼……
System_Virus_00_02	它可能有助于\n让前额叶得到放松。
System_Virus_01	只有在按下印章后，\n才可以选择{color[ff0c00ff]}“细菌扑灭”{color[000000ff]}。
System_Virus_02	要从之前{color[ff0c00ff]}中断{color[000000ff]}的地方\n{color[ff0c00ff]}继续开始{color[000000ff]}吗？
System_Virus_03	已保存的中断数据\n将会消失，可以吗？
System_AlreadyPlayed	此锻炼今天已经\n{color[ff0c00ff]}记录过了{color[000000ff]}。
System_AlreadyPlayed_01	今天已经{color[ff0c00ff]}锻炼过了{color[000000ff]}。\n还没有按下印章。
System_AlreadyPlayed_02	均衡地进行锻炼吧。
System_3times_01	你努力了呢。\n我想大脑已经得到了充分的锻炼。
System_6times_01	你好好努力了呢。\n我想大脑已经得到了充分的锻炼。
System_9times_01	你非常努力了呢。\n我想大脑已经得到了充分的锻炼。
System_3times_02	今天的锻炼\n就到此结束吧。
System_3times_03	今天一天也辛苦了。\n那么，明天见。
System_IR_Start	请选择{color[ff0c00ff]}要使用哪只手{color[000000ff]}。
System_nBackSymbol_Restart	将从最初重新开始游戏。\n准备好了吗？
Unlock_01_01	由于印章数为{color[ff0c00ff]}1个{color[000000ff]}……
Unlock_01_02	因此可以选择\n{color[ff0c00ff]}“细菌扑灭”{color[000000ff]}了。
Unlock_01_03	这个{color[ff0c00ff]}“细菌扑灭”\n{color[000000ff]}不是锻炼……
Unlock_01_04	它可能有助于\n让大脑得到{color[ff0c00ff]}放松{color[000000ff]}。
Unlock_01_05	所以，只有在当天\n{color[ff0c00ff]}按下印章后{color[000000ff]}才可以游玩。
Unlock_02_01	由于印章数为{color[ff0c00ff]}5个{color[000000ff]}……
Unlock_02_02	因此追加了新的锻炼\n{color[ff0c00ff]}“手指体操”{color[000000ff]}。
Unlock_02_03	请加油吧！
Unlock_02_04	要进行此锻炼\n需要使用{color[ff0c00ff]}Joy-Con(R){color[000000ff]}。
Unlock_03_01	由于印章数为{color[ff0c00ff]}7个{color[000000ff]}……
Unlock_03_02	因此追加了新的锻炼\n{color[ff0c00ff]}“计算100”{color[000000ff]}。
Unlock_03_03	请加油吧！
Unlock_04_01	由于印章数为{color[ff0c00ff]}9个{color[000000ff]}……
Unlock_04_02	因此追加了新的锻炼\n{color[ff0c00ff]}“数人数”{color[000000ff]}。
Unlock_04_03	请加油吧！
Unlock_05_01	由于印章数为{color[ff0c00ff]}11个{color[000000ff]}……
Unlock_05_02	因此追加了新的锻炼\n{color[ff0c00ff]}“瞬间记忆”{color[000000ff]}。
Unlock_05_03	请加油吧！
Unlock_06_01	由于印章数为{color[ff0c00ff]}3个{color[000000ff]}……
Unlock_06_02	因此追加了新的锻炼\n{color[ff0c00ff]}“前刻照片”{color[000000ff]}。
Unlock_06_03	请加油吧！
Unlock_10_01	由于印章数为{color[ff0c00ff]}2个{color[000000ff]}……
Unlock_10_02	因此追加了新的锻炼\n{color[ff0c00ff]}“双重课题”{color[000000ff]}。
Unlock_10_03	请加油吧！
Unlock_SudokuEX_01	由于解开了数字拼图“中级”中的\n{color[ff0c00ff]}20道{color[000000ff]}问题……
Unlock_SudokuEX_02	因此可以游玩\n{color[ff0c00ff]}“高级”{color[000000ff]}的问题了。
Unlock_SudokuEX_03	请加油吧！
Unlock_Complete_01	这样一来，{color[ff0c00ff]}所有的锻炼{color[000000ff]}和……
Unlock_Complete_02	{color[ff0c00ff]}所有的功能{color[000000ff]}就都能使用了。
Unlock_Complete_03	但是，接下来请\n持续进行锻炼哦。
Tutorial_Keisan25_01	请{color[ff0c00ff]}尽可能快地{color[000000ff]}写出\n{color[ff0c00ff]}计算问题{color[000000ff]}的答案。
Tutorial_Keisan25_02	点触{color[ff0c00ff]}橡皮标记{color[000000ff]}就能重写。
Tutorial_Janken_01	这是对着Joy-Con(R)的\n动作感应IR摄像头{color[ff0c00ff]}使出手势{color[000000ff]}的{color[ff0c00ff]}猜拳{color[000000ff]}。
Tutorial_Janken_02	请根据画面的指示，\n{color[ff0c00ff]}尽可能快地{color[000000ff]}……
Tutorial_Janken_03	{color[ff0c00ff]}使出“石头”{color[000000ff]}、{color[ff0c00ff]}“剪刀”{color[000000ff]}、\n{color[ff0c00ff]}“布”{color[000000ff]}中的一种。
Tutorial_Janken_03_02	分出胜负后，请先{color[ff0c00ff]}举手{color[000000ff]}，\n然后再使出下个手势。
Tutorial_Janken_04	不仅要使出{color[ff0c00ff]}能赢的手势{color[000000ff]}……
Tutorial_Janken_05	还需要使出{color[ff0c00ff]}会输的手势{color[000000ff]}，\n敬请注意。
Tutorial_IRcommon_01	使出手势时，请将{color[ff0c00ff]}手掌对准{color[000000ff]}\n动作感应IR摄像头。
Tutorial_IRcommon_02	如果将指尖对着动作感应IR摄像头，\n将会{color[ff0c00ff]}无法{color[000000ff]}很好地{color[ff0c00ff]}识别{color[000000ff]}，敬请注意。
Tutorial_IRcommon_03	注意手与动作感应IR摄像头的{color[ff0c00ff]}距离{color[000000ff]}\n不要太近，也不要太远。
Tutorial_IRcommon_04	最好是让手{color[ff0c00ff]}正好能映照{color[000000ff]}在\n动作感应IR摄像头的画面中。
Tutorial_IRcommon_05	{color[ff0c00ff]}手以外的东西{color[000000ff]}被拍到的话，\n有时可能会被误认。
Tutorial_NumberMemory_01	请在{color[ff0c00ff]}2分钟内尽可能快地{color[000000ff]}\n记住25个{color[ff0c00ff]}数字及其场所{color[000000ff]}。
Tutorial_NumberMemory_02	之后的{color[ff0c00ff]}2分钟{color[000000ff]}内，\n写出所记住的数字。
Tutorial_NumberMemory_03	请先{color[ff0c00ff]}点触记住的场所{color[000000ff]}，\n然后写出数字。
Tutorial_Counting_01	当倒计时结束后，
Tutorial_Counting_02	请尽可能快地\n大声地{color[ff0c00ff]}从1数到120{color[000000ff]}。
Tutorial_Counting_03	请务必{color[ff0c00ff]}发出声音{color[000000ff]}。
Tutorial_Counting_04	数完后，请点触{color[ff0c00ff]}“已数完”{color[000000ff]}。
Tutorial_MTMTest_01	请按Ａ→１→Ｂ→２→…→Ｍ→13\n这样的顺序……
Tutorial_MTMTest_02	尽可能快地将文字\n{color[ff0c00ff]}连线{color[000000ff]}起来吧。
Tutorial_MTMTest_03	请注意不要碰到\n目标之外的文字。
Tutorial_MaxNumber_01	请在显示的数字中，\n{color[ff0c00ff]}点触数值最大的数字{color[000000ff]}。
Tutorial_MaxNumber_02	请注意字越大，\n并{color[ff0c00ff]}不代表{color[000000ff]}数字越大。
Tutorial_SerialSubtract_01	请用画面上方\n显示的数字……
Tutorial_SerialSubtract_02	{color[ff0c00ff]}减去{color[000000ff]}所给出数字，\n并在框内写出答案。
Tutorial_SerialSubtract_03	请尽{color[ff0c00ff]}可能快地\n连续{color[000000ff]}进行运算。
Tutorial_SerialSubtract_04	由于写好的答案\n会被不断地涂掉……
Tutorial_SerialSubtract_05	当忘记被涂掉的数字时，\n就{color[ff0c00ff]}点触“再试一次”{color[000000ff]}吧。
Tutorial_FingerGymnastics_01	这是对着Joy-Con(R)的\n动作感应IR摄像头\n{color[ff0c00ff]}使出手势{color[000000ff]}的{color[ff0c00ff]}手指体操{color[000000ff]}。
Tutorial_FingerGymnastics_02	请{color[ff0c00ff]}尽可能快地依次{color[000000ff]}模仿\n画面中排列的手势。
Tutorial_FingerGymnastics_03	在手指体操中，{color[ff0c00ff]}伸出手后{color[000000ff]}就这样\n直接更改手势回答就可以。
Tutorial_BirdCounting_01	这是{color[ff0c00ff]}2人各持有1个Joy-Con{color[000000ff]}，\n{color[ff0c00ff]}进行比赛{color[000000ff]}的锻炼。
Tutorial_BirdCounting_02	请{color[ff0c00ff]}尽可能快地数出{color[000000ff]}\n画面中鸟的数量。
Tutorial_BirdCounting_03	注意画面中可能还会出现\n一些{color[ff0c00ff]}鸟以外的东西{color[000000ff]}。
Tutorial_BirdCounting_04	会提出一些问题，\n{color[ff0c00ff]}快速答对{color[000000ff]}的一方获胜。
Tutorial_BoxCounting_01	这是{color[ff0c00ff]}2人各持有1个Joy-Con{color[000000ff]}，\n{color[ff0c00ff]}进行比赛{color[000000ff]}的锻炼。
Tutorial_BoxCounting_02	在倒计时结束后……
Tutorial_BoxCounting_03	箱子会短暂地显示，\n请记住{color[ff0c00ff]}箱子的数量{color[000000ff]}。
Tutorial_BoxCounting_04	箱子消失后，请快速且正确地\n回答{color[ff0c00ff]}箱子的数量{color[000000ff]}。
Tutorial_BoxCounting_05	会提出一些问题，\n{color[ff0c00ff]}快速答对{color[000000ff]}的一方获胜。
