AchieveList.msbt
AchieveListCategoriesHeroKirby	Abilities
AchieveListNameHeroKirbyWhip	Whip
AchieveListNameHeroKirbyCutter	Cutter
AchieveListNameHeroKirbySword	Sword
AchieveListNameHeroKirbyNinja	Ninja
AchieveListNameHeroKirbyParasol	Parasol
AchieveListNameHeroKirbyHammer	Hammer
AchieveListNameHeroKirbyBeam	Beam
AchieveListNameHeroKirbyFighter	Fighter
AchieveListNameHeroKirbyBomb	Bomb
AchieveListNameHeroKirbySniper	Archer
AchieveListNameHeroKirbyBeetle	Beetle
AchieveListNameHeroKirbyBell	Bell
AchieveListNameHeroKirbyArtist	Artist
AchieveListNameHeroKirbyWrestler	Wrestler
AchieveListNameHeroKirbyYoyo	Yo-Yo
AchieveListNameHeroKirbyStick	Staff
AchieveListNameHeroKirbyWater	Water
AchieveListCategoriesHeroFriends	Buddy
AchieveListNameHeroFriendsMetaknight	Meta Knight
AchieveListNameHeroFriendsKingDedede	King Dedede
AchieveListNameHeroFriendsBandanaWaddledee	Bandana Waddle Dee
AchieveListNameHeroFriendsGooey	Gooey
AchieveListNameHeroFriendsMahoroa	Magolor
AchieveListCategoriesGear	Rare Hats
AchieveListNameGearWhipRare1	Ten-Gallon Hat
AchieveListNameGearWhipRare2	Daroach Hat
AchieveListNameGearCutterRare1	Sir Kibble Helmet
AchieveListNameGearCutterRare2	Punk Mohawk
AchieveListNameGearSwordRare1	Blade Knight Helm
AchieveListNameGearSwordRare2	Ultra Sword Hat
AchieveListNameGearSwordRare3	Flamberge Style
AchieveListNameGearSwordRare4	Hero Sword Hat
AchieveListNameGearNinjaRare1	Shinobi Hood
AchieveListNameGearNinjaRare2	Samurai Helmet
AchieveListNameGearParasolRare1	Paper Parasol
AchieveListNameGearParasolRare2	Sectonian Queen's Parasol
AchieveListNameGearHammerRare1	Black-Steel Hammer
AchieveListNameGearHammerRare2	Masked Dedede Hammer 2.0
AchieveListNameGearBeamRare1	Marx's Hat
AchieveListNameGearBeamRare2	Magoloran Garb
AchieveListNameGearBeamRare3	Francisca Style
AchieveListNameGearFighterRare1	Knuckle Headgear
AchieveListNameGearFighterRare2	Goriath Hat
AchieveListNameGearBombRare1	Heart Bomb Hat
AchieveListNameGearBombRare2	Pirate's Tricorn
AchieveListNameGearSniperRare1	Hunter's Hat
AchieveListNameGearSniperRare2	Cyber Hat
AchieveListNameGearBeetleRare1	Hornhead Helmet
AchieveListNameGearBeetleRare2	Hydra Helmet
AchieveListNameGearBellRare1	Temple Bell
AchieveListNameGearBellRare2	Sleigh Bell
AchieveListNameGearArtistRare1	Vividria Style
AchieveListNameGearArtistRare2	Elline Clay Style
AchieveListNameGearWrestlerRare1	Sumo Topknot
AchieveListNameGearWrestlerRare2	Roaring Mask
AchieveListNameGearYoyoRare1	Flashy Knit Cap
AchieveListNameGearYoyoRare2	Noble Cap
AchieveListNameGearStickRare1	Whispy Headgear
AchieveListNameGearStickRare2	Cheer Style
AchieveListNameGearStickRare3	Zan Partizanne Style
AchieveListNameGearWaterRare1	Goldfish Bowl
AchieveListNameGearWaterRare2	Whale Splasher
AchieveListCategoriesStage	Stages
AchieveListNameStageCastleLololo	Castle Lololo
AchieveListNameStageBubblyClouds	Bubbly Clouds
AchieveListNameStageForestCoo	Coo's Forest
AchieveListNameStageDededeRing	Dedede Arena
AchieveListNameStageFactory	Factory Tour
AchieveListNameStageBoyoyonHand	Springy Hand Land
AchieveListNameStageDynaBlade	Dyna Blade's Nest
AchieveListNameStageButterBuilding	Butter Building
AchieveListNameStageVolcano	Haldera Volcano
