AchieveList.msbt
AchieveListCategoriesHeroKirby	のうりょく
AchieveListNameHeroKirbyWhip	ウィップ
AchieveListNameHeroKirbyCutter	カッター
AchieveListNameHeroKirbySword	ソード
AchieveListNameHeroKirbyNinja	ニンジャ
AchieveListNameHeroKirbyParasol	パラソル
AchieveListNameHeroKirbyHammer	ハンマー
AchieveListNameHeroKirbyBeam	ビーム
AchieveListNameHeroKirbyFighter	ファイター
AchieveListNameHeroKirbyBomb	ボム
AchieveListNameHeroKirbySniper	スナイパー
AchieveListNameHeroKirbyBeetle	ビートル
AchieveListNameHeroKirbyBell	ベル
AchieveListNameHeroKirbyArtist	アーティスト
AchieveListNameHeroKirbyWrestler	レスラー
AchieveListNameHeroKirbyYoyo	ヨーヨー
AchieveListNameHeroKirbyStick	スティック
AchieveListNameHeroKirbyWater	ウォーター
AchieveListCategoriesHeroFriends	バディ
AchieveListNameHeroFriendsMetaknight	メタナイト
AchieveListNameHeroFriendsKingDedede	デデデ{r2[だいおう]}大王{/r2}
AchieveListNameHeroFriendsBandanaWaddledee	バンダナワドルディ
AchieveListNameHeroFriendsGooey	グーイ
AchieveListNameHeroFriendsMahoroa	マホロア
AchieveListCategoriesGear	レアぼうし
AchieveListNameGearWhipRare1	ブラックテンガロン
AchieveListNameGearWhipRare2	ドロッチェハット
AchieveListNameGearCutterRare1	サーキブルメット
AchieveListNameGearCutterRare2	パンクロックモヒカン
AchieveListNameGearSwordRare1	ブレイドナイトヘルム
AchieveListNameGearSwordRare2	ウルトラソードレプリカ
AchieveListNameGearSwordRare3	フラン・ルージュアレンジ
AchieveListNameGearSwordRare4	ヒーローソードのぼうし
AchieveListNameGearNinjaRare1	しろずきん
AchieveListNameGearNinjaRare2	サムライかぶと
AchieveListNameGearParasolRare1	{r2[わ]}和{/r2}がさ
AchieveListNameGearParasolRare2	セクト・クイーンズパラソル
AchieveListNameGearHammerRare1	くろがねのハンマー
AchieveListNameGearHammerRare2	{r2[ぎゃくしゅう]}逆襲{/r2}のハンマー・{r2[かい]}改{/r2}
AchieveListNameGearBeamRare1	{r2[どうけし]}道化師{/r2}のぼうし
AchieveListNameGearBeamRare2	マホローアハット
AchieveListNameGearBeamRare3	フラン・キッスアレンジ
AchieveListNameGearFighterRare1	ナックルヘッドギア
AchieveListNameGearFighterRare2	ゴライアスヘッド
AchieveListNameGearBombRare1	ハートボムハット
AchieveListNameGearBombRare2	パイレーツハット
AchieveListNameGearSniperRare1	かりゅうどのぼうし
AchieveListNameGearSniperRare2	サイバーなぼうし
AchieveListNameGearBeetleRare1	ヘルメホーンヘッド
AchieveListNameGearBeetleRare2	ハイドラヘッド
AchieveListNameGearBellRare1	つりがね
AchieveListNameGearBellRare2	クリスマスベル
AchieveListNameGearArtistRare1	ビビッティアアレンジ
AchieveListNameGearArtistRare2	エリーヌクレイアレンジ
AchieveListNameGearWrestlerRare1	よこづなのマゲ
AchieveListNameGearWrestlerRare2	ガオガオマスク
AchieveListNameGearYoyoRare1	ストリートニットキャップ
AchieveListNameGearYoyoRare2	オリエンタルキャップ
AchieveListNameGearStickRare1	ウィスピーカーリーヘア
AchieveListNameGearStickRare2	チアリーダーアレンジ
AchieveListNameGearStickRare3	ザン・パルルティザーヌアレンジ
AchieveListNameGearWaterRare1	きんぎょばち
AchieveListNameGearWaterRare2	スプラッシュホエール
AchieveListCategoriesStage	ステージ
AchieveListNameStageCastleLololo	キャッスルロロロ
AchieveListNameStageBubblyClouds	バブリークラウズ
AchieveListNameStageForestCoo	クーの{r2[もり]}森{/r2}
AchieveListNameStageDededeRing	デデデリング
AchieveListNameStageFactory	こうじょうけんがく
AchieveListNameStageBoyoyonHand	ボヨヨンハンドステージ
AchieveListNameStageDynaBlade	ダイナブレイドの{r2[す]}巣{/r2}
AchieveListNameStageButterBuilding	バタービルディング
AchieveListNameStageVolcano	ハルドラボ{r2[かざん]}火山{/r2}
