Glossary.msbt
glossary_Place01	Tail Cave
glossary_Place02	Bottle Grotto
glossary_Place03	Key Cavern
glossary_Place04	Angler's Tunnel
glossary_Place05	Catfish's Maw
glossary_Place06	Face Shrine
glossary_Place07	Eagle's Tower
glossary_Place08	Turtle Rock
glossary_Place09	Wind Fish's Egg
glossary_Place10	Mountain Bridge
glossary_Place11	Sale's House O' Bananas
glossary_Place12	Pothole Field
glossary_Place13	House by the Bay
glossary_Place14	Trendy Game
glossary_Place15	Town Tool Shop
glossary_Place16	Marin and Tarin's House
glossary_Place17	Yarna Desert
glossary_Place18	Ukuku Prairie
glossary_Place19	Mysterious Forest
glossary_Place20	Mt. Tamaranch
glossary_Place21	Tal Tal Mountain Range
glossary_Place22	Signpost Maze
glossary_Place23	Mabe Village
glossary_Place24	Animal Village
glossary_Place25	Cemetery
glossary_Place26	Rapids Ride
glossary_Place27	Koholint Prairie
glossary_Place28	Toronbo Shores
glossary_Place29	Martha's Bay
glossary_Place30	East of the Bay
glossary_Place31	Goponga Swamp
glossary_Place32	Kanalet Castle
glossary_Place33	Tal Tal Heights
glossary_Place34	Tabahl Wasteland
glossary_Place35	South of the Village
glossary_Place36	Fishing Pond
glossary_Place37	Madam MeowMeow's House
glossary_Place38	Old Man Ulrira's House
glossary_Place39	Mr. Write's House
glossary_Place40	Crazy Tracy's Health Spa
glossary_Place41	Quadruplets House
glossary_Place42	Dream Shrine
glossary_Place43	Telephone Booth
glossary_Place44	Seashell Mansion
glossary_Place45	Richard's Villa
glossary_Place46	Henhouse
glossary_Place47	Village Library
glossary_Place48	Raft Shop
glossary_Place49	Warp Point
glossary_Place50	Shrine Waterfall
glossary_Place51	Ancient Ruins
glossary_Place52	Crazy Tracy's House
glossary_Place53	Beach
glossary_Place54	Doghouse
glossary_Place55	Cave
glossary_Place56	Ruins
glossary_Place57	Koholint Island
glossary_Place58	Dampé's Shack
glossary_Place59	Color Dungeon
glossary_Place60	Witch's Hut
glossary_Place61	Mermaid Statue
glossary_Item01	Sword
glossary_Item02	Shield
glossary_Item03	Mirror Shield
glossary_Item04	Roc's Feather
glossary_Item05	Power Bracelet
glossary_Item06	Powerful Bracelet
glossary_Item07	Pegasus Boots
glossary_Item08	Bow
glossary_Item09	Hookshot
glossary_Item10	Magic Rod
glossary_Item11	Boomerang
glossary_Item12	Ocarina
glossary_Item13	Shovel
glossary_Item14	Magic Powder
glossary_Item15	Bomb
glossary_Item16	Dungeon Map
glossary_Item17	Compass
glossary_Item18	Small Key
glossary_Item19	Nightmare Key
glossary_Item20	Tail Key
glossary_Item21	Slime Key
glossary_Item22	Angler Key
glossary_Item23	Face Key
glossary_Item24	Bird Key
glossary_Item25	Full Moon Cello
glossary_Item26	Conch Horn
glossary_Item27	Sea Lily's Bell
glossary_Item28	Surf Harp
glossary_Item29	Wind Marimba
glossary_Item30	Coral Triangle
glossary_Item31	Organ of Evening Calm
glossary_Item32	Thunder Drum
glossary_Item33	Sleepy Toadstool
glossary_Item34	Secret Seashell
glossary_Item35	Secret Medicine
glossary_Item36	Golden Leaf
glossary_Item37	Flippers
glossary_Item38	Rupee
glossary_Item39	Heart
glossary_Item40	Piece of Heart
glossary_Item41	Heart Container
glossary_Item42	Fairy
glossary_Item43	Guardian Acorn
glossary_Item44	Piece of Power
glossary_Item45	Stone Beak
glossary_Item46	Yoshi Doll
glossary_Item47	Ribbon
glossary_Item48	Dog Food
glossary_Item49	Bananas
glossary_Item50	Stick
glossary_Item51	Honeycomb
glossary_Item52	Pineapple
glossary_Item53	Goat's Letter
glossary_Item54	Broom
glossary_Item55	Fishing Hook
glossary_Item56	Necklace
glossary_Item57	Mermaid's Scale
glossary_Item58	Magnifying Lens
glossary_Item59	Red Mail
glossary_Item60	Blue Mail
glossary_Item61	Lost Sword
glossary_Item62	Toadstool
glossary_Item63	Instruments of the Sirens
glossary_Item64	Flute
glossary_Item65	Arrow
glossary_Item66	CiaoCiao Figure
glossary_Item67	Goomba Figure
glossary_Item68	Spiny Figure
glossary_Item69	Boo Figure
glossary_Item70	Cheep Cheep Figure
glossary_Item71	Blooper Figure
glossary_Item72	Shy Guy Figure
glossary_Item73	Piranha Plant Figure
glossary_Item74	Pokey Figure
glossary_Item75	BowWow Figure
glossary_Item76	Seashell Sensor
glossary_Item77	Fairy Bottle
glossary_Item78	Hibiscus
glossary_Item79	Green Tunic
glossary_Item80	Koholint Sword
glossary_npc01	Marin
glossary_npc02	Tarin
glossary_npc03	Madam MeowMeow
glossary_npc04	BowWow
glossary_npc05	CiaoCiao
glossary_npc06	Grandma Yahoo
glossary_npc07	Old Man Ulrira
glossary_npc08	Shopkeeper
glossary_npc09	Trendy Gamester
glossary_npc10	Fisherman
glossary_npc11	Papahl
glossary_npc12	Mamasha
glossary_npc13	Joonya
glossary_npc14	Kidoh
glossary_npc15	Suhni
glossary_npc16	Lattie
glossary_npc17	Fox
glossary_npc18	Owl
glossary_npc19	Sale
glossary_npc20	Raccoon
glossary_npc21	Great Fairy
glossary_npc22	Witch
glossary_npc23	Mr. Write
glossary_npc24	Tracy
glossary_npc25	Mouse
glossary_npc26	Li'l Devil
glossary_npc27	Richard
glossary_npc28	Kiki the Monkey
glossary_npc29	Gar
glossary_npc30	Dion
glossary_npc31	Fairy Queen
glossary_npc32	Chef Bear
glossary_npc33	Christine
glossary_npc34	Schule Donavitch
glossary_npc35	Hippo Model
glossary_npc36	Rabbit
glossary_npc37	Walrus
glossary_npc38	Bear Cub
glossary_npc39	Toucan
glossary_npc40	Manbo
glossary_npc41	Ghost
glossary_npc42	Fisherman
glossary_npc43	Mermaid
glossary_npc44	Raft Shop Owner
glossary_npc45	Mamu
glossary_npc46	Zora
glossary_npc47	Goriya
glossary_npc48	Henhouse Keeper
glossary_npc49	Wind Fish
glossary_npc50	Dampé\xa0
glossary_npc51	Seashell Spirit
glossary_npc52	Talking Tree
glossary_npc53	???
glossary_npc54	ChowChow
glossary_panel01	Chamber Dungeon
glossary_panel02	Chamber
glossary_panel03	+Effect Panel
glossary_panel04	Challenge
glossary_panel05	Sword Restriction
glossary_panel06	Heart Limit
glossary_panel07	Time Limit
glossary_panel08	Entrance
glossary_panel09	Nightmare's Lair
glossary_panel10	Exits
glossary_panel11	Chamber Stone
glossary_panel12	Great Fairy's Chamber
glossary_panel13	Moblin Chief's Chamber
glossary_panel14	Ball and Chain Trooper's Chamber
glossary_panel15	Winged Item Chamber
glossary_panel16	Armos Knight's Chamber
glossary_panel17	+Shadow Link Effect
glossary_panel18	+Bombs Effect
glossary_panel19	+Rupees Effect
glossary_panel20	+Hearts Effect
glossary_panel21	+Monsters Effect
glossary_panel22	+Wallmasters Effect
glossary_ui01	Item
glossary_ui02	Map
glossary_ui03	System
glossary_ui04	Warp
glossary_ui05	Memories
glossary_ui06	Pin
glossary_ui07	Stairs
glossary_ui08	Locked Door
glossary_ui09	Locked Block
glossary_ui10	Tools
glossary_ui11	Collection
glossary_enemy01	Tektite
glossary_enemy02	Octorok
glossary_enemy03	Sea Urchin
glossary_enemy04	Leever
glossary_enemy05	Sand Crab
glossary_enemy06	K.K. Sniper
glossary_enemy07	Peahat
glossary_enemy08	Sword Moblin
glossary_enemy09	Spear Moblin
glossary_enemy10	Buzz Blob
glossary_enemy11	Cukeman
glossary_enemy12	Crow
glossary_enemy13	Piranha
glossary_enemy14	Goponga Flower
glossary_enemy15	Giant Goponga Flower
glossary_enemy16	Ghini
glossary_enemy17	Giant Ghini
glossary_enemy18	Zombie
glossary_enemy19	Sword Boarblin
glossary_enemy20	Spear Boarblin
glossary_enemy21	Armos
glossary_enemy23	Winged Octorok
glossary_enemy24	Creep
glossary_enemy25	Beetle
glossary_enemy26	Zora
glossary_enemy27	Green Zol
glossary_enemy28	Red Zol
glossary_enemy29	Mini Zol
glossary_enemy30	Spiny Beetle
glossary_enemy31	Bush Beetle
glossary_enemy32	Stone Beetle
glossary_enemy33	Skull Beetle
glossary_enemy34	Pokey
glossary_enemy35	Dacto
glossary_enemy36	Hardhat Beetle
glossary_enemy37	Rope
glossary_enemy38	Vire
glossary_enemy39	Mini-Moldorm
glossary_enemy40	Spiny
glossary_enemy41	Three-of-a-Kind
glossary_enemy42	Voidmaster
glossary_enemy43	Piranha Plant
glossary_enemy44	Pincer
