Glossary.msbt
glossary_Place01	长尾大空洞
glossary_Place02	壶洞窟
glossary_Place03	钥匙地洞
glossary_Place04	灯鱼怪瀑布池
glossary_Place05	鲶鱼大嘴
glossary_Place06	脸孔神殿
glossary_Place07	大鹫塔
glossary_Place08	乌龟岩
glossary_Place09	圣蛋
glossary_Place10	吊桥
glossary_Place11	瑟勒的家
glossary_Place12	坑洞田
glossary_Place13	海湾的家
glossary_Place14	流行游戏
glossary_Place15	村庄道具店
glossary_Place16	玛林和塔林的家
glossary_Place17	亚那沙漠
glossary_Place18	乌库库草原
glossary_Place19	不可思议森林
glossary_Place20	塔马兰奇山
glossary_Place21	达达山脉
glossary_Place22	路牌迷宫
glossary_Place23	梅贝村
glossary_Place24	动物村
glossary_Place25	坟场
glossary_Place26	急流泛舟
glossary_Place27	可湖霖平原
glossary_Place28	托隆波海岸
glossary_Place29	玛莎海湾
glossary_Place30	海湾东面
glossary_Place31	果彭加沼泽
glossary_Place32	卡那列城
glossary_Place33	达达高原
glossary_Place34	塔巴林地
glossary_Place35	村子南面
glossary_Place36	钓鱼池
glossary_Place37	喵喵夫人的家
glossary_Place38	乌鲁里拉爷爷的家
glossary_Place39	莱特的家
glossary_Place40	古怪崔西的药店
glossary_Place41	四小福的家
glossary_Place42	梦之祠堂
glossary_Place43	电话亭
glossary_Place44	贝壳馆
glossary_Place45	理查德的别墅
glossary_Place46	鸡舍
glossary_Place47	村立图书馆
glossary_Place48	木筏店
glossary_Place49	传送点
glossary_Place50	神殿瀑布
glossary_Place51	南方神殿
glossary_Place52	古怪崔西的家
glossary_Place53	海滩
glossary_Place54	狗屋
glossary_Place55	洞窟
glossary_Place56	遗迹
glossary_Place57	可湖霖岛
glossary_Place58	丹培的小屋
glossary_Place59	衣服迷宫
glossary_Place60	魔法婆婆的家
glossary_Place61	人鱼像
glossary_Item01	剑
glossary_Item02	盾
glossary_Item03	镜盾
glossary_Item04	洛克鸟的羽毛
glossary_Item05	力量手镯
glossary_Item06	强力手镯
glossary_Item07	天马之鞋
glossary_Item08	弓箭
glossary_Item09	钩索
glossary_Item10	魔术杖
glossary_Item11	回旋镖
glossary_Item12	笛子
glossary_Item13	铁铲
glossary_Item14	魔法粉
glossary_Item15	炸弹
glossary_Item16	地图
glossary_Item17	罗盘
glossary_Item18	小钥匙
glossary_Item19	首领钥匙
glossary_Item20	长尾钥匙
glossary_Item21	粘液钥匙
glossary_Item22	灯鱼怪钥匙
glossary_Item23	颜面钥匙
glossary_Item24	飞鸟钥匙
glossary_Item25	满月小提琴
glossary_Item26	海螺号角
glossary_Item27	海百合铃铛
glossary_Item28	浪涛竖琴
glossary_Item29	暴风马林巴琴
glossary_Item30	珊瑚三角铁
glossary_Item31	夕静风琴
glossary_Item32	远雷鼓
glossary_Item33	酣睡菇
glossary_Item34	秘密贝壳
glossary_Item35	秘密药品
glossary_Item36	黄金叶子
glossary_Item37	灯鱼怪蛙鞋
glossary_Item38	卢比
glossary_Item39	心
glossary_Item40	心之碎片
glossary_Item41	心之容器
glossary_Item42	妖精
glossary_Item43	守护果实
glossary_Item44	力量碎片
glossary_Item45	石喙
glossary_Item46	耀西娃娃
glossary_Item47	缎带
glossary_Item48	狗食
glossary_Item49	香蕉
glossary_Item50	棒子
glossary_Item51	蜂巢
glossary_Item52	凤梨
glossary_Item53	山羊的信
glossary_Item54	扫把
glossary_Item55	钓钩
glossary_Item56	项链
glossary_Item57	人鱼鳞片
glossary_Item58	透视镜
glossary_Item59	红色衣服
glossary_Item60	蓝色衣服
glossary_Item61	遗失的剑
glossary_Item62	蘑菇
glossary_Item63	瑟莲的乐器
glossary_Item64	笛子
glossary_Item65	箭
glossary_Item66	嗷嗷塑像
glossary_Item67	栗宝宝塑像
glossary_Item68	刺刺龟塑像
glossary_Item69	害羞幽灵塑像
glossary_Item70	泡泡鱼塑像
glossary_Item71	鱿鱿塑像
glossary_Item72	嘿虎塑像
glossary_Item73	吞食花塑像
glossary_Item74	刺球丸子塑像
glossary_Item75	汪汪塑像
glossary_Item76	贝壳侦测器
glossary_Item77	妖精瓶子
glossary_Item78	朱槿
glossary_Item79	绿色衣服
glossary_Item80	可湖霖之剑
glossary_npc01	玛林
glossary_npc02	塔林
glossary_npc03	喵喵夫人
glossary_npc04	汪汪
glossary_npc05	嗷嗷
glossary_npc06	亚荷奶奶
glossary_npc07	乌鲁里拉爷爷
