Glossary.msbt
glossary_Place01	テールのほらあな
glossary_Place02	ツボのどうくつ
glossary_Place03	カギの穴ぐら
glossary_Place04	アングラーの滝ツボ
glossary_Place05	ナマズの大口
glossary_Place06	顔の神殿
glossary_Place07	オオワシの塔
glossary_Place08	カメイワ
glossary_Place09	聖なるタマゴ
glossary_Place10	つり橋
glossary_Place11	セールの家
glossary_Place12	アナボコ畑
glossary_Place13	入り江の家
glossary_Place14	今はやりのゲーム
glossary_Place15	村の道具屋さん
glossary_Place16	マリンとタリンの家
glossary_Place17	ヤーナ砂漠
glossary_Place18	ウクク草原
glossary_Place19	ふしぎの森
glossary_Place20	タマランチ山
glossary_Place21	タルタル山脈
glossary_Place22	カンバンの迷路
glossary_Place23	メーベの村
glossary_Place24	どうぶつ村
glossary_Place25	墓地
glossary_Place26	急流すべり
glossary_Place27	コホリント平原
glossary_Place28	トロンボ海岸
glossary_Place29	マーサの入り江
glossary_Place30	入り江の東
glossary_Place31	ゴポンガの沼
glossary_Place32	カナレットの城
glossary_Place33	タルタル高地
glossary_Place34	タバールの林
glossary_Place35	村の南
glossary_Place36	つりぼり
glossary_Place37	マダムニャンニャンの家
glossary_Place38	うるりらじいさんの家
glossary_Place39	ライトの家
glossary_Place40	気まぐれトレーシーの\nくすり屋さん
glossary_Place41	四つ子の家
glossary_Place42	夢のほこら
glossary_Place43	電話ボックス
glossary_Place44	貝がらの館
glossary_Place45	リチャードの別荘
glossary_Place46	ニワトリ小屋
glossary_Place47	村の図書館
glossary_Place48	イカダ屋
glossary_Place49	ワープポイント
glossary_Place50	神殿の滝
glossary_Place51	南の神殿
glossary_Place52	気まぐれトレーシーの家
glossary_Place53	浜辺
glossary_Place54	イヌ小屋
glossary_Place55	どうくつ
glossary_Place56	遺跡
glossary_Place57	コホリント島
glossary_Place58	ダンペイさんの{r2[こや]}小屋{/r2}
glossary_Place59	{r2[ふく]}服{/r2}のダンジョン
glossary_Place60	{r2[まほう]}魔法{/r2}おばばの{r2[いえ]}家{/r2}
glossary_Place61	{r2[にんぎょぞう]}人魚像{/r2}
glossary_Item01	剣
glossary_Item02	盾
glossary_Item03	鏡の盾
glossary_Item04	ロック鳥の羽根
glossary_Item05	パワーブレスレット
glossary_Item06	パワフルブレスレット
glossary_Item07	ペガサスのくつ
glossary_Item08	弓矢
glossary_Item09	フックショット
glossary_Item10	マジックロッド
glossary_Item11	ブーメラン
glossary_Item12	オカリナ
glossary_Item13	スコップ
glossary_Item14	魔法の粉
glossary_Item15	バクダン
glossary_Item16	地図
glossary_Item17	コンパス
glossary_Item18	小さなカギ
glossary_Item19	ボスのカギ
glossary_Item20	テールのカギ
glossary_Item21	スライムのカギ
glossary_Item22	アングラーのカギ
glossary_Item23	フェイスのカギ
glossary_Item24	バードのカギ
glossary_Item25	満月のバイオリン
glossary_Item26	巻き貝のホルン
glossary_Item27	海ゆりのベル
glossary_Item28	潮騒のハープ
glossary_Item29	嵐のマリンバ
glossary_Item30	さんごのトライアングル
glossary_Item31	夕凪のオルガン
glossary_Item32	遠雷のドラム
glossary_Item33	ネボケタケ
glossary_Item34	ヒミツの貝がら
glossary_Item35	ヒミツのくすり
glossary_Item36	黄金の{r2[は]}葉{/r2}っぱ
glossary_Item37	アングラーの水かき
glossary_Item38	ルピー
glossary_Item39	ハート
glossary_Item40	ハートのかけら
glossary_Item41	ハートの器
glossary_Item42	妖精
glossary_Item43	まもりの木の実
glossary_Item44	力のかけら
glossary_Item45	石像のクチバシ
glossary_Item46	ヨッシー人形
glossary_Item47	リボン
glossary_Item48	ドッグフード
glossary_Item49	バナナ
glossary_Item50	ぼうきれ
glossary_Item51	ハチの巣
glossary_Item52	パイナップル
glossary_Item53	ヤギの手紙
glossary_Item54	ほうき
glossary_Item55	つりばり
glossary_Item56	ネックレス
glossary_Item57	人魚のウロコ
glossary_Item58	見通しレンズ
glossary_Item59	赤い服
glossary_Item60	青い服
glossary_Item61	なくした剣
glossary_Item62	キノコ
glossary_Item63	セイレーンの楽器
glossary_Item64	笛
glossary_Item65	矢
glossary_Item66	キャンキャンのフィギュア
glossary_Item67	クリボーのフィギュア
glossary_Item68	トゲゾーのフィギュア
glossary_Item69	テレサのフィギュア
glossary_Item70	プクプクのフィギュア
glossary_Item71	ゲッソーのフィギュア
glossary_Item72	ヘイホーのフィギュア
glossary_Item73	パックンフラワーのフィギュア
glossary_Item74	サンボのフィギュア
glossary_Item75	ワンワンのフィギュア
glossary_Item76	貝がらセンサー
glossary_Item77	{r2[ようせい]}妖精{/r2}のビン
glossary_Item78	ハイビスカス
glossary_Item79	{r2[みどり]}緑{/r2}の{r2[ふく]}服{/r2}
glossary_Item80	コホリントの{r2[けん]}剣{/r2}
glossary_npc01	マリン
glossary_npc02	タリン
glossary_npc03	マダムニャンニャン
glossary_npc04	ワンワン
glossary_npc05	キャンキャン
glossary_npc06	ヤッホーばあさん
glossary_npc07	うるりらじいさん
glossary_npc08	道具屋
glossary_npc09	ゲーム屋
glossary_npc10	つりぼりの店主
glossary_npc11	パパール
glossary_npc12	ママーシャ
glossary_npc13	タムタム
glossary_npc14	トムトム
glossary_npc15	ケンケン
glossary_npc16	テンテン
glossary_npc17	キツネ
glossary_npc18	フクロウ
glossary_npc19	セール
glossary_npc20	いたずらタヌキ
glossary_npc21	大妖精
glossary_npc22	魔法おばば
glossary_npc23	Dr.ライト
glossary_npc24	トレーシー
glossary_npc25	ネズミ
glossary_npc26	小悪魔
glossary_npc27	リチャード
glossary_npc28	サルキッキ
glossary_npc29	モン
glossary_npc30	バン
