Glossary.msbt
glossary_Place01	長尾大空洞
glossary_Place02	壺洞窟
glossary_Place03	鑰匙地洞
glossary_Place04	燈魚怪瀑布池
glossary_Place05	鯰魚大嘴
glossary_Place06	臉孔神殿
glossary_Place07	大鷲塔
glossary_Place08	烏龜巖
glossary_Place09	聖蛋
glossary_Place10	吊橋
glossary_Place11	瑟勒的家
glossary_Place12	坑洞田
glossary_Place13	海灣的家
glossary_Place14	流行遊戲
glossary_Place15	村莊道具店
glossary_Place16	瑪林和塔林的家
glossary_Place17	亞那沙漠
glossary_Place18	烏庫庫草原
glossary_Place19	不可思議森林
glossary_Place20	塔馬蘭奇山
glossary_Place21	達達山脈
glossary_Place22	路牌迷宮
glossary_Place23	梅貝村
glossary_Place24	動物村
glossary_Place25	墳場
glossary_Place26	急流泛舟
glossary_Place27	可湖霖平原
glossary_Place28	托隆波海岸
glossary_Place29	瑪莎海灣
glossary_Place30	海灣東面
glossary_Place31	果彭加沼澤
glossary_Place32	卡那列城
glossary_Place33	達達高原
glossary_Place34	塔巴林地
glossary_Place35	村子南面
glossary_Place36	釣魚池
glossary_Place37	喵喵夫人的家
glossary_Place38	烏魯里拉爺爺的家
glossary_Place39	萊特的家
glossary_Place40	古怪崔西的藥店
glossary_Place41	四小福的家
glossary_Place42	夢之祠堂
glossary_Place43	電話亭
glossary_Place44	貝殼館
glossary_Place45	理查德的別墅
glossary_Place46	雞舍
glossary_Place47	村立圖書館
glossary_Place48	木筏店
glossary_Place49	傳送點
glossary_Place50	神殿瀑布
glossary_Place51	南方神殿
glossary_Place52	古怪崔西的家
glossary_Place53	海灘
glossary_Place54	狗屋
glossary_Place55	洞窟
glossary_Place56	遺蹟
glossary_Place57	可湖霖島
glossary_Place58	丹培的小屋
glossary_Place59	衣服迷宮
glossary_Place60	魔法婆婆的家
glossary_Place61	人魚像
glossary_Item01	劍
glossary_Item02	盾
glossary_Item03	鏡盾
glossary_Item04	洛克鳥的羽毛
glossary_Item05	力量手鐲
glossary_Item06	強力手鐲
glossary_Item07	天馬之鞋
