FlowchartMsg_JPja_szs\ActivityAchievements.msbt
Conjunction00	さらに…!
Conjunction01	そしてそして!
Conjunction02	ほかにも…!
Start01	あっ! なんと今日で…
Start03	あっ!\nなんと… 今日で…!
Start04	あっ!!\nな… なんと… 今日で…!!!
Start05	あっ! これはすごい…!!\nなんと今日で…!!!
Start09	えぇっ!?\nこれはすごいです…!! なんと今日で…!!!!
Start10	あれっ…!?\nちょ… ちょっと待ってくださいね…
Start00	こ… こんな日がくるなんて…!!\nなんと今日で…!!!!
Additional00	ほかにも いくつか達成していますよ!\nこの調子で がんばりましょう!
ExercisedInCustom00	\x0e\0\x03\x02\x01\0カスタムモード\x0e\0\x03\x02ÿÿでも 運動したようですね\nその回数も加算されていますよ
Achievement01	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿの累計回数が\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿを超えました!
Achievement02	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿの累計回数が\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿを突破しました!
Achievement03	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿの累計\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿ達成です!!
Achievement04	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿの累計が\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿを超えました!! すばらしい!!
Achievement05	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿの累計\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿ達成ーーー!!!
Achievement06	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ\n累計\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í回\x0e\0\x03\x02ÿÿ達成－－－－!!!!
AchieveComment00	がんばっていますね!\nその調子です!
AchieveComment01	素晴らしいですね!\nこの調子で がんばっていきましょう!
AchieveComment02	なかなか達成できない回数ですよ!\n継続は力なりですね!
AchieveComment03	継続してがんばりましたね!!\n本当に素晴らしいと思います!!
AchieveComment04	これは誇ってよい数字です!!\n誰にでも できることではないですよ!!
AchieveComment05	こんな数字… 見たことありますか?\n継続って美しいですね…
AchieveComment06	ここまでたどりつくなんて…
