FlowchartMsg_TWzh_szs\ActivityAchievements.msbt
Conjunction00	此外……！
Conjunction01	而且！
Conjunction02	除此之外……！
Start01	啊！今天竟然……
Start03	啊！\n今天……竟然……！
Start04	啊！！\n今……今天……竟然……！！！
Start05	啊！真是厲害……！！\n今天竟然……！！！
Start09	咦咦！？\n真是厲害……！！今天竟然……！！！！
Start10	咦……！？\n請……請先等一下……
Start00	沒……沒想到會有這一天……！！\n今天竟然……！！！！
Additional00	除此之外還達成了很多細節喔！\n就這樣子繼續努力吧！
ExercisedInCustom00	你也在\x0e\0\x03\x02\x01\0自訂模式\x0e\0\x03\x02ÿÿ運動過了吧。\n次數也會被加以統計喔。
Achievement01	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ的累積次數已經超過\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！
Achievement02	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ的累積次數已經突破\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！
Achievement03	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已經累積達成\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！！
Achievement04	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已經累積超過\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！！太棒了！！
Achievement05	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已經累積達成\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了～～～！！！
Achievement06	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ\n已經累積達成\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了～～～～！！！！
AchieveComment00	你很努力呢！\n繼續維持下去吧！
AchieveComment01	真是太棒了！\n就這樣子繼續努力吧！
AchieveComment02	這可是相當難達成的次數喔！\n堅持就是力量！
AchieveComment03	你很努力在維持呢！！\n真的非常棒喔！！
AchieveComment04	這是個值得自豪的數字！！\n可不是任何人都做得到的喔！！
AchieveComment05	你之前……有看過這樣的數字嗎？\n堅持真是種美德呢……
AchieveComment06	竟然做到了這個地步……
AchieveComment07	我已經無話可說了……
