bag
SS_bag_000	おこづかい
SS_bag_001	[VAR 0206(0000)]円
SS_bag_002	[VAR 0112(0000)]
SS_bag_004	[VAR 0109(0000)]
SS_bag_006	Lv.[VAR 0202(0000)]
SS_bag_007	[VAR 0102(0000)]
SS_bag_009	/
SS_bag_010	[VAR 0203(0000)]
SS_bag_011	[VAR 0203(0000)]
SS_bag_014	いりょく
SS_bag_015	[VAR 0202(0000)]
SS_bag_016	めいちゅう
SS_bag_017	[VAR 0202(0000)]
SS_bag_018	-
SS_bag_019	PP
SS_bag_020	[VAR 0201(0000)]
SS_bag_022	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_bag_026	[VAR 0109(0000)]
SS_bag_028	×
SS_bag_029	[VAR 0202(0000)]
SS_bag_030	決定
SS_bag_031	戻る
SS_bag_032	お気に入り
SS_bag_033	並びかえ
SS_bag_034	ありません
SS_bag_035	どの　ポケモンに　使いますか？
SS_bag_036	[VAR 0102(0000)]と　[VAR 0107(0001)]は\n相性が　悪かった！\c\n[VAR 0107(0001)]は\n覚えられない！
SS_bag_037	[VAR 0102(0000)]は　すでに\n[VAR 0107(0001)]を　覚えています
SS_bag_038	わざマシンを　起動した！[VAR BE05(0009)][VAR BE05(0000)]
SS_bag_039	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　覚えた！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_040	[VAR 0102(0000)]は　新しく\n[VAR 0107(0001)]を　覚えたい……\c\n[VAR 0107(0001)]の　かわりに\n他の　技を　忘れさせますか？
SS_bag_041	１[WAIT 20]　２の[WAIT 20]　…[WAIT 20]…[WAIT 20]　ポカン！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]は　[VAR 0107(0001)]の\n使い方を　きれいに忘れた！\c\nそして……！\c\n[VAR 0102(0000)]は　新しく\n[VAR 0107(0002)]を　覚えた！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_042	[VAR 0102(0000)]は　[VAR 0107(0001)]を\n覚えずに　終わった！
SS_bag_043	[VAR 0107(0000)]の　かわりに\n忘れる　技を　選んでください！
SS_bag_044	わざレコードを　起動した
SS_bag_045	わざマシンは\n一度しか　使えません
SS_bag_046	[VAR 0107(0000)]の\nわざマシンは　なくなった
SS_bag_047	なくなってしまいますが\nよろしいでしょうか？
SS_bag_048	はい
SS_bag_049	いいえ
SS_bag_050	[VAR FF00(0002)]覚える！[VAR FF00(0000)]
SS_bag_051	[VAR FF00(0001)]覚えない[VAR FF00(0000)]
SS_bag_052	[VAR FF00(0000)]覚えている[VAR FF00(0000)]
SS_bag_053	[VAR FF00(0002)]使えます[VAR FF00(0000)]
SS_bag_054	[VAR FF00(0001)]使えません[VAR FF00(0000)]
SS_bag_065	[VAR 0202(0000)]
SS_bag_066	×
SS_bag_067	[VAR 0206(0000)]円
SS_bag_068	買い取り価格
SS_bag_069	それなら　[VAR 0206(0000)]円で\nお引き取り　いたしましょう\c\nよろしいですか？
SS_bag_070	はい
SS_bag_071	いいえ
SS_bag_072	---
SS_bag_073	[VAR 0109(0000)]を\nいくつ　売りますか？
SS_bag_074	[VAR 0109(0000)]を\n買い取ることは　できません
SS_bag_075	[VAR 0109(0000)]を　渡して\n[VAR 0206(0001)]円を　受け取った
SS_bag_076	[VAR 0109(0000)]を　渡して\n[VAR 0206(0001)]円を　受け取った
SS_bag_077	種類順
SS_bag_078	名前順
SS_bag_079	NEW
SS_bag_080	番号順
SS_bag_081	お気に入り
SS_bag_082	やめる
SS_bag_083	どの並びに　変えますか？
SS_bag_084	種類順に\n持ち物を　整理しました！
SS_bag_085	名前順に\n持ち物を　整理しました！
SS_bag_086	番号順に\n持ち物を　整理しました！
SS_bag_087	お気に入りの　持ち物を\n整理しました！
SS_bag_088	新しく　手に入れた\n持ち物を　整理しました！
SS_bag_089	つかう
SS_bag_090	もたせる
SS_bag_096	やめる
SS_bag_098	[VAR 0102(0000)]の　体力が\n[VAR 0202(0001)]　回復した！
