bag
SS_bag_000	おこづかい
SS_bag_001	[VAR 0206(0000)]円
SS_bag_002	[VAR 0112(0000)]
SS_bag_004	[VAR 0109(0000)]
SS_bag_006	Lv.[VAR 0202(0000)]
SS_bag_007	[VAR 0102(0000)]
SS_bag_009	/
SS_bag_010	[VAR 0203(0000)]
SS_bag_011	[VAR 0203(0000)]
SS_bag_014	いりょく
SS_bag_015	[VAR 0202(0000)]
SS_bag_016	めいちゅう
SS_bag_017	[VAR 0202(0000)]
SS_bag_018	-
SS_bag_019	PP
SS_bag_020	[VAR 0201(0000)]
SS_bag_022	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_bag_026	[VAR 0109(0000)]
SS_bag_028	×
SS_bag_029	[VAR 0202(0000)]
SS_bag_030	けってい
SS_bag_031	もどる
SS_bag_032	おきにいり
SS_bag_033	ならびかえ
SS_bag_034	ありません
SS_bag_035	どの　ポケモンに　つかいますか？
SS_bag_036	[VAR 0102(0000)]と　[VAR 0107(0001)]は\nあいしょうが　わるかった！\c\n[VAR 0107(0001)]は\nおぼえられない！
SS_bag_037	[VAR 0102(0000)]は　すでに\n[VAR 0107(0001)]を　おぼえています
SS_bag_038	わざマシンを　きどうした！[VAR BE05(0009)][VAR BE05(0000)]
SS_bag_039	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　おぼえた！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_040	[VAR 0102(0000)]は　あたらしく\n[VAR 0107(0001)]を　おぼえたい……\c\n[VAR 0107(0001)]の　かわりに\nほかの　わざを　わすれさせますか？
SS_bag_041	１[WAIT 20]　２の[WAIT 20]　…[WAIT 20]…[WAIT 20]　ポカン！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]は　[VAR 0107(0001)]の\nつかいかたを　きれいにわすれた！\c\nそして……！\c\n[VAR 0102(0000)]は　あたらしく\n[VAR 0107(0002)]を　おぼえた！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_042	[VAR 0102(0000)]は　[VAR 0107(0001)]を\nおぼえずに　おわった！
SS_bag_043	[VAR 0107(0000)]の　かわりに\nわすれる　わざを　えらんでください！
SS_bag_044	わざレコードを　きどうした
SS_bag_045	わざマシンは\nいちどしか　つかえません
SS_bag_046	[VAR 0107(0000)]の\nわざマシンは　なくなった
SS_bag_047	なくなってしまいますが\nよろしいでしょうか？
SS_bag_048	はい
SS_bag_049	いいえ
SS_bag_050	[VAR FF00(0002)]おぼえる！[VAR FF00(0000)]
SS_bag_051	[VAR FF00(0001)]おぼえない[VAR FF00(0000)]
SS_bag_052	[VAR FF00(0000)]おぼえている[VAR FF00(0000)]
SS_bag_053	[VAR FF00(0002)]つかえます[VAR FF00(0000)]
SS_bag_054	[VAR FF00(0001)]つかえません[VAR FF00(0000)]
SS_bag_065	[VAR 0202(0000)]
SS_bag_066	×
SS_bag_067	[VAR 0206(0000)]円
SS_bag_068	かいとり　かかく
SS_bag_069	それなら　[VAR 0206(0000)]円で\nおひきとり　いたしましょう\c\nよろしいですか？
SS_bag_070	はい
SS_bag_071	いいえ
SS_bag_072	---
SS_bag_073	[VAR 0109(0000)]を\nいくつ　うりますか？
SS_bag_074	[VAR 0109(0000)]を\nかいとることは　できません
SS_bag_075	[VAR 0109(0000)]を　わたして\n[VAR 0206(0001)]円を　うけとった
SS_bag_076	[VAR 0109(0000)]を　わたして\n[VAR 0206(0001)]円を　うけとった
SS_bag_077	しゅるいじゅん
SS_bag_078	なまえじゅん
SS_bag_079	NEW
SS_bag_080	ばんごうじゅん
SS_bag_081	おきにいり
SS_bag_082	やめる
SS_bag_083	どの　ならびに　かえますか？
SS_bag_084	しゅるいじゅんに\nもちものを　せいり　しました！
SS_bag_085	なまえじゅんに\nもちものを　せいり　しました！
SS_bag_086	ばんごうじゅんに\nもちものを　せいり　しました！
SS_bag_087	おきにいりの　もちものを\nせいり　しました！
SS_bag_088	あたらしく　てにいれた\nもちものを　せいりしました！
SS_bag_089	つかう
