bag
SS_bag_000	YOUR MONEY
SS_bag_001	[VAR 0206(0000)]
SS_bag_002	[VAR 0112(0000)]
SS_bag_004	[VAR 0109(0000)]
SS_bag_006	Lv. [VAR 0202(0000)]
SS_bag_007	[VAR 0102(0000)]
SS_bag_009	/
SS_bag_010	[VAR 0203(0000)]
SS_bag_011	[VAR 0203(0000)]
SS_bag_014	Power
SS_bag_015	[VAR 0202(0000)]
SS_bag_016	Accuracy
SS_bag_017	[VAR 0202(0000)]
SS_bag_018	—
SS_bag_019	PP
SS_bag_020	[VAR 0201(0000)]
SS_bag_022	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_bag_026	[VAR 0109(0000)]
SS_bag_028	×
SS_bag_029	[VAR 0202(0000)]
SS_bag_030	 Confirm
SS_bag_031	 Back
SS_bag_032	 Favorite
SS_bag_033	 Sort
SS_bag_034	Empty
SS_bag_035	Which Pokémon will you use it on?
SS_bag_036	[VAR 0107(0001)] can’t be learned by\n[VAR 0102(0000)]! The two are incompatible!
SS_bag_037	[VAR 0102(0000)] already knows\nthe move [VAR 0107(0001)].
SS_bag_038	You booted up the TM.[VAR BE05(0009)][VAR BE05(0000)]
SS_bag_039	[VAR 0102(0000)] learned\n[VAR 0107(0001)]![VAR BE05(0004)][VAR BE05(0001)]
SS_bag_040	[VAR 0102(0000)] wants to learn the\nmove [VAR 0107(0001)].\c\nShould an old move be forgotten and replaced\nwith [VAR 0107(0001)]?
SS_bag_041	One...[WAIT 20]two...[WAIT 20]and...[WAIT 20][WAIT 20]ta-da![VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)] forgot [VAR 0107(0001)]!\c\nAnd it learned [VAR 0107(0002)] instead![VAR BE05(0004)][VAR BE05(0001)]
SS_bag_042	[VAR 0102(0000)] did not learn\n[VAR 0107(0001)].
SS_bag_043	Please choose a move that will be replaced\nwith [VAR 0107(0000)].
SS_bag_044	You booted up the TR.
SS_bag_045	A TM can be used only once.
SS_bag_046	The TM [VAR 0107(0000)] broke.
SS_bag_047	The TM will break. Is that OK?
SS_bag_048	Yes
SS_bag_049	No
SS_bag_050	[VAR FF00(0002)]Can learn[VAR FF00(0000)]
SS_bag_051	[VAR FF00(0001)]Cannot learn[VAR FF00(0000)]
SS_bag_052	[VAR FF00(0000)]Knows this move[VAR FF00(0000)]
SS_bag_053	[VAR FF00(0002)]Compatible[VAR FF00(0000)]
SS_bag_054	[VAR FF00(0001)]Incompatible[VAR FF00(0000)]
SS_bag_065	[VAR 0202(0000)]
SS_bag_066	×
SS_bag_067	[VAR 0206(0000)]
SS_bag_068	Purchase Price
SS_bag_069	I can pay you [VAR 0206(0000)].\nWould that be OK?
SS_bag_070	Yes
SS_bag_071	No
SS_bag_072	—
SS_bag_073	How many [VAR 010A(0000)]\nwould you like to sell?
SS_bag_074	Oh, no.\nI can’t buy [VAR 010A(0000)].
SS_bag_075	You turned over the [VAR 010A(0000)]\nand got [VAR 0206(0001)].
SS_bag_076	You turned over the [VAR 010A(0000)]\nand got [VAR 0206(0001)].
SS_bag_077	By type
SS_bag_078	By name
SS_bag_079	Newest first
SS_bag_080	By number
SS_bag_081	Favorites first
SS_bag_082	Quit
SS_bag_083	How do you want to sort your items?
SS_bag_084	Items have been sorted by type!
SS_bag_085	Items have been sorted by name!
SS_bag_086	Items have been sorted by number!
SS_bag_087	You sorted your items so favorites come first!
SS_bag_088	You sorted your items so new items come first!
SS_bag_089	Use this item
SS_bag_090	Give to a Pokémon
SS_bag_096	Cancel
SS_bag_098	[VAR 0102(0000)]’s HP was restored by\n[VAR 0202(0001)] [VAR 1301(-001)].
SS_bag_099	[VAR 0102(0000)] recovered from fainting!
SS_bag_100	[VAR 0102(0000)] was cured of its poisoning!
SS_bag_101	[VAR 0102(0000)] was cured of paralysis!
SS_bag_102	[VAR 0102(0000)]’s burn was healed!
SS_bag_103	[VAR 0102(0000)] was thawed out!
SS_bag_104	[VAR 0102(0000)] woke up!
SS_bag_105	[VAR 0102(0000)] became healthy!
SS_bag_106	[VAR 0102(0000)]’s [VAR 010D(0001)] base points rose!
SS_bag_107	[VAR 0102(0000)] became more friendly.\nHowever, its [VAR 010D(0001)] base points fell!
SS_bag_108	[VAR 0102(0000)] adores you!\nHowever, its [VAR 010D(0001)] base points fell!
SS_bag_109	[VAR 0102(0000)] became more friendly.\nIts [VAR 010D(0001)] base points can’t go lower.
SS_bag_110	You used [VAR 1305(-001)][VAR 0109(0001)].
SS_bag_111	You can’t use that now, because the last Repel\nyou used is still in effect.
SS_bag_112	Your Pokémon is now holding\nthe [VAR 0109(0000)]!
SS_bag_113	You took the Pokémon’s [VAR 0109(0000)]\nand gave it the [VAR 0109(0001)].
SS_bag_115	It won’t have any effect.
SS_bag_346	View contents
SS_bag_117	You have no Pokémon!
SS_bag_118	Which Pokémon will you use it on?
SS_bag_119	Which Pokémon do you want to give this item to?
SS_bag_120	Eggs can’t hold items.
SS_bag_121	PP was restored!
SS_bag_122	Do you want to swap its [VAR 0109(0000)]\nfor the [VAR 0109(0001)]?
SS_bag_123	Which move’s PP do you want to restore?
SS_bag_124	Which move’s PP do you want to boost?
SS_bag_125	[VAR 0107(0000)]’s PP increased.
SS_bag_126	You can’t receive the item because your Bag\nis full.
SS_bag_128	PP was restored!
SS_bag_130	This can’t be used on a fainted Pokémon.
SS_bag_131	You can’t separate the Pokémon now.\nThere’s not enough room in your party.
SS_bag_135	[VAR 0107(0000)]
SS_bag_141	Get off your bike
SS_bag_142	It can’t be fused with a Pokémon that has fainted.
SS_bag_143	It can’t be fused with that Pokémon.
SS_bag_144	It can’t be fused with an Egg.
SS_bag_145	You can’t separate the Pokémon now.\nThere’s not enough room in your party.
SS_bag_146	[VAR 0101(0000)] transformed!
SS_bag_147	Which Pokémon do you want to fuse this\nPokémon with?
SS_bag_149	[VAR 0102(0000)] forgot\n[VAR 0107(0001)]...
SS_bag_151	Do you want to change\n[VAR 0102(0000)]’s Ability?
SS_bag_152	[VAR BE05(0005)][VAR BE05(0001)][VAR 0102(0000)]’s Ability changed!\nIts Ability is now [VAR 0106(0001)]!
SS_bag_153	Attack
SS_bag_154	Defense
SS_bag_155	Sp. Atk
SS_bag_156	Sp. Def
SS_bag_157	Speed
SS_bag_158	[VAR 0202(0000)]
SS_bag_159	+[VAR 0202(0000)]
SS_bag_160	HP
SS_bag_161	It might affect [VAR 0102(0000)]’s stats.\nAre you sure you want to use it?
SS_bag_162	[VAR 0102(0001)]’s stats may have changed due\nto the effects of the [VAR 0109(0000)]![VAR BE05(0005)][VAR BE05(0001)]
SS_bag_163	How many [VAR 010A(0001)]\ndo you want to use?
