bag
SS_bag_000	零用錢
SS_bag_001	[VAR 0206(0000)]
SS_bag_002	[VAR 0112(0000)]
SS_bag_004	[VAR 0109(0000)]
SS_bag_006	Lv.[VAR 0202(0000)]
SS_bag_007	[VAR 0102(0000)]
SS_bag_009	/
SS_bag_010	[VAR 0203(0000)]
SS_bag_011	[VAR 0203(0000)]
SS_bag_014	威力
SS_bag_015	[VAR 0202(0000)]
SS_bag_016	命中
SS_bag_017	[VAR 0202(0000)]
SS_bag_018	-
SS_bag_019	PP
SS_bag_020	[VAR 0201(0000)]
SS_bag_022	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_bag_026	[VAR 0109(0000)]
SS_bag_028	×
SS_bag_029	[VAR 0202(0000)]
SS_bag_030	確定
SS_bag_031	返回
SS_bag_032	我的最愛
SS_bag_033	排序
SS_bag_034	空空如也
SS_bag_035	要對哪隻寶可夢使用？
SS_bag_036	[VAR 0107(0001)]不適合\n[VAR 0102(0000)]！\c\n無法學會[VAR 0107(0001)]！
SS_bag_037	[VAR 0102(0000)]原本就已經\n學會了[VAR 0107(0001)]。
SS_bag_038	啟動了招式學習器！[VAR BE05(0009)][VAR BE05(0000)]
SS_bag_039	[VAR 0102(0000)]\n學會了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_040	[VAR 0102(0000)]想要學習\n[VAR 0107(0001)]……\c\n為了學習[VAR 0107(0001)]，\n要忘記其他的招式嗎？
SS_bag_041	１[WAIT 20]、２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]\n的使用方法忘得一乾二淨了！\c\n於是……！\c\n[VAR 0102(0000)]學會了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_042	[VAR 0102(0000)]最終沒有學會\n[VAR 0107(0001)]！
SS_bag_043	為了學習[VAR 0107(0000)]，\n請選擇要忘記的招式！
SS_bag_044	已啟動招式紀錄。
SS_bag_045	招式學習器\n只能使用一次。
SS_bag_046	[VAR 0107(0000)]的\n招式學習器已消失。
SS_bag_047	使用後將會消失。\n確定要繼續嗎？
SS_bag_048	是
SS_bag_049	否
SS_bag_050	[VAR FF00(0002)]能學習！[VAR FF00(0000)]
SS_bag_051	[VAR FF00(0001)]不能學習[VAR FF00(0000)]
SS_bag_052	[VAR FF00(0000)]已學會[VAR FF00(0000)]
SS_bag_053	[VAR FF00(0002)]能使用[VAR FF00(0000)]
SS_bag_054	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
SS_bag_065	[VAR 0202(0000)]
SS_bag_066	×
SS_bag_067	[VAR 0206(0000)]
SS_bag_068	收購價
SS_bag_069	那麼，我用[VAR 0206(0000)]\n跟您收購吧。\c\n確定要賣嗎？
SS_bag_070	是
SS_bag_071	否
SS_bag_072	---
SS_bag_073	要賣出多少個[VAR 0109(0000)]？
SS_bag_074	無法收購[VAR 0109(0000)]。
SS_bag_075	交出[VAR 0109(0000)]，\n獲得了[VAR 0206(0001)]。
SS_bag_076	交出[VAR 0109(0000)]，\n獲得了[VAR 0206(0001)]。
SS_bag_077	按種類排序
SS_bag_078	按名稱排序
SS_bag_079	NEW
SS_bag_080	按編號排序
SS_bag_081	我的最愛
SS_bag_082	退出
SS_bag_083	要更改成哪種排序？
SS_bag_084	按種類排序整理了持有物！
SS_bag_085	按名稱排序整理了持有物！
SS_bag_086	按編號排序整理了持有物！
SS_bag_087	將我的最愛\n整理到列表上方了！
SS_bag_088	將新獲得的持有物\n整理到列表上方了！
SS_bag_089	使用
SS_bag_090	攜帶
SS_bag_096	取消
SS_bag_098	[VAR 0102(0000)]的體力回復了[VAR 0202(0001)]！
SS_bag_099	[VAR 0102(0000)]恢復了活力！
SS_bag_100	[VAR 0102(0000)]中的毒消失得一乾二淨了！
SS_bag_101	[VAR 0102(0000)]身上的麻痺解除了！
SS_bag_102	[VAR 0102(0000)]的灼傷痊癒了！
SS_bag_103	[VAR 0102(0000)]身上的冰融化了！
SS_bag_104	[VAR 0102(0000)]醒過來了！
SS_bag_105	[VAR 0102(0000)]恢復健康了！
SS_bag_106	[VAR 0102(0000)]的[VAR 010D(0001)]\n基礎點數上升了！
SS_bag_107	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數下降了！
SS_bag_108	和[VAR 0102(0000)]變得無比親密了！\c\n[VAR 010D(0001)]的基礎點數下降了！
SS_bag_109	和[VAR 0102(0000)]變得親密了一些！\c\n[VAR 010D(0001)]的基礎點數\n已經不能再降低了！
SS_bag_110	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！
SS_bag_111	之前使用的噴霧效果還沒消失！
SS_bag_112	讓寶可夢攜帶了[VAR 0109(0000)]！
SS_bag_113	收回[VAR 0109(0000)]，\n並讓寶可夢攜帶了[VAR 0109(0001)]！
SS_bag_115	現在使用沒有效果。
SS_bag_346	查看裡面
SS_bag_117	沒有寶可夢！
SS_bag_118	要對哪隻寶可夢使用？
SS_bag_119	要讓哪隻寶可夢攜帶？
SS_bag_120	蛋無法攜帶道具。
SS_bag_121	ＰＰ回復了！
SS_bag_122	要把[VAR 0109(0000)]\n替換成[VAR 0109(0001)]嗎？
SS_bag_123	要回復哪個招式的ＰＰ？
SS_bag_124	要增加哪個招式的ＰＰ？
SS_bag_125	[VAR 0107(0000)]的ＰＰ增加了！
SS_bag_126	包包已滿，無法收回道具！
SS_bag_128	ＰＰ回復了！
SS_bag_130	不能對瀕死的寶可夢使用。
SS_bag_131	同行的隊伍已滿，無法分離。
SS_bag_135	[VAR 0107(0000)]
SS_bag_141	下來
SS_bag_142	無法與瀕死的寶可夢合體。
SS_bag_143	無法與這隻寶可夢合體。
SS_bag_144	無法與蛋合體。
SS_bag_145	同行的隊伍已滿，無法分離。
SS_bag_146	[VAR 0101(0000)]的模樣改變了！
SS_bag_147	要和哪隻寶可夢合體？
SS_bag_149	[VAR 0102(0000)]忘記了\n[VAR 0107(0001)]……
SS_bag_151	要變更[VAR 0102(0000)]的特性嗎？
SS_bag_152	[VAR 0102(0000)]的特性\n變成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_153	攻擊
SS_bag_154	防禦
SS_bag_155	特攻
SS_bag_156	特防
SS_bag_157	速度
SS_bag_158	[VAR 0202(0000)]
SS_bag_159	+[VAR 0202(0000)]
SS_bag_160	HP
SS_bag_161	要改變[VAR 0102(0000)]的能力嗎？
