msg_bgm+us_en.msbt
bgm_arrange	Remix
bgm_new_arrange	New Remix
bgm_random	Randomize Music
bgm_title_0001	Ground Theme - Super Mario Bros. 3
bgm_author_0001	Arrangement Supervisor: Masafumi Takada
bgm_copyright_0001	Composition: Nintendo\r\nArrangement: Sound Prestige LLC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0002	Fortress Boss - Super Mario Bros. 3
bgm_author_0002	Arrangement Supervisor: Akihiro Honda
bgm_copyright_0002	Composition: Nintendo\r\nArrangement: Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0003	King Bowser - Super Mario Bros. 3
bgm_author_0003	Arrangement Supervisor: Koji Kondo
bgm_copyright_0003	Composition: Nintendo\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0004	Delfino Plaza
bgm_author_0004	Arrangement: Noriyuki Iwadare
bgm_copyright_0004	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0005	Ground Theme - Super Mario Bros. 2
bgm_author_0005	Arrangement Supervisor: Keiichi Okabe
bgm_copyright_0005	Composition: Nintendo\r\nArrangement: MONACA\r\nComposition and arrangement Copyright Nintendo
bgm_title_0006	Main Theme - Luigi's Mansion
bgm_author_0006	Arrangement Supervisor: Maasa Miyoshi
bgm_copyright_0006	Composition: Nintendo / Next Level Games Inc.\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0007	Donkey Kong / Donkey Kong Jr. Medley
bgm_author_0007	Arrangement Supervisor: Yusuke Takahama
bgm_copyright_0007	Composition: Nintendo\r\nArrangement: TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0008	The Map Page / Bonus Level
bgm_author_0008	Arrangement Supervisor: Hiroshi Yamaguchi
bgm_copyright_0008	Composition: Rare Limited\r\nArrangement: PlatinumGames Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0009	Gang-Plank Galleon
bgm_author_0009	Arrangement: ACE (TOMOri Kudo / CHiCO)
bgm_copyright_0009	Composition: Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0010	Snakey Chantey
bgm_author_0010	Arrangement: Kumi Tanioka
bgm_copyright_0010	Composition: Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0011	Crocodile Cacophony
bgm_author_0011	Arrangement Supervisor: Soshi Abe
bgm_copyright_0011	Composition: Rare Limited\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0012	Death Mountain
bgm_author_0012	Arrangement Supervisor: Akihiro Honda
bgm_copyright_0012	Composition: Nintendo\r\nArrangement: Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0013	Molgera
bgm_author_0013	Arrangement: Kumi Tanioka
bgm_copyright_0013	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0014	Midna's Lament
bgm_author_0014	Arrangement Supervisor: Hideaki Kobayashi
bgm_copyright_0014	Composition: Nintendo\r\nArrangement: SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0015	Termina Field
bgm_author_0015	Arrangement: Shota Kageyama
bgm_copyright_0015	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0016	Main Theme - The Legend of Zelda: Tri Force Heroes
bgm_author_0016	Arrangement: Manami Kiyota
bgm_copyright_0016	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0017	Main Theme - The Legend of Zelda: Breath of the Wild
bgm_author_0017	Arrangement Supervisor: Yoshino Aoki
bgm_copyright_0017	Composition: Nintendo\r\nArrangement: Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0018	Kass's Theme
bgm_author_0018	Arrangement Supervisor: Yoko Shimomura
bgm_copyright_0018	Composition: Nintendo\r\nArrangement: Midiplex Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0019	Nintendo Switch Presentation 2017 Trailer BGM
bgm_author_0019	Arrangement Supervisor: Ryo Nagamatsu
bgm_copyright_0019	Composition: Nintendo\r\nArrangement: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0020	Brinstar Depths
bgm_author_0020	Arrangement Supervisor: Yasushi Asada
bgm_copyright_0020	Composition: Nintendo\r\nArrangement: noisycroak Co.,Ltd. \r\nComposition and arrangement Copyright Nintendo
bgm_title_0021	Vs. Ridley
bgm_author_0021	Arrangement Supervisor: Yusuke Takahama
bgm_copyright_0021	Composition: Nintendo\r\nArrangement: TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0022	Vs. Parasite Queen
bgm_author_0022	Arrangement: Motoi Sakuraba
bgm_copyright_0022	Composition: Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0023	F-ZERO Medley
bgm_author_0023	Arrangement Supervisor: Takenobu Mitsuyoshi\r\nLyrics: Takenobu Mitsuyoshi\r\nVocals: Takenobu Mitsuyoshi
