msg_bgm+zh_cn.msbt
bgm_arrange	改编
bgm_new_arrange	新改编
bgm_random	从自选乐曲随机抽选
bgm_title_0001	Ground Theme - Super Mario Bros. 3
bgm_author_0001	编曲负责人：Masafumi Takada [高田 雅史]
bgm_copyright_0001	作曲：Nintendo\r\n编曲：Sound Prestige LLC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0002	Fortress Boss - Super Mario Bros. 3
bgm_author_0002	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_0002	作曲：Nintendo\r\n编曲：Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0003	King Bowser - Super Mario Bros. 3
bgm_author_0003	编曲负责人：Koji Kondo [近藤 浩治]
bgm_copyright_0003	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0004	Delfino Plaza
bgm_author_0004	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_0004	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0005	Ground Theme - Super Mario Bros. 2
bgm_author_0005	编曲负责人：Keiichi Okabe [岡部 啓一]
bgm_copyright_0005	作曲：Nintendo\r\n编曲：MONACA\r\nComposition and arrangement Copyright Nintendo
bgm_title_0006	Main Theme - Luigi's Mansion
bgm_author_0006	编曲负责人：Maasa Miyoshi [三好 真亜沙]
bgm_copyright_0006	作曲：Nintendo / Next Level Games Inc.\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0007	Donkey Kong / Donkey Kong Jr. Medley
bgm_author_0007	编曲负责人：Yusuke Takahama [高濱 祐輔]
bgm_copyright_0007	作曲：Nintendo\r\n编曲：TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0008	The Map Page / Bonus Level
bgm_author_0008	编曲负责人：Hiroshi Yamaguchi [山口 裕史]
bgm_copyright_0008	作曲：Rare Limited\r\n编曲：PlatinumGames Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0009	Gang-Plank Galleon
bgm_author_0009	编曲：ACE (TOMOri Kudo / CHiCO) [ACE (工藤ともり / CHiCO)]
bgm_copyright_0009	作曲：Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0010	Snakey Chantey
bgm_author_0010	编曲：Kumi Tanioka [谷岡 久美]
bgm_copyright_0010	作曲：Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0011	Crocodile Cacophony
bgm_author_0011	编曲负责人：Soshi Abe [阿部 壮志]
bgm_copyright_0011	作曲：Rare Limited\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0012	Death Mountain
bgm_author_0012	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_0012	作曲：Nintendo\r\n编曲：Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0013	Molgera
bgm_author_0013	编曲：Kumi Tanioka [谷岡 久美]
bgm_copyright_0013	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0014	Midna's Lament
bgm_author_0014	编曲负责人：Hideaki Kobayashi [小林秀聡]
bgm_copyright_0014	作曲：Nintendo\r\n编曲：SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0015	Termina Field
bgm_author_0015	编曲：Shota Kageyama [景山 将太]
bgm_copyright_0015	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0016	Main Theme - The Legend of Zelda: Tri Force Heroes
bgm_author_0016	编曲：Manami Kiyota [清田 愛未]
bgm_copyright_0016	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0017	Main Theme - The Legend of Zelda: Breath of the Wild
bgm_author_0017	编曲负责人：Yoshino Aoki [青木 佳乃]
bgm_copyright_0017	作曲：Nintendo\r\n编曲：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0018	Kass's Theme
bgm_author_0018	编曲负责人：Yoko Shimomura [下村 陽子]
bgm_copyright_0018	作曲：Nintendo\r\n编曲：Midiplex Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0019	Nintendo Switch Presentation 2017 Trailer BGM
bgm_author_0019	编曲负责人：Ryo Nagamatsu [永松 亮]
bgm_copyright_0019	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0020	Brinstar Depths
bgm_author_0020	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_0020	作曲：Nintendo\r\n编曲：noisycroak Co.,Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0021	Vs. Ridley
bgm_author_0021	编曲负责人：Yusuke Takahama [高濱 祐輔]
bgm_copyright_0021	作曲：Nintendo\r\n编曲：TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0022	Vs. Parasite Queen
bgm_author_0022	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_0022	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0023	F-ZERO Medley
bgm_author_0023	编曲负责人：Takenobu Mitsuyoshi [光吉 猛修]\r\n作词负责人：Takenobu Mitsuyoshi [光吉 猛修]\r\n演唱：Takenobu Mitsuyoshi [光吉 猛修]
bgm_copyright_0023	作曲：Nintendo\r\n编曲、作词：SEGA Interactive Co., Ltd.\r\nComposition, arrangement, lyrics, translation,\r\nand vocals Copyright Nintendo
bgm_title_0024	Big Blue
bgm_author_0024	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0024	作曲：Nintendo\r\n编曲：INSPION Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0025	Sand Ocean
bgm_author_0025	编曲：Hirokazu Tanaka. ex
bgm_copyright_0025	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0026	Main Theme - Yoshi's New Island
bgm_author_0026	编曲：Shota Kageyama [景山 将太]
bgm_copyright_0026	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0027	Staff Credits - Kirby's Dream Land
bgm_author_0027	编曲负责人：MASAKI (ZUNTATA)
bgm_copyright_0027	作曲：HAL Laboratory, Inc.\r\n编曲：TAITO CORPORATION\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0028	City Trial
bgm_author_0028	编曲：Noriyuki Iwadare [岩垂 徳行]
bgm_copyright_0028	作曲：HAL Laboratory, Inc.\r\nComposition Copyright HAL Laboratory, Inc. / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0029	Battle! (Steven)
bgm_author_0029	编曲负责人：Soshi Abe [阿部 壮志]
bgm_copyright_0029	作曲：GAME FREAK inc.\r\n编曲：Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0030	Battle! (Lorekeeper Zinnia)
bgm_author_0030	编曲：Shota Kageyama [景山 将太]
bgm_copyright_0030	作曲：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0031	Battle! (Wild Pokémon) - Pokémon Sun / Pokémon Moon
bgm_author_0031	编曲：Hiroyuki Kawada [川田 宏行]
bgm_copyright_0031	作曲：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0032	Battle! (Trainer) - Pokémon Sun / Pokémon Moon
bgm_author_0032	编曲负责人：Yasushi Asada [浅田 靖]
bgm_copyright_0032	作曲：GAME FREAK inc.\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0033	Battle! (Island Kahuna)
bgm_author_0033	编曲负责人：Yasuaki Iwata [岩田 恭明]
bgm_copyright_0033	作曲：GAME FREAK inc.\r\n编曲：Nintendo\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0034	Battle! (Gladion)
bgm_author_0034	编曲：Manami Kiyota [清田 愛未]
bgm_copyright_0034	作曲：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0035	Battle! (Elite Four) / Battle! (Solgaleo/Lunala)
bgm_author_0035	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_0035	作曲：GAME FREAK inc.\r\n编曲：Cygames, Inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0036	The Battle at the Summit!
bgm_author_0036	编曲：Shota Kageyama [景山 将太]
bgm_copyright_0036	作曲：GAME FREAK inc.\r\nComposition Copyright Pokémon. / Nintendo /\r\nCreatures Inc. / GAME FREAK inc.\r\nArrangement Copyright Nintendo
bgm_title_0037	Magicant
bgm_author_0037	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_0037	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0038	Fourside
bgm_author_0038	编曲：Motoi Sakuraba [桜庭 統]
bgm_copyright_0038	作曲：Keiichi Suzuki [鈴木 慶一] / Nintendo\r\nComposition Copyright Keiichi Suzuki / Nintendo\r\nArrangement Copyright Nintendo
bgm_title_0039	Fire Emblem Theme {size[5000]}(Heroic Origins){size[6400]}
bgm_author_0039	编曲负责人：Hideki Sakamoto [坂本 英城]
bgm_copyright_0039	作曲：INTELLIGENT SYSTEMS\r\n编曲：noisycroak Co.,Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0040	Under This Banner
bgm_author_0040	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0040	作曲：INTELLIGENT SYSTEMS\r\n编曲：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0041	Advance
bgm_author_0041	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0041	作曲：INTELLIGENT SYSTEMS\r\n编曲：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0042	Edge of Adversity
bgm_author_0042	编曲：Yuka Tsujiyoko [辻横 由佳]
bgm_copyright_0042	作曲：INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0043	Beyond Distant Skies - Roy's Departure
bgm_author_0043	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0043	作曲：INTELLIGENT SYSTEMS\r\n编曲：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0044	Prelude (Ablaze)
bgm_author_0044	编曲负责人：Tetsuya Shibata [柴田 徹也]
bgm_copyright_0044	作曲：INTELLIGENT SYSTEMS\r\n编曲：Unique Note Co., Ltd.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0045	Destiny (Ablaze)
bgm_author_0045	编曲负责人：Akihiro Honda [本田 晃弘]
bgm_copyright_0045	作曲：INTELLIGENT SYSTEMS\r\n编曲：Cygames, Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0046	Id (Purpose)
bgm_author_0046	编曲负责人：Takeshi Kuramochi [倉持 武志]
bgm_copyright_0046	作曲：INTELLIGENT SYSTEMS\r\n编曲：INSPION Inc.\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0047	Lost in Thoughts All Alone
bgm_author_0047	编曲负责人：Masato Kouda [甲田 雅人]
bgm_copyright_0047	作曲：INTELLIGENT SYSTEMS\r\n编曲：designwave co.,ltd\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0048	Gear Up For...
bgm_author_0048	编曲负责人：Hiroki Morishita [森下 弘生]
bgm_copyright_0048	作曲：INTELLIGENT SYSTEMS\r\n编曲：INTELLIGENT SYSTEMS\r\nComposition Copyright Nintendo / INTELLIGENT SYSTEMS\r\nArrangement Copyright Nintendo
bgm_title_0049	Main Theme - Pikmin
bgm_author_0049	编曲负责人：Hideki Sakamoto [坂本 英城]
bgm_copyright_0049	作曲：Nintendo\r\n编曲：noisycroak Co.,Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0050	Garden of Hope
bgm_author_0050	编曲负责人：Yoshino Aoki [青木 佳乃]
bgm_copyright_0050	作曲：Nintendo\r\n编曲：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0051	Title Theme - Animal Crossing: Wild World
bgm_author_0051	编曲：Maki Kirioka [桐岡 麻季]
bgm_copyright_0051	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0052	Title Theme - Animal Crossing
bgm_author_0052	编曲：ACE（TOMOri Kudo / CHiCO） [ACE（工藤ともり / CHiCO）]
bgm_copyright_0052	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0053	Title Theme - Animal Crossing: Happy Home Designer
bgm_author_0053	编曲负责人：Kazumi Totaka [戸高 一生]
bgm_copyright_0053	作曲：Nintendo\r\n编曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0054	Main Menu - Wii Fit
bgm_author_0054	编曲：Kumi Tanioka [谷岡 久美]
bgm_copyright_0054	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0055	Training Menu - Wii Fit U
bgm_author_0055	编曲负责人：Hiroki Morishita [森下 弘生]
bgm_copyright_0055	作曲：Nintendo / GANBARION Co., Ltd.\r\n编曲：INTELLIGENT SYSTEMS\r\nComposition and arrangement Copyright Nintendo
bgm_title_0056	Splattack!
bgm_author_0056	编曲负责人：Shohei Tsuchiya (ZUNTATA) [土屋 昇平 (ZUNTATA)]
bgm_copyright_0056	作曲：Nintendo\r\n编曲：TAITO CORPORATION\r\nComposition and arrangement Copyright Nintendo
bgm_title_0057	Seaskape
bgm_author_0057	编曲：Hirokazu Tanaka. ex
bgm_copyright_0057	作曲：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0058	Now or Never!
bgm_author_0058	编曲负责人：Yuzo Koshiro [古代 祐三]
