aaa.msbt
pro_00	Mail call!{b}
pro_01	Hey, Bro!{[0100|fa000000]} Check it out!{[0100|fa000000]} A letter from\nPrincess Peach arrived for you!{b}
pro_02	I'll just read it to you, how's\nthat sound?{b}
pro_03	{[0101]}Ahem!{[0100|fa000000]} Now let's see here...{b}
pro_05	What do you know? {[0100|fa000000]}It's true!{[0100|fa000000]}\nThere's a weathered old map\nin here with the letter.{b}{[0004]}Check it out!{b}
aji.msbt
stg7_aji_00_00_02	Who's that, dude?{b}
stg7_aji_00_00_03	Whoa!{[0100|fa000000]} That's Mario!{b}
stg7_aji_00_00_04	So, let's get him?{b}
stg7_aji_00_00_05	{[0203]}{[0307|00004040]}{size[8200]}{[0200]}Yeah, let's get him, dude!\x0f\x02\0{size[6400]}{b}
stg7_aji_00_00_06	{[0309|01000000]}YAAAAAAAAAAAAAAAAAH!{b}
stg7_aji_00_00_07_kur	Mario!{[0100|fa000000]} If these X-Naut dweebs\nare here...{[0100|fa000000]}{b}{[0004]}That's totally it!{[0100|fa000000]} Then Princess Peach\nmust be here too, don'tcha think?{b}
stg7_aji_00_00_07_nok	Ummm...{[0100|fa000000]}Mario?{[0100|fa000000]} The fact that these\nX-Naut guys are here...{[0100|fa000000]}{b}{[0004]}Yeah, definitely!{[0100|fa000000]} It definitely means\nPrincess Peach must be here too!{b}
stg7_aji_00_00_07_win	Mario, darling!{[0100|fa000000]} If these X-Naut\nbuffoons are here...{[0100|fa000000]}{b}{[0004]}Yes!{[0100|fa000000]} Peach must be here, as well!{b}
stg7_aji_00_00_07_yos	Gonzales!{[0100|fa000000]} Don'tcha think that\nsince these X-Naut dopes are\nrunning around here...{[0100|fa000000]}{b}{[0004]}Yeah, totally!{[0100|fa000000]} It means that Princess\nPeach must be here too!{b}
stg7_aji_00_00_07_viv	Uh, Mario?{[0100|fa000000]} The fact that the X-Naut\nsecurity is so tight must mean...{[0100|fa000000]}{b}{[0004]}Yes!{[0100|fa000000]} It must mean that Princess\nPeach is here too!{b}
stg7_aji_00_00_07_bom	Mario, old boy!{[0100|fa000000]} Since these X-Naut\nruffians are about...{[0100|fa000000]}{b}{[0004]}Yes, I'm quite sure of it!{[0100|fa000000]} Princess\nPeach must be here as well!{b}
stg7_aji_00_00_07_chu	Mario!{[0100|fa000000]} These X-Naut soldiers running\naround means...{[0100|fa000000]}{b}{[0004]}Yes, I'm positive!{[0100|fa000000]} Princess Peach\nmust be here too!{b}
stg7_aji_00_00_08_kur	And the Crystal Star must be here\ntoo!{[0100|fa000000]} We gotta find it, Mario!{b}
stg7_aji_00_00_08_nok	So the Crystal Star must be here too!{[0100|fa000000]}\nLet's find it, Mario!{b}
stg7_aji_00_00_08_win	Why, the Crystal Star must be here\nas well!{[0100|fa000000]} Let's find it!{b}
stg7_aji_00_00_08_yos	So the Crystal Star must definitely\nbe here too!{[0100|fa000000]} We gotta go find\nit, Gonzales!{b}
stg7_aji_00_00_08_viv	The Crystal Star must be here\nas well!{[0100|fa000000]} Let's find it, Mario!{b}
stg7_aji_00_00_08_bom	Our dear Crystal Star must be\nhere too, wouldn't you say?{[0100|fa000000]}\nLet's find it, old boy!{b}
stg7_aji_00_00_08_chu	The Crystal Star must be here too!{[0100|fa000000]}\nLet's find it, dearie!{b}
stg7_aji_45_01	{[0203]}The elevator won't move.{b}
stg7_aji_45_03_kur	Wow, how totally weird...{[0100|fa000000]} I guess we\ncan't go back this way, huh?{b}{[0004]}Let's look for another way\nout of here.{b}
stg7_aji_45_03_nok	Ummm... {[0100|fa000000]}OK, that's weird...{[0100|fa000000]} Looks like\nwe can't go back this way...{b}{[0004]}We'd better find a different way\nout of here.{b}
stg7_aji_45_03_win	Oh, how very strange...{[0100|fa000000]} Looks like we\nshan't be going back this way, hm?{b}{[0004]}Let's look for another way\nout, darling.{b}
stg7_aji_45_03_yos	Whoa! {[0100|fa000000]}That ain't good...{[0100|fa000000]} Looks like we\naren't gonna be going out THIS way!{b}{[0004]}We'd better find another way\noutta here.{b}
stg7_aji_45_03_viv	Uh...{[0100|fa000000]}OK. {[0100|fa000000]}This is strange...{[0100|fa000000]} I guess we\ncan't go back this way after all.{b}{[0004]}Let's look for another way out,\nOK, Mario?{b}
stg7_aji_45_03_bom	Harrumph! {[0100|fa000000]}That's rather odd...{[0100|fa000000]}\nLooks as if we can't go back\nthis way, old boy.{b}{[0004]}We'd best look for another\nway out.{b}
stg7_aji_45_03_chu	Mmmmm... {[0100|fa000000]}How very strange...{[0100|fa000000]} I guess\nwe can't go back this way, dearie.{b}{[0004]}Let's find another way out.{b}
stg7_aji_65	{[0203]}Please insert the Elevator Key.{b}
stg7_aji_66	{[0203]}Choose your destination.{[0101]}
stg7_aji_67	{[0203]}Please insert the Security Key.
stg7_aji_68	{[0203]}Please enter the access code.
stg7_aji_69	{[0203]}Incorrect access code.
stg7_aji_70	{[0203]}Access code accepted.
stg7_aji_password	014029
stg7_aji_73	The access code has already\nbeen accepted.
stg7_aji_71	{[0203]}This door is locked.{b}
stg7_aji_77_kur	Aha! Looks like we need a\nSecurity Key.{b}
stg7_aji_77_nok	Huh. Looks like it needs a\nSecurity Key.{b}
stg7_aji_77_win	Looks like it needs some sort of\nSecurity Key.{b}
stg7_aji_77_yos	Looks like we'll need a Security Key!{b}
stg7_aji_77_viv	Looks like it needs a Security Key...{b}
stg7_aji_77_bom	This blasted thing must require some\nkind of Security Key.{b}
stg7_aji_77_chu	Ah, looks like we'll need a\nSecurity Key.{b}
stg7_aji_67_01	{[0203]}Incorrect key.{b}
stg7_aji_74	{[0203]}A Security Key has been inserted.
stg7_aji_75	{[0203]}Access denied. Try again later.{b}
stg7_aji_67_02	{[0203]}This door is locked.{b}
stg7_aji_76_kur	It's not responding.
stg7_aji_76_nok	It's not responding.
stg7_aji_76_win	It's not responding.
stg7_aji_76_yos	It's not responding.
stg7_aji_76_viv	It's not responding.
stg7_aji_76_bom	It's not responding.
stg7_aji_76_chu	It's not responding.
stg7_aji_ele_1_00	{[010d|0000000003000000b400000028000000]}First Floor\nSublevel One\nSublevel Two\nCancel
