aaa.msbt
pro_00	有您的信～
pro_01	大哥，{[0100|fa000000]}\n碧姬公主寄信来了。
pro_02	我读给你听吧。
pro_03	{[0101]}我看看～写了什么呢……
pro_05	大哥，是真的。{[0100|fa000000]}\n信里附了一张特别旧的地图。{[0004]}你看……
aji.msbt
stg7_aji_00_00_02	什么人！
stg7_aji_00_00_03	你是马力欧！！
stg7_aji_00_00_04	也就是说……
stg7_aji_00_00_05	{[0203]}{[0307|00004040]}{[0200]}{size[8200]}必须立刻消灭！{size[6400]}\x0f\x02\0
stg7_aji_00_00_06	{[0309|01000000]}呜哇～～～！！
stg7_aji_00_00_07_kur	马力欧！{[0100|fa000000]}\n那帮家伙在这里，这么说……{[0100|fa000000]}{b}{[0004]}没错！{[0100|fa000000]}\n碧姬公主一定就在这里！
stg7_aji_00_00_07_nok	马力欧！{[0100|fa000000]}\n那帮家伙在这里，这么说……{[0100|fa000000]}{b}{[0004]}没错！{[0100|fa000000]}\n碧姬公主一定就在这里！
stg7_aji_00_00_07_win	马力欧！{[0100|fa000000]}\n那帮家伙在这里，这么说……{[0100|fa000000]}{b}{[0004]}没错哟！{[0100|fa000000]}\n碧姬一定就在这里哟！
stg7_aji_00_00_07_yos	冈萨雷兹！{[0100|fa000000]}\n那帮家伙在这里，这么说……{[0100|fa000000]}{b}{[0004]}没错！{[0100|fa000000]}\n碧姬公主一定就在这里！
stg7_aji_00_00_07_viv	……没错，马力欧，{[0100|fa000000]}\n这里就是那帮家伙……{[0100|fa000000]}\nＸ军团的根据地……{[0004]}碧姬公主应该被关在\n这个根据地的某处。
stg7_aji_00_00_07_bom	马力欧！{[0100|fa000000]}\n那帮家伙在这里，这么说……{[0100|fa000000]}{b}{[0004]}嗯！{[0100|fa000000]}\n碧姬公主恐怕就在这里！
stg7_aji_00_00_07_chu	马力欧！{[0100|fa000000]}\n他们在这里，这么说……{[0100|fa000000]}{b}{[0004]}没错！{[0100|fa000000]}\n碧姬公主一定就在这里！
stg7_aji_00_00_08_kur	既然如此，\n星之石应该也在这里！{[0100|fa000000]}\n我们去找找吧，马力欧！
stg7_aji_00_00_08_nok	既然如此，\n星之石应该也在这里！{[0100|fa000000]}\n我们去找找吧，马力欧！
stg7_aji_00_00_08_win	既然如此，\n星之石应该也在这里哟！{[0100|fa000000]}\n我们去找找吧，马力欧！
stg7_aji_00_00_08_yos	既然如此，\n星之石应该也在这里！{[0100|fa000000]}\n去找找吧，冈萨雷兹！
stg7_aji_00_00_08_viv	星之石应该也在\n这个根据地的某处……{[0100|fa000000]}\n我们去找找吧，马力欧。
stg7_aji_00_00_08_bom	既然如此，\n星之石应该也在这里！{[0100|fa000000]}\n去找找吧，马力欧！
stg7_aji_00_00_08_chu	既然如此，\n星之石应该也在这里哦！{[0100|fa000000]}\n我们去找找吧，马力欧！
stg7_aji_45_01	{[0203]}电梯没有反应。
stg7_aji_45_03_kur	好奇怪呢……{[0100|fa000000]}\n这下就回不去了啊。{[0004]}总之我们先找找\n其他能去的地方吧。
stg7_aji_45_03_nok	好奇怪啊……{[0100|fa000000]}\n这下就回不去了。{[0004]}总之我们先找找\n其他能去的地方吧。
stg7_aji_45_03_win	好奇怪哟……{[0100|fa000000]}\n这下就回不去了哟。{[0004]}总之我们先找找\n其他能去的地方吧。
stg7_aji_45_03_yos	好奇怪啊……{[0100|fa000000]}\n这下就回不去了。{[0004]}总之先找找\n其他能去的地方吧。
stg7_aji_45_03_viv	好奇怪呢……{[0100|fa000000]}\n这下就回不去了。{[0004]}总之我们先找找\n其他能去的地方吧。
stg7_aji_45_03_bom	好奇怪……{[0100|fa000000]}\n这下就回不去了。{[0004]}总之先找找\n其他能去的地方吧。
stg7_aji_45_03_chu	好奇怪呢……{[0100|fa000000]}\n这下就回不去了。{[0004]}总之我们先找找\n其他能去的地方吧。
stg7_aji_65	{[0203]}请插入电梯钥匙卡。
stg7_aji_66	{[0203]}请选择要前往的楼层。{[0101]}
stg7_aji_67	{[0203]}请插入安保装置钥匙卡。
stg7_aji_68	{[0203]}请输入密码。
stg7_aji_69	{[0203]}密码错误。
stg7_aji_70	{[0203]}密码已识别。
stg7_aji_password	014029
stg7_aji_73	密码已正常识别。
stg7_aji_71	{[0203]}门上锁了。
stg7_aji_77_kur	看来需要安保装置钥匙卡啊。
stg7_aji_77_nok	看来需要安保装置钥匙卡啊。
stg7_aji_77_win	看来需要安保装置钥匙卡哟。
stg7_aji_77_yos	看样子需要安保装置钥匙卡啊。
stg7_aji_77_viv	看来需要安保装置钥匙卡啊。
stg7_aji_77_bom	看样子需要安保装置钥匙卡啊。
stg7_aji_77_chu	看来需要安保装置钥匙卡啊。
stg7_aji_67_01	{[0203]}安保装置钥匙卡错误。
stg7_aji_74	{[0203]}已插入安保装置钥匙卡。
stg7_aji_75	{[0203]}暂时无法使用。
stg7_aji_67_02	{[0203]}门上锁了。
stg7_aji_76_kur	没反应呢。
stg7_aji_76_nok	没反应啊。
stg7_aji_76_win	没反应哟。
stg7_aji_76_yos	没反应啊。
stg7_aji_76_viv	没反应呢。
stg7_aji_76_bom	没反应啊。
stg7_aji_76_chu	没反应呢。
stg7_aji_ele_1_00	{[010d|0000000003000000b400000028000000]}１层\n地下１层\n地下２层\n退出
stg7_aji_ele_1_01	{[010d|0100000003000000b400000028000000]}１层\n地下１层\n地下２层\n退出
stg7_aji_ele_1_02	{[010d|0200000003000000b400000028000000]}１层\n地下１层\n地下２层\n退出
stg7_aji_ele_2_00	{[010d|0000000003000000b400000028000000]}地下２层\n地下３层\n地下４层\n退出
stg7_aji_ele_2_01	{[010d|0100000003000000b400000028000000]}地下２层\n地下３层\n地下４层\n退出
stg7_aji_ele_2_02	{[010d|0200000003000000b400000028000000]}地下２层\n地下３层\n地下４层\n退出
stg7_aji_00_00	正在修理，\n齿轮已拆卸。
stg7_aji_03_01_kur	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_01_nok	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_01_win	有个凹槽，\n感觉能嵌进去什么东西哟。
stg7_aji_03_01_yos	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_01_viv	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_01_bom	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_01_chu	有个凹槽，\n感觉能嵌进去什么东西。
stg7_aji_03_02_kur	齿轮转起来了。
stg7_aji_03_02_nok	齿轮转起来了。
stg7_aji_03_02_win	齿轮转起来了哟。
stg7_aji_03_02_yos	齿轮转起来了。
stg7_aji_03_02_viv	齿轮转起来了。
stg7_aji_03_02_bom	齿轮转起来了。
stg7_aji_03_02_chu	齿轮转起来了。
stg7_aji_00_01	按住{color[a1f199ff]}{color[ffffffcc]}时，\n吊臂将向左移动。{[0004]}随后按住{color[92d7ffff]}{color[ffffffcc]}，\n吊臂将向前移动。{[0004]}灵活操作吊臂，\n拿到想要的东西吧！
stg7_aji_03_03	{[0203]}要退出吗？{[0101]}
stg7_aji_03_04	{[010d|00000000010000009600000028000000]}是\n否
