aaa.msbt
pro_00	有信喔～
pro_01	大哥，{[0100|fa000000]}\n碧姬公主寄信來了。
pro_02	我讀一下喔。
pro_03	{[0101]}我看看～裡面寫了什麼呢……
pro_05	大哥，真的耶。{[0100|fa000000]}\n有張老舊的地圖和信放在一起。{[0004]}你看……
aji.msbt
stg7_aji_00_00_02	什麼人來著！
stg7_aji_00_00_03	你是瑪利歐！！
stg7_aji_00_00_04	也就是說……
stg7_aji_00_00_05	{[0203]}{[0307|00004040]}{[0200]}{size[8200]}要立即消滅來著！{size[6400]}\x0f\x02\0
stg7_aji_00_00_06	{[0309|01000000]}嗚噫～～～！！
stg7_aji_00_00_07_kur	瑪利歐！{[0100|fa000000]}\n既然那幫傢伙在這裡，就代表……{[0100|fa000000]}{b}{[0004]}沒錯！{[0100|fa000000]}\n碧姬公主一定在這裡！
stg7_aji_00_00_07_nok	瑪利歐！{[0100|fa000000]}\n既然那幫傢伙在這裡，就表示……{[0100|fa000000]}{b}{[0004]}沒錯！{[0100|fa000000]}\n碧姬公主一定在這裡！
stg7_aji_00_00_07_win	瑪利歐！{[0100|fa000000]}\n既然那幫傢伙在這裡，就代表……{[0100|fa000000]}{b}{[0004]}沒錯！{[0100|fa000000]}\n碧姬一定在這裡唷！
stg7_aji_00_00_07_yos	岡薩雷茲！{[0100|fa000000]}\n既然那幫傢伙在這裡，就代表……{[0100|fa000000]}{b}{[0004]}沒有錯！{[0100|fa000000]}\n碧姬公主一定在這裡！
stg7_aji_00_00_07_viv	瑪利歐……沒錯。{[0100|fa000000]}\n這裡就是那幫傢伙……{[0100|fa000000]}\nX軍團的根據地……{[0004]}碧姬公主一定就被關在這個根據地的某處。
stg7_aji_00_00_07_bom	瑪利歐！{[0100|fa000000]}\n既然那幫傢伙在這裡，可見……{[0100|fa000000]}{b}{[0004]}嗯！{[0100|fa000000]}\n恐怕碧姬公主也在這裡吧！
stg7_aji_00_00_07_chu	瑪利歐！{[0100|fa000000]}\n既然他們在這裡，就代表……{[0100|fa000000]}{b}{[0004]}沒錯！{[0100|fa000000]}\n碧姬公主就在這裡！
stg7_aji_00_00_08_kur	既然如此，星之石一定也在這裡！{[0100|fa000000]}\n瑪利歐，我們快去找吧！
stg7_aji_00_00_08_nok	既然如此，星之石一定也在這裡！{[0100|fa000000]}\n瑪利歐，我們去找吧！
stg7_aji_00_00_08_win	既然如此，星之石一定也在這裡唷！{[0100|fa000000]}\n瑪利歐，我們快去找嘛！
stg7_aji_00_00_08_yos	既然這樣，星之石一定也在這裡啦！{[0100|fa000000]}\n岡薩雷茲，我們快去找吧！
stg7_aji_00_00_08_viv	星之石一定也在這個根據地的某處……{[0100|fa000000]}\n瑪利歐，我們去找吧。
stg7_aji_00_00_08_bom	既然如此，星之石一定也在這裡！{[0100|fa000000]}\n瑪利歐，我們去找吧！
stg7_aji_00_00_08_chu	這麼說來，星之石一定也在這裡！{[0100|fa000000]}\n瑪利歐，我們去找吧！
stg7_aji_45_01	{[0203]}電梯沒有反應。
stg7_aji_45_03_kur	真奇怪……{[0100|fa000000]}\n這樣一來不就回不去了？{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_45_03_nok	真是奇怪……{[0100|fa000000]}\n這樣一來我們就回不去了。{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_45_03_win	真奇怪呢……{[0100|fa000000]}\n這樣我們就回不去了嘛。{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_45_03_yos	真奇怪耶……{[0100|fa000000]}\n這樣我們就回不去啦。{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_45_03_viv	真奇怪……{[0100|fa000000]}\n這樣一來就回不去了。{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_45_03_bom	奇怪……{[0100|fa000000]}\n這下可回不去了。{[0004]}總之試著尋找其他可以去的地方吧。
stg7_aji_45_03_chu	真奇怪……{[0100|fa000000]}\n這樣一來就回不去了。{[0004]}總之找找看其他可以去的地方吧。
stg7_aji_65	{[0203]}請插入電梯鑰匙卡。
stg7_aji_66	{[0203]}請選擇目的地。{[0101]}
stg7_aji_67	{[0203]}請插入保全裝置鑰匙卡。
stg7_aji_68	{[0203]}請輸入密碼。
stg7_aji_69	{[0203]}密碼錯誤。
stg7_aji_70	{[0203]}密碼已認證。
stg7_aji_password	014029
stg7_aji_73	密碼已經認證完畢。
stg7_aji_71	{[0203]}門上鎖了。
stg7_aji_77_kur	好像需要保全裝置鑰匙卡。
stg7_aji_77_nok	似乎需要保全裝置鑰匙卡。
stg7_aji_77_win	好像需要保全裝置鑰匙卡呢。
stg7_aji_77_yos	好像需要保全裝置鑰匙卡啊。
stg7_aji_77_viv	似乎需要保全裝置鑰匙卡呢。
stg7_aji_77_bom	好像需要保全裝置鑰匙卡喔。
stg7_aji_77_chu	似乎需要保全裝置鑰匙卡呢。
stg7_aji_67_01	{[0203]}保全裝置鑰匙卡錯誤。
stg7_aji_74	{[0203]}保全裝置鑰匙卡已插入完畢。
stg7_aji_75	{[0203]}目前無法使用。
stg7_aji_67_02	{[0203]}門上鎖了。
stg7_aji_76_kur	沒有反應呢。
stg7_aji_76_nok	沒有反應。
stg7_aji_76_win	沒有反應呢。
stg7_aji_76_yos	沒有反應耶。
stg7_aji_76_viv	沒有反應呢。
stg7_aji_76_bom	沒有反應喔。
stg7_aji_76_chu	沒有反應呢。
stg7_aji_ele_1_00	{[010d|0000000003000000b400000028000000]}1樓\n地下1樓\n地下2樓\n退出
stg7_aji_ele_1_01	{[010d|0100000003000000b400000028000000]}1樓\n地下1樓\n地下2樓\n退出
stg7_aji_ele_1_02	{[010d|0200000003000000b400000028000000]}1樓\n地下1樓\n地下2樓\n退出
stg7_aji_ele_2_00	{[010d|0000000003000000b400000028000000]}地下2樓\n地下3樓\n地下4樓\n退出
stg7_aji_ele_2_01	{[010d|0100000003000000b400000028000000]}地下2樓\n地下3樓\n地下4樓\n退出
stg7_aji_ele_2_02	{[010d|0200000003000000b400000028000000]}地下2樓\n地下3樓\n地下4樓\n退出
stg7_aji_00_00	修理中，\n齒輪已拆下。
stg7_aji_03_01_kur	這裡有個凹槽，\n好像能嵌入某種東西。
stg7_aji_03_01_nok	這裡有個凹槽，\n似乎能嵌入某種東西。
stg7_aji_03_01_win	這裡有個凹槽，\n好像能嵌入某種東西唷。
stg7_aji_03_01_yos	這裡有個凹槽，\n看起來能嵌入某個東西。
stg7_aji_03_01_viv	這裡有個凹槽，\n好像能嵌入某種東西。
stg7_aji_03_01_bom	這裡有個凹槽，\n看起來能嵌入某種東西。
stg7_aji_03_01_chu	這裡有個凹槽，\n看起來能嵌入某種東西呢。
stg7_aji_03_02_kur	齒輪在運轉了。
stg7_aji_03_02_nok	齒輪在運轉了。
stg7_aji_03_02_win	齒輪在運轉了唷。
stg7_aji_03_02_yos	齒輪在運轉囉。
stg7_aji_03_02_viv	齒輪在運轉了。
stg7_aji_03_02_bom	齒輪在運轉了。
stg7_aji_03_02_chu	齒輪在運轉了呢。
stg7_aji_00_01	按住{color[a1f199ff]}{color[ffffffcc]}時，起重機的吊臂會往左移動。{[0004]}之後按住{color[92d7ffff]}{color[ffffffcc]}，吊臂會往畫面深處移動。{[0004]}靈活操作吊臂，\n取得想要的東西吧！
stg7_aji_03_03	{[0203]}是否退出？{[0101]}
stg7_aji_03_04	{[010d|00000000010000009600000028000000]}是\n否
