aaa.msbt
pro_00	ゆうびんで～す
pro_01	にいさん{[0100|fa000000]}\nピーチ{r2[ひめ]}姫{/r2}から　{r2[てがみ]}手紙{/r2}が　きたよ
pro_02	よんでみるね
pro_03	{[0101]}え～と　なになに・・・
pro_05	ホントだ　にいさん{[0100|fa000000]}\n{r2[てがみ]}手紙{/r2}と　いっしょに\nふるぼけた{r2[ちず]}地図{/r2}が　{r2[はい]}入{/r2}っているよ{[0004]}ホラ・・・
aji.msbt
stg7_aji_00_00_02	なにものであるか！
stg7_aji_00_00_03	オマエは　マリオ！！
stg7_aji_00_00_04	ということは・・・
stg7_aji_00_00_05	{[0203]}{[0307|00004040]}{[0200]}{size[8200]}そっこく　はいじょするのである！{size[6400]}\x0f\x02\0
stg7_aji_00_00_06	{[0309|01000000]}うひぃ～～～っ！！
stg7_aji_00_00_07_kur	マリオ！{[0100|fa000000]}\nアイツらが　ここに　いるってことは・・・{[0100|fa000000]}{b}{[0004]}そうよ！{[0100|fa000000]}\nきっと　ここに　ピーチ{r2[ひめ]}姫{/r2}が\nいるのよ！
stg7_aji_00_00_07_nok	マリオさん！{[0100|fa000000]}\nアイツらが　ここに　いるってことは・・・{[0100|fa000000]}{b}{[0004]}そうです！{[0100|fa000000]}\nきっと　ここに　ピーチ{r2[ひめ]}姫{/r2}が\nいるんですよ！
stg7_aji_00_00_07_win	マリオちゃん！{[0100|fa000000]}\nアイツらが　ここに　いるってことは・・・{[0100|fa000000]}{b}{[0004]}そうよン！{[0100|fa000000]}\nきっと　ここに　ピーチちゃんが\nいるのよン！
stg7_aji_00_00_07_yos	ゴンザレス！{[0100|fa000000]}\nアイツらが　ここに　いるってことは・・・{[0100|fa000000]}{b}{[0004]}そうだぜ！{[0100|fa000000]}\nきっと　ここに　ピーチ{r2[ひめ]}姫{/r2}が\nいるんだ！
stg7_aji_00_00_07_viv	・・・そうなの　マリオ{[0100|fa000000]}\nここが　アイツら・・・{[0100|fa000000]}\nメガバッテンの　アジトなの・・・{[0004]}このアジトの　どこかに\nピーチ{r2[ひめ]}姫{/r2}が　とらわれているはずよ
stg7_aji_00_00_07_bom	マリオ！{[0100|fa000000]}\nアイツらが　ここに　いるということは・・・{[0100|fa000000]}{b}{[0004]}うむ！{[0100|fa000000]}\nおそらく　ここに　ピーチ{r2[ひめ]}姫{/r2}が\nいるのだろう！
stg7_aji_00_00_07_chu	マリオ！{[0100|fa000000]}\nカレらが　ここに　いると　いうことは・・・{[0100|fa000000]}{b}{[0004]}そう！{[0100|fa000000]}\nここに　ピーチ{r2[ひめ]}姫{/r2}が\nいるということですわ！
stg7_aji_00_00_08_kur	だったら　スターストーンも　ここに\nあるはずよ！{[0100|fa000000]}\nさがしましょう　マリオ！
stg7_aji_00_00_08_nok	だったら　スターストーンも　ここに\nあるはずです！{[0100|fa000000]}\nさがしましょう　マリオさん！
stg7_aji_00_00_08_win	だったら　スターストーンも　ここに\nあるはずよン！{[0100|fa000000]}\nさがしましょう　マリオちゃん！
stg7_aji_00_00_08_yos	だったら　スターストーンも　ここに\nあるはずだ！{[0100|fa000000]}\nさがそうぜ　ゴンザレス！
stg7_aji_00_00_08_viv	スターストーンも　このアジトの\nどこかに　あるはずよ・・・{[0100|fa000000]}\nさがしましょう　マリオ
stg7_aji_00_00_08_bom	ならば　スターストーンも　ここに\nあるはずだ！{[0100|fa000000]}\nさがすぞ　マリオ！
stg7_aji_00_00_08_chu	でしたら　スターストーンも　ここに\nあるはずですわ！{[0100|fa000000]}\nさがしましょう　マリオ！
stg7_aji_45_01	{[0203]}エレベーターは　{r2[うご]}動{/r2}きません
stg7_aji_45_03_kur	おかしいわね・・・{[0100|fa000000]}\nこれじゃ　かえれないじゃない{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみましょう
stg7_aji_45_03_nok	おかしいですね・・・{[0100|fa000000]}\nこれでは　かえれません{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみましょう
stg7_aji_45_03_win	おかしいわねン・・・{[0100|fa000000]}\nこれじゃ　かえれないわン{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみましょうン
stg7_aji_45_03_yos	おかしいな・・・{[0100|fa000000]}\nこれじゃ　かえれないぜ{[0004]}とりあえず　ほかに　{r2[い]}行{/r2}けそうな{r2[ばしょ]}場所{/r2}を\nさがしてみようぜ
