0.msbt
ActionScore_AvoidKouraB	Spiny Shell dodged!
ActionScore_BattleBreakBalloon	Popped a balloon!
ActionScore_BattleEarlyClear	Well fought!
ActionScore_BattleStrikeKart	Rammed!
ActionScore_BreakItemByItem	Item destroyed!
ActionScore_BreakItemByItemGesso	Repelled a Blooper
ActionScore_BreakItemByItemKouraB	Destroyed a Spiny Shell
ActionScore_DashPanel	Dash Panel
ActionScore_FeverAction	Frenzy Action
ActionScore_FeverGoal	Frenzy Finish
ActionScore_GetCoin	Coin
ActionScore_Glide	Glide Time
ActionScore_Goal1	1st place!
ActionScore_Goal2	2nd place!
ActionScore_Goal3	3rd place!
ActionScore_Goal4	4th place!
ActionScore_Goal5	5th place!
ActionScore_Goal6	6th place!
ActionScore_Goal7	7th place!
ActionScore_Goal8	8th place!
ActionScore_GoalBoost1	1st place bonus-points boost
ActionScore_GoalBoost2	2nd place bonus-points boost
ActionScore_GoalBoost3	3rd place bonus-points boost
ActionScore_GoalBoost4	4th place bonus-points boost
ActionScore_GoalBoost5	5th place bonus-points boost
ActionScore_GoalBoost6	6th place bonus-points boost
ActionScore_GoalBoost7	7th place bonus-points boost
ActionScore_GoalBoost8	8th place bonus-points boost
ActionScore_GuardItemByItem	Item deflected!
ActionScore_HitObjAccelRingMobsi	Boost Ring
ActionScore_HitObjBarrel	Barrel
ActionScore_HitObjBarrelBomb	Barrel Bomb
ActionScore_HitObjBarrelBombPropeller	Barrel Bomb
ActionScore_HitObjBasabasa	Swoop
ActionScore_HitObjBathBomb	Bath Bomb
ActionScore_HitObjBattan	Whomp
ActionScore_HitObjBeachBall	Beach Ball
ActionScore_HitObjBlockIce	Snow block
ActionScore_HitObjBoots	Shoe
ActionScore_HitObjBubble	Lava bubble
ActionScore_HitObjCarBomb	Bob-omb Car
ActionScore_HitObjCarBusRed	Bus
ActionScore_HitObjCarBusWhite	Bus
ActionScore_HitObjCarHanachan	Wiggler Wagon
ActionScore_HitObjCarHatchbackGreen	Car
ActionScore_HitObjCarHatchbackRed	Car
ActionScore_HitObjCarMushroom	Car
ActionScore_HitObjCarNormalBlue	Car
ActionScore_HitObjCarNormalWhite	Car
ActionScore_HitObjCarSmallTruck	Truck
ActionScore_HitObjCarSurf	Truck
ActionScore_HitObjCarSurfMobb	Truck
ActionScore_HitObjCarTruckRed	Truck
ActionScore_HitObjCarTruckWhite	Truck
ActionScore_HitObjCarTruckYellow	Truck
ActionScore_HitObjCarWiicm	Car
ActionScore_HitObjChoropoo	Monty Mole
ActionScore_HitObjCrab	Sidestepper
ActionScore_HitObjCrashBox	Crate
ActionScore_HitObjDokan	Pipe
ActionScore_HitObjDokanPackunSmall	Piranha Plant
ActionScore_HitObjDossun	Thwomp
ActionScore_HitObjDossunStar	Star Thwomp
ActionScore_HitObjDuckToy	Toy Duck
ActionScore_HitObjDurationEasteregg	Hippity!
