01_Opening.wmbt
Movie_Opening_01_Announcer	Long ago...
Movie_Opening_02_Announcer	a powerful deity bestowed mysterious\r\nstones upon humanity.
Movie_Opening_03_Announcer	According to legend, dancing with the\r\nstones could calm any evil at hand...
Movie_Opening_04_ADNaration	With its rich history and exotic wildlife,\r\nCaresaway Island is the ideal vacation spot!
Movie_Opening_05_ADNaration	This luxury resort is full of fun activities\r\nfor guests of all ages!
Movie_Opening_06_ADNaration	You could win a group getaway with the\r\npurchase of a garlic burger! Good luck!
Movie_Opening_08_Wario	Hmm?
Movie_Opening_09_Wario	Oh yeah! So yummy!
Movie_Opening_10_Wario	Gimmeee...50 garlic burgers. Now!
Movie_Opening_11_Crew	Fifty?!
Movie_Opening_12_Crew	Then you get 50 chances to win!
Movie_Opening_14_Wario	Alright!
Movie_Opening_15_Crew	You pulled the grand-prize\r\ngetaway voucher!
Movie_Opening_16_Crew	Congratulations, mister!
Movie_Opening_17_Crew	You and 20 friends are going on a\r\ndream trip to Caresaway Island!
Movie_Opening_18_Wario	Twenty WHAT?! Nooo!
Movie_Opening_19_Mona	{[0106|CD03]}Tee-hee!{[0105|8400CD03]}{[0104]}{[0106|CD04]}{[0106|CD05]}\r\nThat's enough to bring everyone along!
Movie_Opening_20_Jimmy	Don't forget us!
Movie_Opening_22_Ninevolt	I wanna go! Pretty please?!
Movie_Opening_23_Wario	Gah. Fine, fine, fine!
Movie_Opening_24_Wario	A trip with these chumps doesn't\r\nfeel like a prize! Waaah!
Movie_Opening_25_Wario	Just don't expect me to do any\r\nwork! Ahahahahaaa!
02_Wario.wmbt
Movie_Wario_Title_Wario	Stone-Cold Welcome
Movie_Wario_Prologue_01_Mona	Hey, we're here!
Movie_Wario_Prologue_02_Wario	Me first! Me first! Outta the way, chumps!
Movie_Wario_Prologue_03_Guide	Greetings! Welcome to the island!
Movie_Wario_Prologue_04_Guide	Please take these precious\r\nstones as a hello gift!
Movie_Wario_Prologue_05_Wario	Oh! Diamonds?! Gimme, gimme!
Movie_Wario_Prologue_06_Guide	Actually, they're Form Stones!
Movie_Wario_Prologue_07_Guide	Moving around with these in your\r\nhands can bring you good luck!
Movie_Wario_Prologue_09_Wario	Stupid rocks! I don't want 'em!
Movie_Wario_Prologue_11_Bird	Screee!
Movie_Wario_Prologue_12_Girl	Aaah!
Movie_Wario_Prologue_13_Elephant	Awooomph!
Movie_Wario_Prologue_15_Wario	Bwaaah!
Movie_Wario_Prologue_17_Wario	Hrngh...
Movie_Wario_Prologue_18_Wario	Oof! Ah!
Movie_Wario_Prologue_19_Bird	Caw! Caw! Caw!
Movie_Wario_Prologue_20_Wario	Huh? Where am I...
Movie_Wario_Prologue_21_ForestDwellerA	Those who dare to approach the shrine...
Movie_Wario_Prologue_22_ForestDwellerB	Will be punished...
Movie_Wario_Prologue_24_ForestDwellerA	GET OUT, TRESPASSER!
Movie_Wario_Prologue_25_Wario	Waaaaaah!
Movie_Wario_Epilogue_05_Wario	Lucky!
Movie_Wario_Epilogue_06_Wario	These rocks rock! Heh! Get it?
Movie_Wario_Epilogue_07_Wario	Wahahaha! Ahahahaaa!
03_Mona.wmbt
Movie_Mona_Title_Mona	Mermaid Meet and Greet
Movie_Mona_Prologue_02_Mona	Swim with dolphins and rays...
Movie_Mona_Prologue_03_Mona	Wait! And mermaids too?!
Movie_Mona_Prologue_04_Mona	Heya, Joe! I need a favor!
Movie_Mona_Prologue_05_Joe	You ready, Mona? We're almost\r\nto the drop point!
Movie_Mona_Prologue_06_Mona	Mermaids, here I cooome!
Movie_Mona_Epilogue_03_Mona	She's in trouble!
Movie_Mona_Epilogue_04_Mona	Hold on, Lulu! I'll save you!
04_Ashley.wmbt
Movie_Ashley_Title_Ashley	Caveat Imptor
Movie_Ashley_Prologue_00_Spot	Sandboxer Beach
Movie_Ashley_Prologue_01_Red	Hmm?
Movie_Ashley_Prologue_03_Red	Heeey! Devilishly delicious!
Movie_Ashley_Prologue_04_Red	{size[004B]}Ashley! Heeelp!{size[0064]}
Movie_Ashley_Prologue_05_Red	Down here! I'm all tiny!
Movie_Ashley_Prologue_06_Red	Get me back to normal already!
Movie_Ashley_Prologue_07_Ashley	OK.
Movie_Ashley_Prologue_08_Ashley	Enormo-size!
Movie_Ashley_Prologue_10_Ashley	Status quo ante!
Movie_Ashley_Prologue_13_Red	Just make me ME again!
Movie_Ashley_Prologue_16_Ashley	Berry-ka-zam!
Movie_Ashley_Prologue_17_Ashley	Here, Red. Eat this. It should help.
Movie_Ashley_Prologue_18_Red	OK...
Movie_Ashley_Epilogue_01_Red	Yeah, it's working! It's working, Ashley!
Movie_Ashley_Epilogue_02_Red	I'm back and good as new!
Movie_Ashley_Epilogue_03_Red	Guh!
Movie_Ashley_Epilogue_07_Red	Aaaaaah!
Movie_Ashley_Epilogue_08_Red	What did you do to meee?!
05_Crygor.wmbt
Movie_Crygor_Title_Crygor	A Curious Case of Cave Art
Movie_Crygor_Prologue_00_Spot	Underarm Jungle
Movie_Crygor_Prologue_01_Penny	Says here these were drawn\r\nby a real caveman!
Movie_Crygor_Prologue_04_Crygor	Yes! I've got it! Behold my latest invention...
Movie_Crygor_Prologue_05_Crygor	The Time Obliterator 5.0!
Movie_Crygor_Prologue_07_Crygor	We'll use it to observe the creation\r\nof this masterpiece.
Movie_Crygor_Prologue_08_Penny	It worked! You're amazing!
Movie_Crygor_Prologue_09_Mike	Look!
Movie_Crygor_Prologue_10_Penny	What a charming little creature!
Movie_Crygor_Prologue_11_PrimitiveMan	It's just so meh.
Movie_Crygor_Prologue_12_PrimitiveMan	If only there were something\r\nnew I could draw...
Movie_Crygor_Prologue_13_PrimitiveMan	Oh!
Movie_Crygor_Prologue_14_PrimitiveMan	CREATIVE INSPIRATION!
Movie_Crygor_Prologue_15_PrimitiveMan	You, stand there!
Movie_Crygor_Prologue_16_PrimitiveMan	Just like that! Perfect!
Movie_Crygor_Prologue_17_PrimitiveMan	Yes. YES!
Movie_Crygor_Prologue_18_PrimitiveMan	I have created...the future of art!
Movie_Crygor_Epilogue_02_PrimitiveMan	Hraaagh!
Movie_Crygor_Epilogue_03_Penny	Ooo!
Movie_Crygor_Epilogue_04_Wario	Waaaaaah?
06_Orbulon.wmbt
