CheckSaveData.msbt
CreateFile	正在建立{c[dc000d]}儲存資料{c[000000]}，\n請稍候片刻。
CreateFileSuccess	已成功建立{c[dc000d]}儲存資料{c[000000]}。
RepairData	{c[dc000d]}儲存資料{c[000000]}損毀。\n正在刪除並重新建立，\n請稍候片刻。
ErrorOccured	發生{c[dc000d]}錯誤{c[000000]}。
CommonUI.msbt
DialogYes	是
DialogNo	不是
DialogOK	OK
SaveInfoMessage	儲存中
AccessInfoMessage	通訊中
SkipText	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0跳過
MelonCommon.msbt
ComputerNum1	\x0e\x17\x01\0朋友1\x0f\x17\x01
ComputerNum2	\x0e\x17\x01\0朋友2\x0f\x17\x01
ComputerNum3	\x0e\x17\x01\0朋友3\x0f\x17\x01
ComputerNum4	\x0e\x17\x01\0朋友4\x0f\x17\x01
OtomoNum1	\x0e\x17\x01\0朋友1\x0f\x17\x01
OtomoNum2	\x0e\x17\x01\0朋友2\x0f\x17\x01
OtomoNum3	\x0e\x17\x01\0朋友3\x0f\x17\x01
OtomoNum4	\x0e\x17\x01\0朋友4\x0f\x17\x01
HelperNum1	\x0e\x17\x01\0玩家朋友1\x0f\x17\x01
HelperNum2	\x0e\x17\x01\0玩家朋友2\x0f\x17\x01
HelperNum3	\x0e\x17\x01\0玩家朋友3\x0f\x17\x01
HelperNum4	\x0e\x17\x01\0玩家朋友4\x0f\x17\x01
GemApple_purchase	是
GemApple_cancel	不是
DialogYes	是
DialogNo	不是
DialogOK	OK
NetworkConfirmDialogText	將進行交換道具的確認。\n要連接到{c[dc000d]}網路{c[000000]}嗎？
Disconnect1PJoyCon	{c[dc000d]}找不到{c[000000]}操作{c[dc000d]}1P{c[000000]}的控制器。
ButtonGuide_01	\x0e\x04\x06\x022\0關閉
ButtonGuide_02	\x0e\x04\x06\x022\0返回
ButtonGuide_03	\x0e\x04\x07\x023\0人物簡介
ButtonGuide_04	\x0e\x04\x08\x024\0選項
ButtonGuide_05	\x0e\x04\x07\x023\0切換姿勢
ButtonGuide_06	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0操作說明
ButtonGuide_07	\x0e\x04\n\x02a\0前往防具
ButtonGuide_08	\x0e\x04\t\x02`\0前往武器
ButtonGuide_09	\x0e\x04\x08\x024\0試用
ButtonGuide_11	\x0e\x04\x07\x023\0說明
ButtonGuide_12	\x0e\x04\x07\x023\0強度
ButtonGuide_13	\x0e\x04\x08\x024\0說明
ButtonGuide_14	\x0e\x04\x08\x024\0報酬
ButtonGuide_15	{c[fe9a10]}\x0e\x04\x07\x023\0任務內容{c[000000]}
ButtonGuide_16	\x0e\x04\x08\x024\0圖章
ButtonGuide_17	\x0e\x04\n\x02a\0輔助道具
ButtonGuide_18	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0改變玩家人數
ButtonGuide_19	\x0e\x04\x08\x024\0退出
ButtonGuide_20	\x0e\x04\x07\x023\0重新開始
ButtonGuide_21	\x0e\x04\x05\x021\0查看
ButtonGuide_23	\x0e\x04\x07\x023\0全部使用
ButtonGuide_24	\x0e\x04\x06\x022\0取消
ButtonGuide_25	\x0e\x04\n\x02a\0更新列表
ButtonGuide_26	\x0e\x04\x18\x02Å\0查看旅人
MelonEquipArms.msbt
SwordA0	新手之劍
SwordB0	劍士之劍
SwordB1	疾風之劍
SwordC0	獨角獸劍
SwordC1	緋紅劍
SwordD0	黃金劍
SwordE0	白金英雄劍
SwordFn0	闇物質魔劍
SwordFn1	龍帝翁
SwordJk0	魚鋸
SwordN0	騎士劍
SwordN1	青金之劍
SwordN2	白鷹之劍
SwordN3	驚奇非凡劍
SwordN4	蒼炎之劍
SwordN5	鯊魚鋸
SwordN6	深淵金屬刃
SwordN7	異次元龍帝翁
SwordN8	冥王之斬閃冥蝶
SwordN9	星光劍
HammerA0	新手之槌
HammerB0	重戰士之錘
HammerB1	獸錘
HammerC0	恐龍錘
HammerC1	獨眼巨人錘矛
HammerD0	黃金錘
HammerE0	白金重錘子
HammerFn0	哇姆霸姆拳
HammerFn1	闇意向鏡錘
HammerJk0	幸福小槌
HammerN0	英勇錘
HammerN1	青金之錘
HammerN2	白虎之錘
HammerN3	驚奇非凡錘
HammerN4	凝視者錘矛
HammerN5	花開小槌
HammerN6	深淵金屬錘
HammerN7	D狂錘‧意向 復仇
HammerN8	逆襲之錘‧改
HammerN9	星光錘
BeamA0	新手之杖
BeamB0	魔法師之杖
BeamB1	巫師神杖
BeamC0	玫瑰神杖
BeamC1	星空之杖
BeamD0	黃金神杖
BeamE0	白金魔法神杖
BeamFn0	魔力繪畫墮落錫安神杖
BeamFn1	魔力魔法洛亞神杖
BeamJk0	魔法少女之杖
BeamN0	術師神杖
BeamN1	青金之杖
BeamN2	白兔之杖
BeamN3	驚奇非凡神杖
BeamN4	克洛諾斯神杖
BeamN5	皇女神杖
BeamN6	深淵金屬神杖
BeamN7	店主魔法洛亞神杖
BeamN8	魔嚕酷之杖
BeamN9	星光神杖
DoctorA0	新手之燒瓶
DoctorB0	學士之燒瓶
DoctorB1	聖徒燒瓶
DoctorC0	海水玻璃瓶
DoctorC1	薩滿玻璃瓶
DoctorD0	黃金玻璃瓶
DoctorE0	白金治癒玻璃瓶
DoctorFn0	啾啾燒瓶
DoctorFn1	塔狼蛛玻璃瓶
DoctorJk0	瘋狂燒瓶
DoctorN0	醫生燒瓶
DoctorN1	青金之燒瓶
DoctorN2	白貓頭鷹之燒瓶
DoctorN3	驚奇非凡燒瓶
DoctorN4	治癒師之瓶
DoctorN5	魅惑燒瓶
DoctorN6	深淵金屬燒瓶
DoctorN7	闇塔狼蛛玻璃瓶
DoctorN8	塞昆托霓雅玻璃瓶
DoctorN9	星光治癒玻璃瓶
MelonEquipArmsDescription.msbt
SwordA0	初出茅廬的劍士裝備的劍。\n就算碰到劍身\n也不會痛。
SwordB0	獨當一面的劍士會用的劍。\n雖然沒有特殊的力量，\n但非常容易使用。
SwordB1	寄宿著風之力量的劍。\n如同羽毛一般輕盈，\n能夠加快蓄力速度。
SwordC0	聖獸之劍。利用聖獸角的力量，\n能夠提高蓄力速度\n與好友隕石的威力。
SwordC1	代表著紅蓮鬥志的劍。\n劍身有如烈火般灼熱，\n以高攻擊力著稱。
SwordD0	王國的遠古英雄\n曾揮舞過的黃金劍。\n能夠增強各種戰鬥能力。
SwordE0	寄宿著神之力的傳說武器。\n充滿白金光輝，\n能斬裂世間萬物。
SwordFn0	據說是把\n屬於黑暗劍士的劍。\n傳言他們潛伏於暗處，\n企圖將世界封鎖於黑暗中。
SwordFn1	仿造勇敢的四頭龍\n頭上的角製成的劍。\n而龍帝亞本來則是一位\n心地善良的守護神。
SwordJk0	一拿在手上就會\n充滿活力地躍動的鋸狀武器。\n為了別讓它亂動，\n還是小心為上。
SwordN0	被允許進行戰鬥的劍士\n所使用的劍。\n只要能取得這把劍，\n就是名獨當一面的劍士。
SwordN1	以湛藍寶石之力\n提高攻擊力的\n雙面刃。\n藍色的光澤非常美麗。
SwordN2	有如純白老鷹，\n以速度著稱的劍。\n能夠加快蓄力速度。
SwordN3	獨角獸劍升級後\n變得七彩繽紛。\n更容易取得碎片，\n而且還很可愛。
SwordN4	據說是仿造\n傳說之龍噴出的藍色火焰\n錘鍊而成的劍。
SwordN5	擁有銳利劍刃，\n會活蹦亂跳的鋸狀武器。\n比魚鋸更加銳利，\n擁有驚人的殺傷力。
SwordN6	以深海底部\n找到的罕見金屬\n打造而成的利刃。\n能夠增強各種能力。
SwordN7	劍上寄宿著\n來自異世界的龍帝亞之力。\n據說如果由邪惡之人拿起此劍，\n就會有災厄發生。
