CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	カカア…\nエド…！ エドナ…
C01_EV1000_00020_RODN	外へ行こうとするのを 力ずくで引き止めたんだ
C01_EV1000_00030_RODN	まだ…ツケも払ってもらってねえしな
C01_EV1000_00040_RODN	ここなら暫くはしのげると思ったが…
C01_EV1000_00050_RODN	長くはもたないかもな
C01_EV1000_00060_BAYO	あのお友達はアンタが呼んだんじゃないの？
C01_EV1000_00070_RODN	冗談だろ？\nちょっと挨拶してみたが 間違いねえ
C01_EV1000_00080_RODN	アレは天界や魔界の連中とは違う\n……「混沌界」の住人
C01_EV1000_00090_RODN	つまりお前たち………人間のお友達だ
C01_EV1000_00100_JANN	…人間の？
C01_EV1000_00110_GIRL	やつらは ホムンクルス
C01_EV1000_00115_GIRL	人間が作った生体兵器だ
C01_EV1000_00120_RODN	俺もさっき会ったばかりなんだが 名前は －
C01_EV1000_00130_GIRL	ヴィオラ
C01_EV1000_00135_GIRL	私はあんたの…
C01_EV1000_00140_GIRL	いや そんなことより もう時間がない
C01_EV1000_00150_GIRL	このままじゃこの世界が消滅して 街も 人々も…\n全てが消し飛んでしまう
C01_EV1000_00160_BAYO	じゃあ あんたが奴らを連れてきたの ねぇ？
C01_EV1000_00170_GIRL	違う！
C01_EV1000_00180_GIRL	奴らは イナゴのようにマルチバースを次々侵略して ―
C01_EV1000_00190_GIRL	片っ端から消滅させているんだ
C01_EV1000_00200_GIRL	お願いだ 信じてくれ 時間がないんだ！
C01_EV1000_00210_GIRL	ベヨネッタ…ジャンヌ\nあんたたちが必要なんだ！
C01_EV1000_00220_JANN	お前 なぜ我々の名前を知っている？\n魔導術も少々心得ているようだが
C01_EV1000_00230_GIRL	それは…
C01_EV1000_00240_GIRL	私のいた世界で 出会っているから
C01_EV1000_00250_GIRL	無数に存在しているマルチバースの中の ひとつの世界で…
C01_EV1000_00260_GIRL	だが 消滅した
C01_EV1000_00270_GIRL	あんたも あんたも 何もかも消えた！
C01_EV1000_00280_GIRL	やつらの侵略は更に激化してる\n残るマルチバースは もうあと僅かだ…！
C01_EV1000_00290_JANN	マルチバース…？
C01_EV1000_00300_JANN	それが本当だったとして 奴らの目的は 何なんだ？
C01_EV1000_00310_RODN	そいつは聞き捨てならねえな
C01_EV1000_00320_RODN	お前さんの言うことが本当なら これは人間だけの問題じゃねえ
C01_EV1000_00330_RODN	三位一体世界の中でも ここ「混沌界」は\n無数にある宇宙が重なり合った 多層構造を成している
C01_EV1000_00340_RODN	それが「マルチバース」だ
C01_EV1000_00350_RODN	その宇宙を一つ一つ消滅させてるとしたら…\nいや 消滅というのは正確じゃねえな
C01_EV1000_00360_RODN	正しくはマルチバースを分解して……\nひとつに統合しようってのさ
C01_EV1000_00370_RODN	薄くスライスされたハムを 細切れにして……\nデカいミンチの塊にするようにな
C01_EV1000_00380_RODN	それが本当にできたなら 魔界も天界も一瞬で消し飛ばせる\nそんな力が手に入るだろうぜ
C01_EV1000_00390_BAYO	さすが 博学ね
C01_EV1000_00400_BAYO	私たちにどうしろと？
C01_EV1000_00410_GIRL	手短に言う ミッションは２つだ
C01_EV1000_00420_GIRL	ジャンヌ あんたはこの世界のどこかにいる協力者\n「シグルズ」という名の科学者を探してくれ
C01_EV1000_00430_GIRL	そして ベヨネッタ\n私と一緒に来て これと同じものを集めてもらいたい
C01_EV1000_00440_GIRL	シンギュラリティを倒す鍵となる この「混沌の歯車」
C01_EV1000_00450_GIRL	そして その使い方を知る唯一の協力者 シグルズ博士
C01_EV1000_00460_GIRL	どちらか一つが欠けても この世界は終わる
C01_EV1000_00470_BAYO	こんな辛気臭いところにいてもカードくらいしか\nやることないわけだし ―
C01_EV1000_00480_BAYO	行ってあげてもいいわよ\nそれでこの下らないバカ騒ぎが終わるならね
C01_EV1000_00490_BAYO	詳しい話は 道中聞かせてもらおうかしら
C01_EV1000_00500_GIRL	わ 分かった…
C01_EV1000_00510_RODN	ところで
C01_EV1000_00515_RODN	こいつは一体何なんだ？
C01_EV1000_00530_GIRL	えっ？うわっ もう！チェシャ！！\n勝手に動いちゃダメって言ってるだろ！！
C01_EV1000_00580_BAYO	チェシャ…
C01_EV1010_00010_GIRL	侵略者「シンギュラリティ」
C01_EV1010_00020_GIRL	そいつは誰よりも早くマルチバースの構造を解明した
C01_EV1010_00030_GIRL	そして、自らの宇宙を「アルファ・バース」と名付け\n他の宇宙を滅ぼし始めたんだ
C01_EV1010_00040_GIRL	奴を討つ方法は一つ…アルファ・バースに\n直接乗り込むしかない
C01_EV1010_00050_GIRL	でも私たちはマルチバース間を自由に行き来できない
C01_EV1010_00060_GIRL	…全てのマルチバースを繋ぐ一箇所を除いて
C01_EV1010_00070_GIRL	かつて未知の世界との交信を研究する魔女と賢者たちが\n造り出したという伝説の島 ―
C01_EV1010_00080_GIRL	絶海の孤島「トゥーレ」だ！
C01_EV1010_00090_BAYO	その 地図にも載ってない島なんて 本当にあるの？
C01_EV1010_00100_BOS1	信じよ されば道は開かれん…
C01_EV1010_00110_BAYO	信じれば 道が開かれる…？
C01_EV1010_00160_GIRL	見ろ あったぞ！
C01_EV1010_00170_BAYO	なるほど\nねぇ 私たちの行動 見られてるんじゃない？
C01_EV1010_00180_GIRL	まさか……奴が？
C01_EV1010_00190_GIRL	降りよう これ以上は危険だ
C01_EV1010_00200_BAYO	あれは？
C01_EVa100_00010_ANNO	間もなく扉が閉まりますご注意ください
C01_EVa101_00010_ANNO	この先 電車が揺れることがありますのでご注意ください\nお立ちのお客様はつり革や手すりにおつかまりください
C01_EVa120_00010_BAYO	あれって まさか "混沌の歯車"？
C01_EVa120_00020_BAYO	食いしん坊なのね\n私がダイエットを手伝ってあげるわ
C01_EVa121_00010_SDF1	HQ 接敵した 距離５０
C01_EVa121_00020_SDF1	対象は北東に向かって移動中 送れ
C01_EVa121_00030_SDF1	こちら本部 了解した
C01_EVa121_00040_SDF1	作戦を開始せよ
C01_EVa121_00050_SDF1	了解
C01_EVa121_00060_SDF1	射撃用意！
C01_EVa121_00070_SDF1	撃て！
C01_EVa121_00080_SDF1	対戦車砲用意！
C01_EVa121_00090_SDF1	撃て！
C01_EVa121_00100_SDF1	HQ 対象は無傷\n効果はみられない
C01_EVa121_00110_SDF1	繰り返す 効果はみられない。
C01_EVa121_00120_SDF2	ん？
C01_EVa121_00140_BAYO	おいたにしては ちょっと度が過ぎるんじゃないかしら
C01_EVa121_00150_BAYO	いいわ わたしが止めてあげる
C01_EV1040_00010_RODN	俺と奴らの区別もつかんとは…\n随分殺気立って ―
C01_EV1040_00020_BAYO	いたって冷静よ
C01_EV1040_00024_RODN	…そりゃ結構だ
C01_EV1040_00028_RODN	今回の騒ぎじゃ 天界の奴らの輪っかは稼げそうにないが ―
C01_EV1040_00030_RODN	混沌が生み出すこの宝玉 これはこれで面白い
C01_EV1040_00040_BAYO	もしかして、商売の話かしら？
C01_EV1040_00050_RODN	フッ…察しがいいな
C01_EV1040_00060_RODN	ゲイツオブヘルへようこそ
C01_EV1040_00070_RODN	今回はこいつで お望みのものを都合してやるぜ
C01_EV1040_00080_RODN	もちろんヘイロウの持ち込みも大歓迎\n特別なブツを融通してやろう
