bag.dat
msg_ui_bag_okodukai_00	所持金
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]円
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_power	いりょく
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	めいちゅう
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	決定
msg_ui_bag_option_return	戻る
msg_ui_bag_option_favorite	お気に入り
msg_ui_bag_option_sort	ポーチ整理
msg_ui_bag_noitem	ありません
msg_ui_bag_wazamashine_msg_00	どのポケモンに使いますか？
msg_ui_bag_wazamashine_msg_01	[VAR 0102(0000)]と　[VAR 0107(0001)]は\n相性が　悪かった！\c\n[VAR 0107(0001)]は\n覚えられない！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]は　すでに\n[VAR 0107(0001)]を　覚えています\c
msg_ui_bag_wazamashine_msg_05	わざマシンを　起動した！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　覚えた！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]は　新しく\n[VAR 0107(0001)]を　覚えたい……\c\n[VAR 0107(0001)]の　かわりに\n他の　技を　忘れさせますか？
msg_ui_bag_wazamashine_msg_08	１[WAIT 20]　２の[WAIT 20]　…[WAIT 20]…[WAIT 20]　ポカン！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]は　[VAR 0107(0001)]の\n使い方を　きれいに忘れた！\c\nそして……！\c\n[VAR 0102(0000)]は　新しく\n[VAR 0107(0002)]を覚えた！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]は　[VAR 0107(0001)]を\n覚えずに終わった！\c
msg_ui_bag_wazamashine_msg_10	[VAR 0107(0000)]の　かわりに\n忘れる技を選んでください！\c
msg_ui_bag_wazamashine_msg_11	わざレコードを　起動した\c
msg_ui_bag_wazamashine_msg_12	わざレコードは\n一度しか　使えません\c
msg_ui_bag_wazamashine_msg_13	[VAR 0107(0000)]の\nわざレコードは　壊れた\c
msg_ui_bag_wazamashine_msg_14	壊れてしまいますが\nよろしいでしょうか？
msg_ui_bag_wazamashine_msg_15	はい
msg_ui_bag_wazamashine_msg_16	いいえ
msg_ui_bag_wazamashine_memory_00	[VAR FF00(0002)]覚える！[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_01	[VAR FF00(0001)]覚えない[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_02	覚えている
msg_ui_bag_tokuseicapsule_00	[VAR FF00(0002)]使える[VAR FF00(0000)]
msg_ui_bag_tokuseicapsule_01	[VAR FF00(0001)]使えない[VAR FF00(0000)]
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]円
msg_ui_bag_shop_04	買い取り価格
msg_ui_bag_shop_05	それなら　[VAR 0207(0000,0000)]円で\nお引き取り　いたしましょう\c\nよろしいですか？
msg_ui_bag_shop_06	はい
msg_ui_bag_shop_07	いいえ
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	[VAR 0109(0000)]を\nいくつ　売りますか？
msg_ui_bag_shop_10	[VAR 0109(0000)]を\n買い取ることは　できません\c
msg_ui_bag_shop_11	[VAR 0109(0000)]を　渡して\n[VAR 0207(0001,0000)]円を　受け取った\c
msg_ui_bag_shop_11_s	[VAR 0109(0000)]を　渡して\n[VAR 0207(0001,0000)]円を　受け取った\c
msg_ui_bag_shop_12_01	[~ 57]
msg_ui_bag_shop_12_02	[~ 58]
msg_ui_bag_sort_00	種類順
msg_ui_bag_sort_01	名前順
msg_ui_bag_sort_02	NEW
msg_ui_bag_sort_03	番号順
msg_ui_bag_sort_04	お気に入り
msg_ui_bag_sort_05	やめる
msg_ui_bag_sort_msg_00	どの並びに　変えますか？
msg_ui_bag_sort_msg_01	種類順に\n持ち物を整理しました！\c
msg_ui_bag_sort_msg_02	名前順に\n持ち物を整理しました！\c
msg_ui_bag_sort_msg_03	番号順に\n持ち物を整理しました！\c
msg_ui_bag_sort_msg_04	お気に入りの\n持ち物を整理しました！\c
msg_ui_bag_sort_msg_05	新しく　手に入れた\n持ち物を整理しました！\c
msg_ui_bag_use	使う
msg_ui_bag_have	もたせる
msg_ui_bag_leave	やめる
msg_ui_bag_use_msg_01	[VAR 0102(0000)]の　体力が\n[VAR 0202(0001)]　回復した！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]は\n元気を　とりもどした！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]の　どくは\nきれいさっぱり　なくなった！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]の\n体の　しびれが　とれた！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]の\nやけどが　なおった！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]の\n体の　こおりが　とけた！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]は\n目を　覚ました！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]は\n健康に　なった！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]は　[VAR 010D(0001)]の\n基礎ポイントが　あがった！\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)]は\n最高に　なついている！\c\n[VAR 010D(0001)]の\n基礎ポイントが　さがった！\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\n基礎ポイントは　もうさがらない！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]は\n[VAR 0109(0001)]を　使った！\c
msg_ui_bag_use_msg_15	まだ前に使った\nスプレーの効果が残ってます！\c
msg_ui_bag_use_msg_16	[VAR 0109(0000)]を　持たせた！\c
msg_ui_bag_use_msg_17	[VAR 0109(0000)]を　預かって\n[VAR 0109(0001)]を　持たせた！\c
msg_ui_bag_use_msg_19	使っても効果がないよ\c
msg_ui_bag_use_msg_20	博士の言葉……\n[VAR 0100(0000)]　こういったものには\r\n使いどきがあるのです\c
msg_ui_bag_use_msg_21	ポケモンが　いませんよ！\c
