bag.dat
msg_ui_bag_okodukai_00	しょじきん
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]円
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_power	いりょく
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	めいちゅう
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	けってい
msg_ui_bag_option_return	もどる
msg_ui_bag_option_favorite	おきにいり
msg_ui_bag_option_sort	ポーチせいり
msg_ui_bag_noitem	ありません
msg_ui_bag_wazamashine_msg_00	どの　ポケモンに　つかいますか？
msg_ui_bag_wazamashine_msg_01	[VAR 0102(0000)]と　[VAR 0107(0001)]は\nあいしょうが　わるかった！\c\n[VAR 0107(0001)]は\nおぼえられない！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]は　すでに\n[VAR 0107(0001)]を　おぼえています\c
msg_ui_bag_wazamashine_msg_05	わざマシンを　きどうした！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]は\n[VAR 0107(0001)]を　おぼえた！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]は　あたらしく\n[VAR 0107(0001)]を　おぼえたい……\c\n[VAR 0107(0001)]の　かわりに\nほかの　わざを　わすれさせますか？
msg_ui_bag_wazamashine_msg_08	１[WAIT 20]　２の[WAIT 20]　…[WAIT 20]…[WAIT 20]　ポカン！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]は　[VAR 0107(0001)]の\nつかいかたを　きれいにわすれた！\c\nそして……！\c\n[VAR 0102(0000)]は　あたらしく\n[VAR 0107(0002)]を　おぼえた！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]は　[VAR 0107(0001)]を\nおぼえずに　おわった！\c
msg_ui_bag_wazamashine_msg_10	[VAR 0107(0000)]の　かわりに\nわすれる　わざを　えらんでください！\c
msg_ui_bag_wazamashine_msg_11	わざレコードを　きどうした\c
msg_ui_bag_wazamashine_msg_12	わざレコードは\nいちどしか　つかえません\c
msg_ui_bag_wazamashine_msg_13	[VAR 0107(0000)]の\nわざレコードは　こわれた\c
msg_ui_bag_wazamashine_msg_14	こわれてしまいますが\nよろしいでしょうか？
msg_ui_bag_wazamashine_msg_15	はい
msg_ui_bag_wazamashine_msg_16	いいえ
msg_ui_bag_wazamashine_memory_00	[VAR FF00(0002)]おぼえる！[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_01	[VAR FF00(0001)]おぼえない[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_02	おぼえている
msg_ui_bag_tokuseicapsule_00	[VAR FF00(0002)]つかえる[VAR FF00(0000)]
msg_ui_bag_tokuseicapsule_01	[VAR FF00(0001)]つかえない[VAR FF00(0000)]
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]円
msg_ui_bag_shop_04	かいとり　かかく
msg_ui_bag_shop_05	それなら　[VAR 0207(0000,0000)]円で\nおひきとり　いたしましょう\c\nよろしいですか？
msg_ui_bag_shop_06	はい
msg_ui_bag_shop_07	いいえ
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	[VAR 0109(0000)]を\nいくつ　うりますか？
msg_ui_bag_shop_10	[VAR 0109(0000)]を\nかいとることは　できません\c
msg_ui_bag_shop_11	[VAR 0109(0000)]を　わたして\n[VAR 0207(0001,0000)]円を　うけとった\c
msg_ui_bag_shop_11_s	[VAR 0109(0000)]を　わたして\n[VAR 0207(0001,0000)]円を　うけとった\c
msg_ui_bag_shop_12_01	[~ 57]
msg_ui_bag_shop_12_02	[~ 58]
msg_ui_bag_sort_00	しゅるいじゅん
msg_ui_bag_sort_01	なまえじゅん
msg_ui_bag_sort_02	NEW
msg_ui_bag_sort_03	ばんごうじゅん
msg_ui_bag_sort_04	おきにいり
msg_ui_bag_sort_05	やめる
msg_ui_bag_sort_msg_00	どの　ならびに　かえますか？
msg_ui_bag_sort_msg_01	しゅるいじゅんに\nもちものを　せいり　しました！\c
msg_ui_bag_sort_msg_02	なまえじゅんに\nもちものを　せいり　しました！\c
msg_ui_bag_sort_msg_03	ばんごうじゅんに\nもちものを　せいり　しました！\c
msg_ui_bag_sort_msg_04	おきにいりの　もちものを\nせいり しました！\c
msg_ui_bag_sort_msg_05	あたらしく　てにいれた\nもちものを　せいりしました！\c
msg_ui_bag_use	つかう
msg_ui_bag_have	もたせる
msg_ui_bag_leave	やめる
msg_ui_bag_use_msg_01	[VAR 0102(0000)]の　たいりょくが\n[VAR 0202(0001)]　かいふくした！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]は\nげんきを　とりもどした！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]の　どくは\nきれい　さっぱり　なくなった！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]の\nからだの　しびれが　とれた！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]の\nやけどが　なおった！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]の\nからだの　こおりが　とけた！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]は\nめを　さました！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]は\nけんこうに　なった！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)]は　[VAR 010D(0001)]の\nきそポイントが　あがった！\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)]は\nさいこうに　なついている！\c\n[VAR 010D(0001)]の\nきそポイントが　さがった！\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)]は\nちょっと　なついた！\c\n[VAR 010D(0001)]の\nきそポイントは　もうさがらない！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]は\n[VAR 0109(0001)]を　つかった！\c
msg_ui_bag_use_msg_15	まだ　まえに　つかった\nスプレーの　こうかが　のこってます！\c
msg_ui_bag_use_msg_16	[VAR 0109(0000)]を　もたせた！\c
msg_ui_bag_use_msg_17	[VAR 0109(0000)]を　あずかって\n[VAR 0109(0001)]を　もたせた！\c
msg_ui_bag_use_msg_19	つかっても　こうかがないよ\c
