bag.dat
msg_ui_bag_okodukai_00	Money
msg_ui_bag_okodukai_01	[VAR 0206(0000,002C)]
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_lv_00	Lv. [VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_power	Power
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	Accuracy
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	—
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	Confirm
msg_ui_bag_option_return	Back
msg_ui_bag_option_favorite	Favorite
msg_ui_bag_option_sort	Organize Satchel
msg_ui_bag_noitem	Empty
msg_ui_bag_wazamashine_msg_00	Which Pokémon will you use it on?
msg_ui_bag_wazamashine_msg_01	[VAR 0107(0001)] can’t be learned by\n[VAR 0102(0000)]! The two are incompatible!\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)] already knows\nthe move [VAR 0107(0001)].\c
msg_ui_bag_wazamashine_msg_05	You booted up the TM.\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)] learned [VAR 0107(0001)]![VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)] wants to learn\nthe move [VAR 0107(0001)].\c\nShould an old move be forgotten and\nreplaced with [VAR 0107(0001)]?
msg_ui_bag_wazamashine_msg_08	[VAR BD06(0000)]One...[WAIT 20]two...[WAIT 20]and...[WAIT 20][WAIT 20]ta-da![VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)] forgot [VAR 0107(0001)]!\c\nAnd it learned [VAR 0107(0002)] instead![VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_09	[VAR BD06(0000)][VAR 0102(0000)] did not learn\n[VAR 0107(0001)].\c
msg_ui_bag_wazamashine_msg_10	[VAR BD06(0000)]Choose a move to be replaced\nwith [VAR 0107(0000)].\c
msg_ui_bag_wazamashine_msg_11	You booted up the TR.\c
msg_ui_bag_wazamashine_msg_12	A TR can be used only once.\c
msg_ui_bag_wazamashine_msg_13	The TR [VAR 0107(0000)] broke.\c
msg_ui_bag_wazamashine_msg_14	The TR will break. Is that OK?
msg_ui_bag_wazamashine_msg_15	Yes
msg_ui_bag_wazamashine_msg_16	No
msg_ui_bag_wazamashine_memory_00	[VAR FF00(0002)]Can learn[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_01	[VAR FF00(0001)]Cannot learn[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_02	Knows this move
msg_ui_bag_tokuseicapsule_00	[VAR FF00(0002)]Compatible[VAR FF00(0000)]
msg_ui_bag_tokuseicapsule_01	[VAR FF00(0001)]Incompatible[VAR FF00(0000)]
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,002C)]
msg_ui_bag_shop_04	PURCHASE PRICE
msg_ui_bag_shop_05	I can pay you [VAR 0207(0000,002C)].\nWould that be OK?
msg_ui_bag_shop_06	Yes
msg_ui_bag_shop_07	No
msg_ui_bag_shop_08	—
msg_ui_bag_shop_09	How many [VAR 1001][VAR 010A(0000)]\nwould you like to sell?
msg_ui_bag_shop_10	Oh, no.\nI can’t buy [VAR 1001][VAR 010A(0000)].\c
msg_ui_bag_shop_11	You turned over the [VAR 010A(0000)]\nand got [VAR 0207(0001,002C)].\c
msg_ui_bag_shop_11_s	You turned over the [VAR 1001][VAR 010A(0000)]\nand got [VAR 0207(0001,002C)].\c
msg_ui_bag_shop_12_01	[~ 57]
msg_ui_bag_shop_12_02	[~ 58]
msg_ui_bag_sort_00	By type
msg_ui_bag_sort_01	By name
msg_ui_bag_sort_02	Newest first
msg_ui_bag_sort_03	By number
msg_ui_bag_sort_04	Favorites first
msg_ui_bag_sort_05	Quit
msg_ui_bag_sort_msg_00	How do you want to sort your items?
msg_ui_bag_sort_msg_01	Items have been sorted by type!\c
msg_ui_bag_sort_msg_02	Items have been sorted by name!\c
msg_ui_bag_sort_msg_03	Items have been sorted by number!\c
msg_ui_bag_sort_msg_04	You sorted your items so favorites come first!\c
msg_ui_bag_sort_msg_05	You sorted your items so new items come first!\c
msg_ui_bag_use	Use item
msg_ui_bag_have	Give to a Pokémon
msg_ui_bag_leave	Cancel
msg_ui_bag_use_msg_01	[VAR 0102(0000)]’s HP was restored by\n[VAR 0202(0001)] point[VAR 1101(0001,0100)]s.\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)] recovered from fainting!\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)] was cured of its poisoning!\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)] was cured of paralysis!\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]’s burn was healed!\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)] was thawed out!\c
