amulet.dat
msg_amulet_001	我正在向守護祝慶村的\n御護石表達感謝。[VAR 0114(005D)]
msg_amulet_002	[VAR 1100(00FF,0101)]你妳要向御護石求什麼呀？[VAR 0114(005D)]
msg_amulet_sel_000	防失物
msg_amulet_sel_001	求強壯
msg_amulet_sel_002	求健康
msg_amulet_sel_003	沒有想求的事
msg_amulet_sel_004	關於護符
msg_amulet_003	那麼就是這個護符了。\n我以[VAR 0204(0001,0000)]讓給[VAR 1100(00FF,0101)]你妳，如何？[VAR 0114(005D)]
msg_amulet_004	只有１個[VAR 1100(00FF,0101)]你妳不放心嗎？需要的話，\n我以[VAR 0204(0001,0000)]讓給[VAR 1100(00FF,0101)]你妳，如何？[VAR 0114(005D)]
msg_amulet_005	[VAR 1100(00FF,0101)]你妳已經有２個了，還想要啊？\n我以[VAR 0204(0001,0000)]讓給[VAR 1100(00FF,0101)]你妳，如何？[VAR 0114(005D)]
msg_amulet_006	[VAR 1100(00FF,0101)]你妳已經有３個了，還不夠嗎？\n我以[VAR 0204(0001,0000)]讓給[VAR 1100(00FF,0101)]你妳，如何？[VAR 0114(005D)]
msg_amulet_007	[VAR 1100(00FF,0101)]你妳已經帶著４個，腰包都要塞滿了吧？\n要是[VAR 1100(00FF,0101)]你妳說啥都想要的話，\r\n我以[VAR 0204(0001,0000)]讓[VAR 1100(00FF,0101)]你妳，如何？[VAR 0114(005D)]
msg_amulet_008	[VAR 1100(00FF,0101)]你妳這麼貪心的話，\n護符之間是會彼此吵架的啊。\r\n等沒了再來找我就好了。[VAR 0114(005D)]
msg_amulet_009	這是帶有御護石靈力的神奇護符。[VAR 0114(005D)]
msg_amulet_010	哎呀，這樣啊。\n那就相信自己的力量吧。[VAR 0114(005D)]
msg_amulet_011	還有其他想求的嗎？[VAR 0114(005D)]
msg_amulet_012	有護符保佑，人就會變得大膽吧？\n我猜這就是引出好結果的原因吧。[VAR 0114(005D)]
msg_amulet_013	想要護符的話就再來找我吧。\n御護石會守護著大家的。[VAR 0114(005D)]
msg_amulet_014	哎呀哎呀，[VAR 1100(00FF,0101)]你妳的錢不夠呢。\n話說，這兒可沒有能變富翁的護符喔。[VAR 0114(005D)]
msg_amulet_015	說的也是。\n相信自己的力量吧。[VAR 0114(005D)]
msg_amulet_sel_010	我要買
msg_amulet_sel_011	不買了
msg_amulet_desc_001	想防止東西遺失，就用替身護符。\c\n這種神奇的護符不知為何，\n會在[VAR 1100(00FF,0101)]你妳昏倒時比其他道具更先消失。[VAR 0114(005D)]
msg_amulet_desc_002	要求強壯，就用安全護符。\c\n這種神奇的護符具有\n讓人不易昏倒的效果呢。[VAR 0114(005D)]
msg_amulet_desc_003	要求健康，就用健康護符。\c\n這種神奇的護符能讓人避免陷入\n寶可夢的招式所引起的異常狀態呢。[VAR 0114(005D)]
msg_amulet_desc_004	聽明白了嗎？\n來，[VAR 1100(00FF,0101)]你妳要向御護石求什麼呀？[VAR 0114(005D)]
arceus_challenge.dat
msg_arceus_027	歡迎來到「夢天連戰」的世界。
msg_arceus_000	[VAR 1100(00FF,0101)]你妳能常勝不敗到幾時呢？\n相信自己的實力與運氣，\r\n挑戰無窮盡的連續對戰吧。
msg_arceus_000_2	親自超越自己的紀錄吧。
msg_arceus_000_3	目前為止的最高紀錄是\n[VAR 0202(0000)]次勝利。
msg_arceus_000_4	要挑戰夢天連戰嗎？
msg_arceus_001_01	這是第[VAR 0202(0000)]戰。\n[VAR 1100(00FF,0101)]你妳想做什麼？
msg_arceus_list_100	選擇要挑戰的對手
msg_arceus_list_101	許願
msg_arceus_list_200	退出
msg_arceus_list_301	返回
msg_arceus_001	請選擇要挑戰的\n對手的特徵。
msg_arceus_002	要許什麼願望呢？\n（目前點數　[VAR 0203(0000,0000)]）
msg_arceus_003	[~ 12]
msg_arceus_004	我知道了。\n期待[VAR 1100(00FF,0101)]你妳今後的挑戰。\r\n再會了。
msg_arceus_005	真的要退出嗎？
msg_arceus_006	戰勝這個對手\n就能獲得[VAR 0202(0000)]點。\r\n確定要挑戰嗎？
msg_arceus_006_2	讓[VAR 1100(00FF,0101)]你妳抵達這裡的\n那份實力……\r\n就讓我見識一下吧。
msg_arceus_007	[~ 17]
msg_arceus_008	點數似乎不夠。
msg_arceus_009	要回復哪隻寶可夢？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_010	[~ 20]
msg_arceus_011	[~ 21]
msg_arceus_012	要回復ＰＰ嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_013	要變更挑戰的對手嗎？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
msg_arceus_014	[~ 24]
msg_arceus_015	要選擇哪隻寶可夢？\n（[VAR FF00(0008)]點數　[VAR 0202(0000)][VAR FF00(0000)]/[VAR FF00(0008)][VAR 0202(0001)][VAR FF00(0000)]）
