LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
LayoutMsg\Common_DialogS_00.msbt
Donation_00	Today's donations: {color[0000]}{[640e|000100cd]}{color[ffff]}. Cha-ching!
LayoutMsg\Common_Dialog_00.msbt
T_Text_ShopBackConfirm	Are you sure you want to leave without\nbuying the items in your cart?
T_Text_ShopBackConfirm_Cancel	Don't Leave
T_Text_ShopBackConfirm_OK	Leave
PersonalityEdit_ExitConfirm	Exit without changing this?
PersonalityEdit_ExitConfirm_Cancel	Don't Exit
PersonalityEdit_ExitConfirm_OK	Exit
PhraseEdit_ExitConfirm	Exit without changing this?
PhraseEdit_ExitConfirm_Cancel	Don't Exit
PhraseEdit_ExitConfirm_OK	Exit
PhraseEdit_ChangeKindConfirm	Sorry, that phrase is too long for a\n"{color[0000]}{[0208|00cd]}{color[ffff]}" phrase.\nWould you like to delete some\ncharacters so that it can fit?
PhraseEdit_ChangeKindConfirm_Cancel	Don't Shorten
PhraseEdit_ChangeKindConfirm_OK	Shorten
RelationNameEdit_ExitConfirm	Exit without changing this?
RelationNameEdit_ExitConfirm_Cancel	Don't Exit
RelationNameEdit_ExitConfirm_OK	Exit
ChangeClothes_ExitConfirm	Exit without changing this?
ChangeClothes_ExitConfirm_Cancel	Don't Exit
ChangeClothes_ExitConfirm_OK	Exit
ChangeInterior_ExitConfirm	Exit without changing this?
ChangeInterior_ExitConfirm_Cancel	Don't Exit
ChangeInterior_ExitConfirm_OK	Exit
ChangeExterior_ExitConfirm	Exit without changing this?
ChangeExterior_ExitConfirm_Cancel	Don't Exit
ChangeExterior_ExitConfirm_OK	Exit
PlayerName_ExitConfirm	Exit without changing this?
PlayerName_ExitConfirm_Cancel	Don't Exit
PlayerName_ExitConfirm_OK	Exit
MiiFirstPerson_ExitConfirm	I will return without changing my designation.\n\n Is that OK with you?
MiiFirstPerson_ExitConfirm_Cancel	No
MiiFirstPerson_ExitConfirm_OK	OK
IslandName_ExitConfirm	Exit without changing this?
IslandName_ExitConfirm_Cancel	Don't Exit
IslandName_ExitConfirm_OK	Exit
PlayerNickNameEdit_Tutorial	You can change the {color[0000]}name you've\nasked this Mii to call you{color[ffff]} at any\ntime by selecting {color[0000]}Lingo {color[ffff]}from the\nMii Menu.
FirstTreasureGoods_Tutorial	You got some {color[0000]}treasure{color[ffff]}!{[0004]}Wondering what to do with it?\n\nWell...{[0004]}Maybe there's a Mii on your island\nwho would be delighted to receive\nit as a gift!
MiiAdd_CannotAdd_MiiNumLimit	You can't add any more Miis right now.\n\nIf you'd like to add a new Mii, you must\nfirst remove one by selecting Residents\nfrom the Menu.
MiiAdd_HouseCreate	Let's build a house\nfor {[c800|0502000d]}!\n\nWhere should we put it?
MiiAdd_HouseCreateFirst	Let's build a house\nfor {[c800|0502000d]}!\n\nFrom now on, you'll be able to place\nhouses anywhere you like on the island.{[0004]}Please choose a location for\n{[c800|0502000d]}'s house.
MiiAdd_HouseCreateLocalNetwork	Let's build houses for any Miis you\nreceived through local play!\n\nSelect a Mii who needs a house.
MiiAdd_HouseCreateLocalNetworkContinue	Let's build houses for any remaining\nMiis you received through local play!\n\nSelect a Mii who needs a house.
MiiAdd_HouseCreateLocalNetworkCancel	Are you sure? If you don't build houses\nfor these Miis, they'll be deleted.\n\nDo you want to proceed?
MiiAdd_HouseCreateLocalNetworkCancel_Yes	Delete
MiiAdd_HouseCreateLocalNetworkCancel_No	Don't Delete
LiveTogether_NewHouse	Let's build a house for\n{[c800|0502000d]} and co.!\n\nPlease choose a location.
LiveTogether_LeaveHome_Alone	Let's build a new house\nfor {[c800|0502000d]}!\n\nPlease choose a location.
Propo_SelectDisableChildren	There aren't any open rooms in\n{[c800|0502000d]}'s house.
LiveTogether_NoSpaceCouple	{[c903]}{[c800|0502000d]} is married, but\nthere isn't enough room in the new\nhouse for {[c812|05020d0d]} to bring {[c812|05010d0d]} spouse.\nSelect fewer Miis and try again.
LiveTogether_NoSpaceCouple_OK	OK
Fountain_Common_InsufficientRight	Sorry, you don't have enough warm\nfuzzies to get any wishes granted\nnow... Collect more and come back!
Fountain_SomethingNew	New wishes are available!
