LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
LayoutMsg\Common_DialogS_00.msbt
Donation_00	{r2[ほんじつ]}本日{/r2}の{r2[ぼきん]}募金{/r2}は {color[0000]}{[640e|000100cd]} {color[ffff]}でした\n{r2[たいせつ]}大切{/r2}に{r2[つか]}使{/r2}ってください
LayoutMsg\Common_Dialog_00.msbt
T_Text_ShopBackConfirm	カートに{r2[しょうひん]}商品{/r2}が{r2[はい]}入{/r2}っています\n{r2[か]}買{/r2}わないでお{r2[みせ]}店{/r2}を{r2[で]}出{/r2}ますか？
T_Text_ShopBackConfirm_Cancel	もどる
T_Text_ShopBackConfirm_OK	お{r2[みせ]}店{/r2}を{r2[で]}出{/r2}る
PersonalityEdit_ExitConfirm	プチ{r2[こせい]}個性{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
PersonalityEdit_ExitConfirm_Cancel	ダメ！
PersonalityEdit_ExitConfirm_OK	OK
PhraseEdit_ExitConfirm	{r2[くち]}口{/r2}ぐせを{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
PhraseEdit_ExitConfirm_Cancel	ダメ！
PhraseEdit_ExitConfirm_OK	OK
PhraseEdit_ChangeKindConfirm	{color[0000]}{[0208|00cd]}{color[ffff]}に\n{r2[とうろく]}登録{/r2}できる{r2[もじ]}文字{/r2}の{r2[はば]}幅{/r2}を{r2[こ]}超{/r2}えています\n\nあふれた{r2[もじ]}文字{/r2}を{r2[さくじょ]}削除{/r2}してよろしいですか？
PhraseEdit_ChangeKindConfirm_Cancel	ダメ！
PhraseEdit_ChangeKindConfirm_OK	{r2[さくじょ]}削除{/r2}する
RelationNameEdit_ExitConfirm	{r2[よ]}呼{/r2}び{r2[かた]}方{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
RelationNameEdit_ExitConfirm_Cancel	ダメ！
RelationNameEdit_ExitConfirm_OK	OK
ChangeClothes_ExitConfirm	{r2[ふく]}服{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
ChangeClothes_ExitConfirm_Cancel	ダメ！
ChangeClothes_ExitConfirm_OK	OK
ChangeInterior_ExitConfirm	{r2[いえ]}家{/r2}の{r2[なか]}中{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
ChangeInterior_ExitConfirm_Cancel	ダメ！
ChangeInterior_ExitConfirm_OK	OK
ChangeExterior_ExitConfirm	{r2[いえ]}家{/r2}の{r2[がいかん]}外観{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
ChangeExterior_ExitConfirm_Cancel	ダメ！
ChangeExterior_ExitConfirm_OK	OK
PlayerName_ExitConfirm	{r2[よ]}呼{/r2}ばれ{r2[かた]}方{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
PlayerName_ExitConfirm_Cancel	ダメ！
PlayerName_ExitConfirm_OK	OK
MiiFirstPerson_ExitConfirm	{r2[じぶん]}自分{/r2}の{r2[よ]}呼{/r2}び{r2[かた]}方{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
MiiFirstPerson_ExitConfirm_Cancel	ダメ！
MiiFirstPerson_ExitConfirm_OK	OK
IslandName_ExitConfirm	{r2[しま]}島{/r2}の{r2[なまえ]}名前{/r2}を{r2[へんこう]}変更{/r2}しないでもどります\n\nよろしいですか？
IslandName_ExitConfirm_Cancel	ダメ！
IslandName_ExitConfirm_OK	OK
PlayerNickNameEdit_Tutorial	「{color[0000]}このMiiからの{r2[よ]}呼{/r2}ばれ{r2[かた]}方{/r2}{color[ffff]}」は\nMiiメニューの「{color[0000]}ことば{color[ffff]}」で\nいつでも{r2[へんしゅう]}編集{/r2}できます
