Glossary\BgmName.msbt
M64_01	"It's a Me, Mario!"
M64_02	Title Theme
M64_03	Peach's Message
M64_04	Opening
M64_05	Super Mario 64 Main Theme
M64_06	Slider
M64_07	Inside the Castle Walls
M64_08	Looping Steps
M64_09	Dire, Dire Docks
M64_10	Lethal Lava Land
M64_11	Snow Mountain
M64_12	Haunted House
M64_13	Merry-Go-Round
M64_14	Cave Dungeon
M64_15	Piranha Plant's Lullaby
M64_16	Powerful Mario
M64_17	Metallic Mario
M64_18	File Select
M64_19	Correct Solution
M64_20	Toad's Message
M64_21	Power Star
M64_22	Race Fanfare
M64_23	Star Catch Fanfare
M64_24	Game Start
M64_25	Course Clear
M64_26	Game Over
M64_27	Stage Boss
M64_28	Koopa's Message
M64_29	Koopa's Road
M64_30	Koopa's Theme
M64_31	Koopa Clear
M64_32	Ultimate Koopa
M64_33	Ultimate Koopa Clear
M64_34	Ending Demo
M64_35	Staff Roll
M64_36	Piranha Plant's Lullaby - Piano
MSS_01	Isle Delfino
MSS_02	Delfino Airstrip
MSS_03	Bianco Hills
MSS_04	Ricco Harbor
MSS_05	Gelato Beach
MSS_06	Pinna Beach
MSS_07	Pinna Park
MSS_08	Sirena Beach
MSS_09	Hotel Delfino
MSS_10	Casino
MSS_11	Noki Bay
MSS_12	Noki Depths
MSS_13	Pianta Village
MSS_14	Pianta Hot Spring
MSS_15	Pianta Rescue
MSS_16	Pianta Village - Fluff Festival
MSS_17	Underground
MSS_18	Secret Course
MSS_19	Secret Course - Sky and Sea
MSS_20	Corona Mountain
MSS_21	Mid-Boss
MSS_22	Proto Piranha
MSS_23	Phantamanta
MSS_24	Boss Battle
MSS_25	Gooper Blooper Intro
MSS_26	Wiggler Intro
MSS_27	Mecha-Bowser
MSS_28	Bowser
MSS_29	Shadow Mario
MSS_30	Racing Il Piantissimo
MSS_31	Event
MSS_32	Timed Event
MSS_33	Yoshi-Go-Round
MSS_34	Title Screen
MSS_35	Opening Demo
MSS_36	Select Data
MSS_37	Select Scenario
MSS_38	Course Intro
MSS_39	Course Intro - Shadow Mario
MSS_40	A Shine Sprite Appears
MSS_41	Shine!
MSS_42	Race Fanfare
MSS_43	Casino Fanfare
MSS_44	Too Bad!
MSS_45	Game Over
MSS_46	Welcome to Isle Delfino (Movie)
MSS_47	Icky Goop (Movie)
MSS_48	Mario on Trial (Movie)
MSS_49	How to Use FLUDD (Movie)
MSS_50	Shadow Mario Appears (Movie)
MSS_51	The Kidnapping of Princess Peach (Movie)
MSS_52	Mecha-Bowser Rises (Movie)
MSS_53	Meet Bowser Jr. (Movie)
MSS_54	FLUDD Theft (Movie)
