JPJP.msbt
[0552A456]_CombatVisor	コンバットバイザー
[0552A456]_ScanVisor	スキャンバイザー
[0552A456]_XRayVisor	Ｘレイバイザー
[0552A456]_ThermoVisor	サーモバイザー
[0552A456]_PowerBeam	パワービーム
[0552A456]_IceBeam	アイスビーム
[0552A456]_WaveBeam	ウェイブビーム
[0552A456]_PlasmaBeam	プラズマビーム
[0552A456]_PhazonBeam	フェイゾンビーム
[0552A456]_EnergyLow	エネルギー残量：少
[0552A456]_ThreatProximity	危険
[0552A456]_ThreatDamage	ダメージ
[0552A456]_MissileWarning	残量：少
[0552A456]_MissileDepleted	残量：なし　　　　　　　　　　　　　　
[0552A456]_DownloadingMessage	TEST：スキャニング・・・
[0552A456]_DownloadedMessage	スキャン完了
[0552A456]_ScanOutOfRangeMessage	スキャンレンジオーバー
[0552A456]_MessageContinue	{[0100|1ccd]} 次へ
[0552A456]_ThermalVisorOverload	サーモバイザーは\n{r2[ふか]}負荷{/r2}オーバーの{r2[じょうたい]}状態{/r2}です！\nコンバットバイザーに\n{r2[き]}切{/r2}り{r2[か]}替{/r2}えてください。
[0552A456]_FrozenPlayerFirstPerson	{r2[ぜん]}全{/r2}{r2[きのう]}機能{/r2}が{r2[とうけつ]}凍結{/r2}しました。\n{[0100|05cd]} {r2[れんだ]}連打{/r2}で\n{r2[こおり]}氷{/r2}を{r2[はかい]}破壊{/r2}してください。
[0552A456]_FrozenPlayerMorphBall	{r2[ぜん]}全{/r2}{r2[きのう]}機能{/r2}が{r2[とうけつ]}凍結{/r2}しました。\nボムを{r2[つか]}使{/r2}って\n{r2[こおり]}氷{/r2}を{r2[はかい]}破壊{/r2}してください。
[0552A456]_HyperMode	ハイパーモード
[0552A456]_Yes	は い
[0552A456]_No	いいえ
[0552A456]_QuitGame	ゲームを{r2[しゅうりょう]}終了{/r2}しますか？
[0552A456]_Continue	{size[5500]}セーブした{r2[ちてん]}地点{/r2}からゲームを{r2[つづ]}続{/r2}けますか？{size[6400]}
[0552A456]_SpacePirate	パイレーツデータ
[0552A456]_ChozoLore	チョウゾロア
[0552A456]_Creatures	クリーチャー
[0552A456]_Gameplay	リサーチ
[0552A456]_Artifacts	アーティファクト
[0552A456]_InstructionsLeft	{[0100|1dcd]}\nゲームに戻る
[0552A456]_InstructionsMid	{[0100|29cd]} 表示切替
[0552A456]_InstructionsRightWorld	ワールドマップ
[0552A456]_InstructionsRightUniverse	エリアマップ
[0552A456]_Boss0ParasiteQueen	パラサイトクイーン
[0552A456]_Boss1Flagra	フラーグラ
[0552A456]_Boss2Thardus	サーダス
[0552A456]_Boss3OmegaPirate	オメガパイレーツ
[0552A456]_Boss4Ridley	メタリドリー
