MiscData.pak\TEXT_RequiredEntries.msbt
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR1\GuiSysMP1.pak\TEXT_CrashedShipAreaNames.msbt
[B2B4EED7]_000	鸥尔菲恩坠落点
[45824A25]_000	研究区域连接通道A
[F0A0E31D]_000	研究区域连接通道B
[CCC00015]_000	研究区域连接通道C
[2CF7ADD2]_000	生化科技研究区域1
[2834A136]_000	研究数据保管区域
[CFBB9D7A]_000	动力炉入口
[4026B776]_000	保存站
[F0412CCA]_000	动力炉
[5232007D]_000	排气口C
[9B2D08C2]_000	排气口D
[6AF70D68]_000	排气口E
[ADE33280]_000	货物升降台
[0238C356]_000	鸥尔菲恩连接隧道
[622428A4]_000	电梯：往研究区域
[84ACB1F8]_000	通风管
Preload\MPR1\GuiSysMP1.pak\TEXT_CraterAreaNames.msbt
[B8D3C667]_000	撞击坑洞
[5856D93B]_000	费原子核心隧道A
[23485BD8]_000	费原子核心隧道B
[DF9C7D3C]_000	传送门
[201FF947]_000	费原子核心
[E531EDAF]_000	坑洞主厅
[58FB8161]_000	坑洞大厅1
[856D58E4]_000	坑洞大厅2
[F81E5EBC]_000	坑洞大厅3
[25888739]_000	坑洞大厅4
[BFE8F636]_000	坑洞悬崖
[9842EBF7]_000	陨石核心
[D5D8DD20]_000	导弹站
[3BBD6FB7]_000	Special Ending
Preload\MPR1\GuiSysMP1.pak\TEXT_IceWorldAreaNames.msbt
[F1ACE236]_000	冰冻山谷
[6F9B4863]_000	冰冻广场
[27157897]_000	冰冻庭园
[4ED3BCD8]_000	冰冻遗迹
[2146196C]_000	冰冻峡谷
[2BB2D46B]_000	冰冻瀑布
[501C1B73]_000	冰冻圣堂
[768CA684]_000	冰霜萨满室
[A31A61D3]_000	控制塔
[2DACDF33]_000	保安室
[71779F23]_000	九头蛇实验室
[3BC68CD9]_000	天文台
[1327ECF0]_000	以太实验室
[3C28345E]_000	主实验室
[2A7752FD]_000	双桥梁
[5CB624E9]_000	冰霜洞穴
[A9374BD0]_000	芬朵拉娜洞穴
[0E1EC680]_000	湖泊洞穴
[832CFFC2]_000	芬朵拉娜地下湖
[8DF1AB6C]_000	冰冻圆顶室
[3B5F7483]_000	Courtyard Access
[473E5158]_000	冰冻广场通道
[BFFC1AEE]_000	地下湖通道
[22F3FB98]_000	冰霜隧道
[5E92DE43]_000	瀑布通道
[C39D3F35]_000	湖泊洞穴通道
[95098BC3]_000	双桥梁通道A
[08066AB5]_000	冰霜洞穴通道
[321E3E44]_000	隐藏洞穴
[F942EDE1]_000	洞穴顶部
[E447DD59]_000	冰冻圆顶室管理室
[54D106A6]_000	西塔
[D2457408]_000	东塔
[6E69E7E2]_000	地图站
[E8FD954C]_000	保存站1
[74674F6E]_000	实验室门
[E968AE18]_000	冰冻遗迹门
[B607D038]_000	地下水脉
[2198C111]_000	西塔连接通道
[A70CB3BF]_000	以太实验室连接通道
[6C50601A]_000	洞穴走廊
[715550A2]_000	冰冻庭园通道
[BA098307]_000	萨满室门
[3C9DF1A9]_000	冰冻峡谷通道
[F7C1220C]_000	冰冻庭园洞窟
[069790D9]_000	九头蛇实验室连接通道
[8CA504D8]_000	双桥梁通道B
[6DCBC075]_000	主实验室连接通道
[F0C42103]_000	天文台连接通道
[23A146E9]_000	保存站4
[AB7D1A93]_000	保存站2
[B48A4CEA]_000	保存站3
[C0E2A999]_000	圣堂走廊
[218C6D34]_000	冰冻圆顶室门
[BC838C42]_000	西圆顶室走廊
[5DED48EF]_000	南圆顶室走廊
[EAD47FF5]_000	电梯：往火山洞穴南面
[F7D14F4D]_000	电梯：往火山洞穴西面
Preload\MPR1\GuiSysMP1.pak\TEXT_InGame.msbt
[0552A456]_CombatVisor	战斗面罩
[0552A456]_ScanVisor	扫描面罩
[0552A456]_XRayVisor	X光面罩
[0552A456]_ThermoVisor	热成像面罩
[0552A456]_PowerBeam	加强光束
