A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの大事な帽子を持って行っちまった
A0_1023_PIKACHU_100_2000	ふざけやがって……　取りもどしに行くぞ！
A0_1023_PIKACHU_100_3000	ん？　ありゃなんだ？
A0_1023_PIKACHU_100_4000	おい　ティム！　こっちに来てくれ！
A0_1030_PIKACHU_100_1000	ティム　こっちに来てくれ！
A0_1047_TIM_100_1000	この手帳\n後でハワード市長に届けなきゃ
A0_1047_PIKACHU_100_1000	ああ　だが　いまは　アーマーガアだ！
A0_1047_TIM_100_2000	そうだね　行こう　ピカチュウ！
A0_1055_NONAMEBUTLER_100_1000	うーむ　どうしたものか……
A0_1055_TIM_100_1000	なんだっ！？
A0_1055_PIKACHU_100_1000	こりゃ　たいへんだ……！
A0_1070_TIM_100_1000	マメパトが倒れてる！？
A0_1070_NONAMEBUTLER_100_1000	キミ　触らないでくれ\n体を動かすとキケンだからな
A0_1070_PIKACHU_100_1000	おい　そこの　デカイあんた！\nマメパトに　なにがあったんだ？
A0_1070_NONAMEBUTLER_100_2000	さて　困ったぞ……\nあれもダメだったし……
A0_1070_PIKACHU_100_2000	おーい！　聞いてるのか？
A0_1070_NONAMEBUTLER_100_3000	キミ！　ピカピカ言わせてないで\nピカチュウを連れて早く避難するんだ
A0_1125_NONAMEBUTLER_100_1000	アーマーガア追跡に　住民の避難誘導……\nだがマメパトを放っておくわけにはいかない
A0_1125_PIKACHU_100_1000	おい！　なにがあったって言うんだ！？
A0_1130_TIM_100_1000	ピカチュウ　落ちついて
A0_1130_TIM_100_2000	ほかの人には　ピカチュウの言葉は\nピカピカとしか　聞こえないんだから
A0_1130_TIM_100_3000	ピカチュウと会話できるのは　ぼくだけだよ
A0_1130_PIKACHU_100_1000	そうだった……\nマメパトを見て　つい　あせってな
A0_1130_PIKACHU_100_2000	ティム　たのむぜ\nそこのデカイ男に聞いてくれ
A0_1135_TIM_100_1000	あの……　なにがあったんですか？
A0_1135_NONAMEBUTLER_100_1000	ん？　ああ　キミは探偵の……
A0_1135_TIM_100_2000	ティムです　それと相棒のピカチュウ
A0_1135_BUTLER_100_2000	わたしは　ポケモン保護局のバトラーだ\nそして　警察の救護班から来たタブンネ
A0_1135_TABUNNE_100_1000	タブンネ……
A0_1135_BUTLER_100_3000	細かい話は後にしよう\nいまは　マメパト救助が優先だ
A0_1135_BUTLER_100_4000	アーマーガアが　起こした風に\nふきとばされて　気を失ったようだ
A0_1135_BUTLER_100_5000	タブンネのわざで　ケガは治ったんだが\n目を覚まさないんだ
A0_1135_TABUNNE_100_2000	タブンネ……
A0_1135_OHPOLICEWOMAN01_100_1000	バトラー局長！\n住民のみなさんは全員無事のようです！
A0_1135_BUTLER_100_6000	うむ！　ご苦労！
