A0.asset
A0_1023_PIKACHU_100_1000	钢铠鸦那家伙，\n把我的宝贝帽子给拿走了！
A0_1023_PIKACHU_100_2000	开什么玩笑……我们得把它拿回来！
A0_1023_PIKACHU_100_3000	嗯？那是什么？
A0_1023_PIKACHU_100_4000	喂，蒂姆！到这里来！
A0_1030_PIKACHU_100_1000	蒂姆，到这里来！
A0_1047_TIM_100_1000	之后我们得把这个笔记本\n交给霍华德市长才行。
A0_1047_PIKACHU_100_1000	是啊，不过当务之急是去追钢铠鸦！
A0_1047_TIM_100_2000	嗯，我们走吧，皮卡丘！
A0_1055_NONAMEBUTLER_100_1000	唔～该怎么办啊……
A0_1055_TIM_100_1000	怎么回事！？
A0_1055_PIKACHU_100_1000	这下可不得了了……！
A0_1070_TIM_100_1000	豆豆鸽昏倒了！？
A0_1070_NONAMEBUTLER_100_1000	你别碰它，\n要是移动了它的身体，会有危险。
A0_1070_PIKACHU_100_1000	喂，那边那个大块头！\n豆豆鸽怎么了？
A0_1070_NONAMEBUTLER_100_2000	这下难办了……\n那招也不管用……
A0_1070_PIKACHU_100_2000	喂～！你在听我说话吗？
A0_1070_NONAMEBUTLER_100_3000	我说你啊！别让皮卡丘叫个不停，\n快带着它去避难啊。
A0_1125_NONAMEBUTLER_100_1000	又要去追钢铠鸦，又要引导居民避难……\n但也不能放着豆豆鸽不管。
A0_1125_PIKACHU_100_1000	喂！到底出什么事了！？
A0_1130_TIM_100_1000	皮卡丘，你冷静点。
A0_1130_TIM_100_2000	别人只听得见“皮卡皮卡”，\n听不懂你说的话。
A0_1130_TIM_100_3000	只有我才能跟你对话哦。
A0_1130_PIKACHU_100_1000	差点忘了……\n一看到豆豆鸽这样，我就心急了。
A0_1130_PIKACHU_100_2000	蒂姆，拜托你了，\n问问那个大块头吧。
A0_1135_TIM_100_1000	请问……出了什么事？
A0_1135_NONAMEBUTLER_100_1000	嗯？啊，你就是那个侦探，叫……
A0_1135_TIM_100_2000	我叫蒂姆，这是我的搭档，皮卡丘。
A0_1135_BUTLER_100_2000	我是宝可梦保护局的巴特勒，\n这是警察救护队的差不多娃娃。
A0_1135_TABUNNE_100_1000	差不多……
A0_1135_BUTLER_100_3000	具体情况等之后再说吧，\n现在先得救豆豆鸽。
A0_1135_BUTLER_100_4000	它好像是被钢铠鸦刮起的风吹飞，\n失去了意识。
A0_1135_BUTLER_100_5000	差不多娃娃用招式治好了它的伤，\n但它还是没有醒过来。
A0_1135_TABUNNE_100_2000	差不多……
A0_1135_OHPOLICEWOMAN01_100_1000	巴特勒局长！\n全体居民看起来都没有受伤！
A0_1135_BUTLER_100_6000	嗯！辛苦了！
A0_1135_BUTLER_100_7000	我想疏散居民前去避难，\n可又不能放着晕倒的豆豆鸽不管……
A0_1135_BUTLER_100_8000	这位侦探，\n你们也快去避难吧。
A0_1135_TIM_100_3000	巴特勒先生！
A0_1135_TIM_100_4000	请让我们帮忙\n救助豆豆鸽吧。
A0_1135_TIM_100_5000	我们一定会想办法\n让豆豆鸽醒过来的！
A0_1135_PIKACHU_100_1000	你就放心交给我们名侦探吧。
A0_1135_BUTLER_100_9000	你们？
A0_1135_BUTLER_100_10000	现在情况紧急，\n确实可以找你们侦探来帮忙……
A0_1135_BUTLER_100_11000	好，麻烦你们想想办法，\n让豆豆鸽醒过来吧。
A0_1135_BUTLER_100_12000	拜托你了，侦探！
A0_1135_TIM_100_6000	好！
A0_1135_TIM_100_7000	走吧，皮卡丘！
A0_1135_PIKACHU_100_2000	噢！
A0_1135_MAMEPATO03_100_1000	豆豆～
A0_1135_PIKACHU_100_3000	嗯？
A0_1140_TIM_100_1000	对了，我们能不能\n跟其他豆豆鸽问问情况？
A0_1140_PIKACHU_100_1000	嗯，问问它们吧。
A0_1141_PIKACHU_100_1000	蒂姆，你要去哪里啊？\n我们去问问豆豆鸽它们吧。
A0_1142_PIKACHU_100_1000	蒂姆，你要去哪里啊？\n我们去问问豆豆鸽它们吧。
A0_1143_PIKACHU_100_1000	蒂姆，你要去哪里啊？\n我们去问问豆豆鸽它们吧。
A0_1144_PIKACHU_100_1000	蒂姆，你要去哪里啊？\n我们去问问豆豆鸽它们吧。
A0_1145_BUTLER_100_1000	麻烦你们找出\n能让豆豆鸽醒来的方法吧！
A0_1145_BUTLER_100_2000	拜托你了，侦探！
A0_1146_TABUNNE_100_1000	差不多。
A0_1146_PIKACHU_100_1000	嗯，交给我们吧。
A0_1147_MAMEPATO02_100_1000	……
A0_1147_TIM_100_1000	你等一下哦，豆豆鸽！
A0_1148_PIKACHU_100_1000	啊，蒂姆，你等一下。
A0_1148_PIKACHU_100_2000	在询问它们之前，\n我得告诉你一件事。
A0_1148_TIM_100_1000	啊？什么？
A0_1148_PIKACHU_100_3000	……蒂姆啊，事件的发生\n是不会按我们所想而来的。
A0_1148_PIKACHU_100_4000	这一点你明白的吧？
A0_1148_TIM_100_2000	嗯。
A0_1148_PIKACHU_100_5000	不知为何，距离上次实际调查事件\n已经过了很长一段时间了……
A0_1148_TIM_100_3000	嗯……对……你说得没错。
A0_1148_PIKACHU_100_6000	回想一下我们的调查风格吧。
A0_1148_PIKACHU_100_7000	也就是“不忘初心”！
A0_1148_TIM_100_4000	原、原来如此……
