Battle\COMMON.msbt
NOT_MOVE	様子を見ている…
PANIC	パニックで動けなかった
CHARM	見惚れて動けなかった
CHARM_S	ツバサに見惚れている
CHARM_M	キリアにメロメロだ
SLEEP	眠っている
REINFORCEMENT	増援が現れた！
REINFORCEMENT_DIV	２体に分身した！
REINFORCEMENT_DIV2	３体に分身した！
REINFORCEMENT_DIV3	４体に分身した！
REINFORCEMENT_DIV4	分身を解除した
POISON_RECOVERY	毒状態から回復した
PANIC_RECOVERY	混乱状態から回復した
CHARM_RECOVERY	魅了状態から回復した
SLEEP_RECOVERY	睡眠状態から回復した
CLOSE_RECOVERY	封印状態から回復した
STUN_RECOVERY	気絶状態から回復した
ZOMBIE_RECOVERY	ゾンビ状態から回復した
MIND_RECOVERY	マインドサージ状態から回復した
S_CHARM_RECOVERY	魅了状態から回復した
FRAME_RECOVERY	炎上状態から回復した
CLOSE_MOVE	封印されている
MP_LACK	ＥＰが足りない
DOGA_NOT_MOVE	新たな目標を探している
MES_US_UNIT_01	敵には全体攻撃、味方はＨＰ全快！
MES_US_UNIT_02	ダメージと魅了と大回復で仕上げ！
MES_US_UNIT_03	強力な打撃とＨＰと状態異常回復！
MES_US_UNIT_04	攻撃しつつ、戦闘不能を回復する！
MES_US_UNIT_05	全体と単体それぞれに大打撃だ。
MES_US_UNIT_06	敵単体に特大ダメージだぜ！
MES_US_UNIT_07	敵単体にダメージ！　毒も付着よ！
MES_US_UNIT_08	敵全体にダメージ、ＳＰ獲得！
MES_ES_1002_2	のど…かわかない？
MES_ES_1003_3	燃えるぜぇぇ！
MES_ES_1006_1	ちょっと話があるんだけど…
MES_ES_1008_1	食の奥義…みせてやろうか？
BTL_ATTR_WEAK	弱
BTL_ATTR_NOR	－
BTL_ATTR_RES	耐
BTL_ATTR_BLOCK	無
BTL_ATTR_REF	反
BTL_ATTR_DRAIN	吸
BTL_ATTR_UNKNOWN	？
BTL_INFO_ESCAPE	逃走
BTL_INFO_CHANGE	交代
BTL_CMD_ATTACK	装備している武器で攻撃する（セッションは発生しない）
BTL_CMD_SKILL	習得しているミラージュの能力を使用する
BTL_CMD_ITEM	所持アイテムを使用する
BTL_CMD_GUARD	防御体勢を取り受けるダメージを軽減する。ＥＰがわずかに回復する
BTL_CMD_TACTICS	仲間に戦いの方針を指示する
BTL_CMD_ESCAPE	戦闘から逃げ出す
BTL_CMD_CHANGE	他のキャストと交代する
BTL_TAC_MES_1	個別指示
BTL_TAC_MES_2	スキル節約
BTL_TAC_MES_3	回復重視
BTL_TAC_MES_4	防御重視
BTL_TAC_MES_5	攻撃重視
BTL_TAC_MES_6	－－－－
BTL_MAIN_TEXT_1	指示を選んでください
BTL_MAIN_TEXT_2	交代するキャストを選んでください
BTL_INFO_PARTY_ALL	味方全体
BTL_INFO_ENEMY_ALL	敵全体
BTL_INFO_BUFATK	の攻撃力が上がった
BTL_INFO_DEBUF_ATK	の攻撃力が下がった
BTL_INFO_BUF_DEF	の防御力が上がった
BTL_INFO_DEBUF_DEF	の防御力が下がった
BTL_INFO_BUF_SPD	の命中・回避が上がった
BTL_INFO_DEBUF_SPD	の命中・回避が下がった
BTL_INFO_T_BARRIER	に物理無効のバリアを張った
BTL_INFO_M_BARRIER	に魔法無効のバリアを張った
BTL_INFO_T_KARN	に物理反射のバリアを張った
BTL_INFO_M_KARN	に魔法反射のバリアを張った
BTL_INFO_B_BARRIER	にバステ無効のバリアを張った
BTL_INFO_PROTECT	はかばう体勢になった
BTL_INFO_COUNTER	はカウンター体勢になった
BTL_INFO_PROVOKE	は敵の注目を集めた
BTL_INFO_SNEAK	は敵の視界から隠れた
BTL_INFO_CHARGE	の次の物理攻撃が強化
BTL_INFO_CONCENT	の次の魔法攻撃が強化
BTL_INFO_GET_ITEM	を\x0e\x02\0\x02\0\0個獲得
BTL_INFO_GET_MONEY	円入手
BTL_INFO_OUT_STAGE	は少しの間ステージ外に弾き出された
BTL_INFO_IN_STAGE	がフォローに入った
BTL_INFO_CLENCH	は食いしばった
BTL_INFO_SERIAL	の連続行動
BTL_INFO_ITEM_CUT	アイテム消費カット発動
BTL_INFO_COST_CUT	コスト消費カット発動
BTL_INFO_ESCAPE_MSG	逃げ出した
BTL_INFO_ATTR_CHANGE	の耐性が変化した
BTL_INFO_HP_AVERAGE	のＨＰが平均化された
BTL_INFO_TENKU	天空
BTL_INFO_GEKKOU	月光
BTL_INFO_TAIYO	太陽
BTL_INFO_ARROW_ICE	矢が氷を纏い始めた
BTL_INFO_ARROW_FIRE	矢が炎を纏い始めた
BTL_INFO_ARROW_IRON	矢が鉄の輝きを帯び始めた
BTL_INFO_WARCRY	は連続行動が可能になった
BTL_INFO_TACTICS	戦術を変更しますか？
BTL_INFO_PANIC	は混乱している…
BTL_INFO_CHARM	は魅了されている…
BTL_INFO_ZOMBIE	は血に飢えている…
BTL_INFO_AI_GOODS	はアイテムを取り出した！
BTL_INFO_REVIVAL	が復活した！
BTL_INFO_ADLIB	アドリブパフォーマンス発動！
BTL_INFO_AND	×
BTL_INFO_TRANS	の攻撃力が大幅に上がった
BTL_INFO_SUMMON_GHARNEF	精霊たちを喚び出した！
Battle\EVT_BTL_B2_2.msbt
GAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2303\0ああ、くだらねえ…\nどいつもこいつもくだらねえ…。
GAN_02	オラ、出てこい！
GAN_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0027_em2303\0お前ら！\nとっととオレの盾になれ！
GAN_04	ぎゃあああ…
Battle\EVT_SKILL_0.msbt
ARROW_ICE	弓兵の矢に氷が纏い始めた！
ARROW_FIRE	弓兵の矢に炎が纏い始めた！
ARROW_IRON	弓兵の矢に鉄の輝きが帯び始めた！
DOGA_TUBASA	織部つばさは\nステージ外に弾き飛ばされた！
DOGA_TOUMA	赤城斗馬は\nステージ外に弾き飛ばされた！
DOGA_KIRIA	黒乃霧亜は\nステージ外に弾き飛ばされた！
DOGA_ELLEE	弓弦エレオノーラは\nステージ外に弾き飛ばされた！
DOGA_MAMORI	源まもりは\nステージ外に弾き飛ばされた！
MSG_SKILL_243	呪縛のドラゴンナイトの\n能力が増大した！
Battle\EV_BOSS_00.msbt
ACT_START_00	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2301\0ここで皆さんお待ちかね！\nクイズ・ミラージュどこでSHOW！！
ACT_START_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0マヌケな回答者はまとめて罰ゲームだ！\nがはは、ここにはカンペもフリップもないぞぉ！
ACT_START_02	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0バカなりによぉぉぉく考えろよぉぉ！
ACT_END_00	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0隠れてるオレサマを見つけてみろぉ！\nはずれを引いたら痛い目みるぞぉ！
ACT_FAILED_00	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0そいつか？\nそいつだと思ったのか？\nバカだなーお前ら！
ACT_FAILED_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0大・は・ず・れ・だよぉぉぉぎゃあははは！\n罰ゲームどーん！
ACT_SUCCESS_00	\x0e\x04\0\x16\x13\0BTL_ACT_0013_em2301\0うぎゃああああ！
ACT_SUCCESS_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0040_em2301\0なぜオレサマがわかったあああああ！？
BTL_START_00	トウマセリフ
BT00_PC_YUJIN_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0001_pc1003\0へっ、決まったぁ！　…って、あれ？\nイツキたちもマスターになってるのかよ！
BT00_MIRAGE_SCK_01_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0002_mr1053\0どうやら、そのようだな。
BT00_NPC_SHIKAI_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0003_np1101\0あはははははははは！！
BT00_PC_YUJIN_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0004_pc1003\0…あ？
BT00_NPC_SHIKAI_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0005_np1101\0ミラージュが増えたあ！\n全員、俺と共に来てもらうぞ！
BT00_PC_YUJIN_02	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0006_pc1003\0……はっ、そう簡単に行くかよ！\n逆にあんたから、\nそのミラージュ追い出してやるぜ！
Battle\EV_BTL_B1_3.msbt
INV_01	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_b\0あぁ…妬ましい…\n妬ましい…妬ましいぃ…\n妬ましい妬ましい妬ましい妬ましいぃぃ！
INV_02	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_a\0あいつが妬ましいぃぃぃぃ！\nあいつを殺せぇぇぇぇぇぇ！
INV_03	ぎゃあああ…
INV_04	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0001_mr2302\0ウ…ゥゥ…\n私を倒したところで…何も変わらないわ…。
INV_05	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0002_mr2302\0我々の同胞は…いくらでも…\nこちらの…世界にやってくる…。
INV_06	\x0e\x04\0\x1d\x1a\0EVT_m1034_01_0003_mr2302_a\0戦いはまだ始まったばかり…\n最後に勝つのは…私たち――――！
Battle\EV_BTL_B3_1.msbt
ITSUKI_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0001_pc1001\0剣も…ミラージュマスターだったのか！？
RIVAL_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0002_pc1008\0…通してもらうぞ。
ITSUKI_02	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0003_pc1001\0そうは…させない！
RIVAL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0002_em1008\0多少はできるようだな…。\nだが、俺の相手ではないな。
RIVAL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0008_em1008\0まだ力の差が分からないのか？
RIVAL_04	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em1008\0大人しくチキを出せ。
Battle\EV_BTL_B3_3.msbt
DOGA_01	ウウゥ…ウオッォォオオ…
Battle\EV_BTL_B4_2.msbt
GERIBA_01	犯人モンスターは怒りを溜めた！
GERIBA_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2037\0来ルナッテ言ッテンダロォ！
Battle\EV_BTL_B4_3.msbt
RIVAL_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0003_em1008\0成り行きだが、手加減するつもりはない。
DIRM_01	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2306\0ドラマチックに！\n退場させてあげるわよ！
DIRM_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0リテイクよ！\n真打ちはそう簡単に退場しないのよ！
DIRM_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0もっとよ！\nもっとドラマがないと！
RIVAL_04	\x0e\x04\0\x17\x14\0BTL_OPEN_0004_em1008\0ここまでか、退場させてもらう。
Battle\EV_BTL_B5_3.msbt
DYASI_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2309\0ボクこそが真の剣弥代…！
DYASI_02	ぐう…僕…こそが…
DYASI_03	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2309\0本物の力を見せてやろう！
DYASI_04	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0001_mr2009\0ぼ、ボクの歌が…消えた…！？
DYASI_05	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0006_mr2009\0ぐぐぐぐ…なぜだ！\nボクとお前で何が違う！？
Battle\EV_BTL_B5_4.msbt
DRAK_01	ウォオオオオ…
DRAK_02	クラエ…
DRAK_03	グオオオオ…
Battle\EV_BTL_B6_1.msbt
TOMS_01	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2338\0本気で行くぞ！
MISHERAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2346\0貴様らの味を見てやろう！
RINDA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2339\0さあ、勝負よ！
RINDA_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2339\0がっかりさせないで…。
GODON_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2340\0力を見せてくれないかな。
Battle\EV_BTL_B6_2.msbt
OGMA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2341\0おれは戦うことしかできん男だ。
PAORA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2342\0あなたたちの力を見せて！
JAYGAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2343\0わしに力を見せてみよ！
Battle\EV_BTL_B6_3.msbt
GANEF_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0014_em2311\0くくく…はははは……。
GANEF_02	切り刻め！
GANEF_03	打ち砕け！
Battle\EV_BTL_Q61_5.msbt
MSG_Q61_5_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0まだ分からんか？\n貴様ごときではこの肉体に\n傷一つ付けられんわ！
MSG_Q61_5_02	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0貴様なんぞ我が弟子で十分。\nおい！　相手をしてやれ！
MSG_Q61_5_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0まだ分からんか？\n貴様ごときではこの肉体に…………？
MSG_Q61_5_04	\x0e\x04\0\x18\x15\0BTL_REACT_0005_em2017\0き、傷が！　この無敵ボディに傷が！\nさては貴様、インチキしおったな！
MSG_Q61_5_05	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0こうなったら…\nこちらも総力を挙げて叩き潰してやろう！\n野郎共！　かかれい！
Battle\EV_BTL_QB10_1.msbt
CERV_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2337\0わしの毛が勝利に沸き立つ！
CERV_02	\x0e\x04\0\x1a\x17\0BTL_SESSION_0012_em2337\0がっはっは！　すばらしいぞ！\nこれだけのパフォーマがあれば\nこんなこともできる！
Battle\EV_BTL_QB2_1.msbt
FEL_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0001_em2412\0そんな…！　この私が…！\n伝説のアイドルたるこの私が！\nこんな小娘に敗れるなんて！
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0002_pc1002\0伝説のアイドルは前川あずささんです。\nあなたなんかじゃありませんっ！
FEL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2412\0前川あずさ…\n嘆きと怨嗟を込めて…歌います。
FEL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2412\0小娘ぇ…！
Battle\EV_BTL_QB3_1.msbt
ABEL_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2401\0我が怨嗟の槍…\nその身に受けるが良い！
Battle\EV_BTL_QB4_1.msbt
SAR_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0004_mr1054\0こいつらは悩殺させないと倒すのは難しいわよ…\nツバサ、お手本を見せてあげて。
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0は、はい！　見ててくださいね、キリアさん！
TSUB_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_08_0003_pc1002\0やったっ！　こんな感じです、キリアさん！
SAR_02	\x0e\x04\0\x18\x15\0EVT_REPLY_0014_mr1054\0流石ね…でももう片方は物足りないみたい…\nここはキリア、あなたの出番よ。
KIRIA_01	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_13_0002_pc1009\0…………。
TSUB_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0099_pc1002\0え、えーと。\nキリアさん？
