Battle\COMMON.msbt
NOT_MOVE	正在观察情况……
PANIC	陷入恐慌而无法行动。
CHARM	看得入迷而无法行动。
CHARM_S	看小翼看得入迷了。
CHARM_M	被雾亚迷得神魂颠倒了。
SLEEP	睡着了……
REINFORCEMENT	援兵现身！
REINFORCEMENT_DIV	分身成２个了！
REINFORCEMENT_DIV2	分身成３个了！
REINFORCEMENT_DIV3	分身成４个了！
REINFORCEMENT_DIV4	解除了分身状态。
POISON_RECOVERY	自中毒状态回复了。
PANIC_RECOVERY	自混乱状态回复了。
CHARM_RECOVERY	自魅惑状态回复了。
SLEEP_RECOVERY	自睡眠状态回复了。
CLOSE_RECOVERY	自封印状态回复了。
STUN_RECOVERY	自昏厥状态回复了。
ZOMBIE_RECOVERY	自僵尸状态回复了。
MIND_RECOVERY	自心智波动状态回复了。
S_CHARM_RECOVERY	自魅惑状态回复了。
FRAME_RECOVERY	自燃烧状态回复了。
CLOSE_MOVE	被封印了。
MP_LACK	ＥＰ不足……
DOGA_NOT_MOVE	正在寻找新的目标……
MES_US_UNIT_01	对敌方全体攻击，我方全体ＨＰ全满！
MES_US_UNIT_02	给予伤害，附加魅惑状态并大幅回复！
MES_US_UNIT_03	给予强力的打击并回复ＨＰ与异常状态！
MES_US_UNIT_04	进行攻击并同时回复无法战斗的状态！
MES_US_UNIT_05	分别给予敌方单体与全体大幅打击。
MES_US_UNIT_06	给予敌方单体特大幅伤害！
MES_US_UNIT_07	给予敌方单体伤害！还附加中毒状态哟！
MES_US_UNIT_08	给予敌方全体伤害，获得ＳＰ！
MES_ES_1002_2	不觉得……口很渴吗？
MES_ES_1003_3	热血沸腾啊啊啊！
MES_ES_1006_1	我有点话想跟你说……
MES_ES_1008_1	让你见识下……食之奥义吧？
BTL_ATTR_WEAK	弱
BTL_ATTR_NOR	-
BTL_ATTR_RES	抗
BTL_ATTR_BLOCK	无
BTL_ATTR_REF	反
BTL_ATTR_DRAIN	吸
BTL_ATTR_UNKNOWN	？
BTL_INFO_ESCAPE	逃走
BTL_INFO_CHANGE	替换
BTL_CMD_ATTACK	以装备的武器进行攻击。（不会发动协奏。）
BTL_CMD_SKILL	使用已学会的幻影技能。
BTL_CMD_ITEM	使用持有道具。
BTL_CMD_GUARD	采取防御姿势，减少受到的伤害。回复微量ＥＰ。
BTL_CMD_TACTICS	向同伴指示作战方针。
BTL_CMD_ESCAPE	从战斗中逃走。
BTL_CMD_CHANGE	替换成其他成员。
BTL_TAC_MES_1	个别指示
BTL_TAC_MES_2	减少使用技能
BTL_TAC_MES_3	重视回复
BTL_TAC_MES_4	重视防御
BTL_TAC_MES_5	重视攻击
BTL_TAC_MES_6	————
BTL_MAIN_TEXT_1	请选择指示。
BTL_MAIN_TEXT_2	请选择要替换的成员。
BTL_INFO_PARTY_ALL	我方全体
BTL_INFO_ENEMY_ALL	敌方全体
BTL_INFO_BUFATK	的攻击力上升了。
BTL_INFO_DEBUF_ATK	的攻击力下降了。
BTL_INFO_BUF_DEF	的防御力上升了。
BTL_INFO_DEBUF_DEF	的防御力下降了。
BTL_INFO_BUF_SPD	的命中率、回避率上升了。
BTL_INFO_DEBUF_SPD	的命中率、回避率下降了。
BTL_INFO_T_BARRIER	展开了物理无效的防护罩。
BTL_INFO_M_BARRIER	展开了魔法无效的防护罩。
BTL_INFO_T_KARN	展开了物理反弹的防护罩。
BTL_INFO_M_KARN	展开了魔法反弹的防护罩。
BTL_INFO_B_BARRIER	展开了异常状态无效的防护罩。
BTL_INFO_PROTECT	摆出了掩护的姿势。
BTL_INFO_COUNTER	摆出了反击的姿势。
BTL_INFO_PROVOKE	聚集了敌方的视线。
BTL_INFO_SNEAK	从敌方的视线中隐身了。
BTL_INFO_CHARGE	下次的物理攻击将被强化。
BTL_INFO_CONCENT	下次的魔法攻击将被强化。
BTL_INFO_GET_ITEM	\xd7\x0e\x02\0\x02\0\0　ＧＥＴ！
BTL_INFO_GET_MONEY	日元　ＧＥＴ！
BTL_INFO_OUT_STAGE	暂时被逐出了舞台。
BTL_INFO_IN_STAGE	来支援了。
BTL_INFO_CLENCH	撑下来了。
BTL_INFO_SERIAL	的连续行动。
BTL_INFO_ITEM_CUT	触发节省消耗道具。
BTL_INFO_COST_CUT	触发节省消耗ＥＰ。
BTL_INFO_ESCAPE_MSG	逃走了。
BTL_INFO_ATTR_CHANGE	的抗性改变了。
BTL_INFO_HP_AVERAGE	的ＨＰ被均分了。
BTL_INFO_TENKU	天空
BTL_INFO_GEKKOU	月光
BTL_INFO_TAIYO	太阳
BTL_INFO_ARROW_ICE	箭矢缠绕上了冰。
BTL_INFO_ARROW_FIRE	箭矢缠绕上了火焰。
BTL_INFO_ARROW_IRON	箭矢开始带有铁的光泽。
BTL_INFO_WARCRY	可进行连续行动。
BTL_INFO_TACTICS	要更改战术吗？
BTL_INFO_PANIC	陷入了混乱……
BTL_INFO_CHARM	被魅惑了……
BTL_INFO_ZOMBIE	正渴求着鲜血……
BTL_INFO_AI_GOODS	拿出了道具！
BTL_INFO_REVIVAL	复活了！
BTL_INFO_ADLIB	发动即兴演出！
BTL_INFO_AND	\xd7
BTL_INFO_TRANS	的攻击力大幅上升了。
BTL_INFO_SUMMON_GHARNEF	召唤了精灵们！
