MESS_ARCHIVE_Fld_拠点_ソフィア城_バルコニー


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa從這裡可以眺望索菲亞的大地。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我並不討厭高的地方。$k
MID_ADV調べる_woodboxA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa連這裡都堆滿了補給物資。$k
MID_ADV調べる_woodboxB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa連這裡都堆滿了補給物資。$k
MID_ADV調べる_woodboxC_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa連這裡都堆滿了補給物資。$k
MID_ADV調べる_sun_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa夕陽好耀眼……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa可以將遼闊的索菲亞大地一覽無遺呢。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這裡是我從小就最喜歡的地方。$k
MID_ADV調べる_woodboxA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎麼這麼亂呀。\n沒有人來收拾嗎？$k
MID_ADV調べる_woodboxB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎麼這麼亂呀。\n沒有人來收拾嗎？$k
MID_ADV調べる_woodboxC_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎麼這麼亂呀。\n沒有人來收拾嗎？$k
MID_ADV調べる_sun_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa美麗的夕陽照耀著露台。$k
MID_ADV_調べるエリア_woodboxA: 貨物
MID_ADV_調べるエリア_woodboxB: 貨物
MID_ADV_調べるエリア_woodboxC: 貨物
MID_ADV_調べるエリア_sun: 夕陽
