MESS_ARCHIVE_Fld_拠点_ソフィア城_宝物庫


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這裡是寶物庫嗎？$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa被翻得亂七八糟……\n是多哲他們做的好事嗎？$k
MID_ADV調べる_treasure_boxA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa寶箱裡空空如也。$k
MID_ADV調べる_treasure_boxB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa裡面的東西已經被拿走了。$k
MID_ADV調べる_baggageA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa沒有什麼派得上用場的東西。$k
MID_ADV調べる_baggageB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa貨物雜亂地堆在一起。$k
MID_ADV調べる_sun_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa夕陽好耀眼……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這裡是寶物庫呢。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|還記得我小時候，\n經常躲在這裡玩耍。$k
MID_ADV調べる_treasure_boxA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa寶箱裡空無一物呢。$k
MID_ADV調べる_treasure_boxB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa我記得裡面應該裝有\n索菲亞王族代代相傳的寶劍才對……$k
MID_ADV調べる_baggageA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa東西都雜亂無章。\n以前收拾得整齊多了……$k
MID_ADV調べる_baggageB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa沒有派得上用場的東西呢。$k
MID_ADV調べる_sun_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E笑,|夕陽好美……$k
MID_ADV_調べるエリア_treasure_boxA: 寶箱
MID_ADV_調べるエリア_treasure_boxB: 寶箱
MID_ADV_調べるエリア_baggageA: 貨物
MID_ADV_調べるエリア_baggageB: 貨物
MID_ADV_調べるエリア_sun: 夕陽
