MESS_ARCHIVE_Fld_拠点_ヌイババの館_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa館裡面靜得令人毛骨悚然。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa明明有點燈卻很昏暗。\n看來是棟相當老舊的建築物……$k
MID_ADV調べる_bookshelfA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有許多關於魔道的書籍。$k
MID_ADV調べる_bookshelfB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有許多關於魔道的書籍。$k
MID_ADV調べる_mirror_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa牆上裝了一面大鏡子。$k
MID_ADV調べる_potA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這是……鍋子嗎？\n不知道是用來做什麼的。$k
MID_ADV調べる_potB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這是……鍋子嗎？\n不知道是用來做什麼的。$k
MID_ADV調べる_chandelier_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是巨大的吊燈。\n感覺好像快掉下來了……$k
MID_ADV調べる_water_jug_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa水瓶裡面裝著各種顏色的液體。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是古老的宅邸呢。\n裡面全是有歷史的擺飾。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa既黑暗又寂靜。\n一個人都沒有嗎……$k
MID_ADV調べる_bookshelfA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa書架上擺著關於魔道的書籍。\n會是屋主的嗎？$k
MID_ADV調べる_bookshelfB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa書架上擺著關於魔道的書籍。\n會是屋主的嗎？$k
MID_ADV調べる_mirror_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa感覺可以映照出全身的大鏡子。$k
MID_ADV調べる_potA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好大的鍋子啊。\n是用來煮藥草的嗎？$k
MID_ADV調べる_potB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好大的鍋子啊。\n是用來煮藥草的嗎？$k
MID_ADV調べる_chandelier_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好老舊的吊燈。\n感覺會掉下來，有點恐怖。$k
MID_ADV調べる_water_jug_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa裡頭裝著各種顏色的液體。\n會是藥品嗎？$k
MID_ADV_調べるエリア_bookshelfA: 書架
MID_ADV_調べるエリア_bookshelfB: 書架
MID_ADV_調べるエリア_mirror: 鏡子
MID_ADV_調べるエリア_potA: 大鍋子
MID_ADV_調べるエリア_potB: 大鍋子
MID_ADV_調べるエリア_chandelier: 吊燈
MID_ADV_調べるエリア_water_jug: 水瓶
