MESS_ARCHIVE_Blacksmith


Message Name: Message


MID_入店: 歡迎光臨！
MID_退店: 多謝惠顧。
MID_SMITH_総合説明: 在「鍊成」裡支付銀幣或金幣，\n就可以強化武器。\n強化的上限會\n依照武器而有所不同。
MID_SMITH_練成: 鍊成
MID_H_SMITH_練成: 強化武器
MID_SMITH_錬成不可: 無法鍊成
MID_SMITH_名前刻印: 刻名
MID_H_SMITH_名前刻印: 替鍊成的武器命名
MID_SMITH_名前消去: 除名
MID_H_SMITH_名前消去: 消除武器的命名
MID_SMITH_還元: 換錢
MID_H_SMITH_還元: 用武器等道具換錢，換成銀幣或金幣
MID_SMITH_両替: 兌換
MID_H_SMITH_両替: 互相兌換銀幣和金幣
MID_SMITH_両替_枚数: 請決定枚數
MID_SMITH_両替_確認: $a要把$a0\n兌換成$a1嗎？
MID_SMITH_両替_結果: $a把$a0\n兌換成$a1了
MID_SMITH_練成_確認: $a要把$a0\n鍊成$a1嗎？
MID_SMITH_練成_結果: $a把$a0\n鍊成$a1了
MID_SMITH_進化_確認: $a要進化$a0嗎？
MID_SMITH_進化_結果: $a$a0進化成\n$a1了！
MID_SMITH_名前刻印_確認: 要刻印名字嗎？
MID_SMITH_名前刻印_不可: 不能再刻印名字了
MID_SMITH_名前刻印_結果: $a刻印為$a0了
MID_SMITH_名前刻印_キャンセル: 已取消刻印
MID_SMITH_名前消去_確認: $a要消除$a0的名字嗎？
MID_SMITH_名前消去_結果: 已消除
MID_SMITH_還元_確認: $a要用$a0換錢嗎？
MID_SMITH_還元_結果_1: $a交出$a0後，\n獲得了\n$a1\n
MID_SMITH_還元_結果_2: $a交出$a0後，\n獲得了\n$a1<linefeed>和\n$a2\n
MID_SMITH_所持: 持有
MID_SMITH_不明: ？？？？？？？
MID_SMITH_不明_単文字: ？
