MESS_ARCHIVE_Rewind


Message Name: Message


MID_REWIND_フェイズ_プレイヤー: Player Phase 開始
MID_REWIND_フェイズ_エネミー: Enemy Phase 開始
MID_REWIND_フェイズ_その他: Ally Phase 開始
MID_REWIND_レベルアップ: $a$a0的等級提升了！
MID_REWIND_アイテム交換: $a$a0與$a1交換了道具
MID_REWIND_アイテム入手: $a$a0獲得了$a1
MID_REWIND_アイテム使用: $a$a0使用了$a1
MID_REWIND_召喚: $a$a0召喚了$a1
MID_REWIND_撃破: $a擊敗了$a0
MID_REWIND_死亡: $a$a0被打倒了
MID_REWIND_退却: $a$a0撤退了
MID_REWIND_地形_扉: 門開了
MID_REWIND_攻撃: $a$a0攻擊了$a1
MID_REWIND_体当たり: $a$a0衝撞了$a1
MID_REWIND_入れ替え: $a$a0與$a1替換了位置
MID_REWIND_発動: $a$a0發動了$a1
MID_REWIND_増援: $a$a0出現了
MID_REWIND_分裂: $a$a0分裂了
MID_REWIND_アイテム落下: $a$a0遺落了$a1
