MESS_ARCHIVE_Result


Message Name: Message


MID_リザルト_戦果: 戰果
MID_リザルト_参加経験値: 參加經驗值
MID_リザルト_疲労報告: $a$a0陷入了疲勞狀態
MID_リザルト_アルム_完勝: 好，順利得勝了呢。
MID_リザルト_アルム_辛勝: 呼，總算獲勝了。
MID_リザルト_アルム_死亡: 雖然早有了覺悟……
MID_リザルト_アルム_死亡_1: 怎麼會……騙人，賽莉卡……！！
MID_リザルト_ルカ_完勝: 贏得真爽快。
MID_リザルト_ルカ_辛勝: 只要能贏就好。
MID_リザルト_ルカ_死亡: 這場勝仗付出的代價真大……
MID_リザルト_ルカ_死亡_1: 克雷貝……我有辦法填補你所空出來的位子嗎……
MID_リザルト_グレイ_完勝: 嘿嘿，贏得真輕鬆！
MID_リザルト_グレイ_辛勝: 希望下次能贏得輕鬆點……
MID_リザルト_グレイ_死亡: 就算贏了也不怎麼開心……
MID_リザルト_グレイ_死亡_1: 羅賓，你到底在做什麼……笨蛋……！
MID_リザルト_ロビン_完勝: 好耶，大獲全勝！
MID_リザルト_ロビン_辛勝: 呼，好險喔……
MID_リザルト_ロビン_死亡: 這是……騙人的吧……
MID_リザルト_ロビン_死亡_1: 咦？騙人的吧？格萊……快醒醒啊……
MID_リザルト_クリフ_完勝: 根本不是我們的敵手呢。
MID_リザルト_クリフ_辛勝: 像這樣充滿刺激感也不錯吧？
MID_リザルト_クリフ_死亡: 雖然贏了……但實在難受……
MID_リザルト_エフィ_完勝: 贏得真輕鬆，都是因為阿雷武很強嘛。
MID_リザルト_エフィ_辛勝: 幸好阿雷武平安無事……
MID_リザルト_エフィ_死亡: 結果變成這樣……真教人傷心……
MID_リザルト_シルク_完勝: 是美拉大人守護了我們吧！
MID_リザルト_シルク_辛勝: 總算贏了……
MID_リザルト_シルク_死亡: 至少讓我們向美拉大人祈禱吧……
MID_リザルト_クレア_完勝: 真是完美的勝利，就如同我一樣！
MID_リザルト_クレア_辛勝: 希望下次能贏得更漂亮呢。
MID_リザルト_クレア_死亡: 這種勝利，一點都不令人高興……
MID_リザルト_クレア_死亡_1: 哥哥……？這是……騙人的吧……！！
MID_リザルト_クレーベ_完勝: 這場完美的勝利太適合我們了。
MID_リザルト_クレーベ_辛勝: 真想更從容地獲勝。
MID_リザルト_クレーベ_死亡: 戰鬥總是伴隨著犧牲……
MID_リザルト_クレーベ_死亡_1: 克萊爾……！啊……怎麼會這樣……
MID_リザルト_クレーベ_死亡_2: 瑪蒂爾達……！失去了妳，我該如何活下去才好！？
MID_リザルト_フォルス_完勝: 真希望每次都能像這樣優雅地獲勝呢。
MID_リザルト_フォルス_辛勝: 真希望能更有效率地戰鬥呢。
MID_リザルト_フォルス_死亡: 我明白戰爭本就無情，但……
MID_リザルト_フォルス_死亡_1: 克雷貝大人！啊……我該怎麼辦……
MID_リザルト_フォルス_死亡_2: 喂，帕伊宋……別開玩笑了……
MID_リザルト_パイソン_完勝: 要是每次都像這樣輕鬆就好了。
MID_リザルト_パイソン_辛勝: 唉，累死了……
MID_リザルト_パイソン_死亡: 抱歉，我沒能守住……
MID_リザルト_パイソン_死亡_1: 弗魯斯，你……到底在幹嘛啊……
MID_リザルト_リュート_完勝: 這是當然的，因為有我在啊。
MID_リザルト_リュート_辛勝: 是誰扯我後腿啊……
MID_リザルト_リュート_死亡: 完全高興不起來……
MID_リザルト_リュート_死亡_1: 迪優特！！不可能，妳快張開眼……！
MID_リザルト_マチルダ_完勝: 這就是我們的實力。
MID_リザルト_マチルダ_辛勝: 真是場教訓慘痛的勝利啊。
MID_リザルト_マチルダ_死亡: 即使如此，我們仍必須前進……
MID_リザルト_マチルダ_死亡_1: 啊……騙人的吧？克雷貝……！！
MID_リザルト_デューテ_完勝: 太好了，都是多虧我的表現喔。
MID_リザルト_デューテ_辛勝: 呼……贏得真驚險呢。
MID_リザルト_デューテ_死亡: 怎麼會……不要啊……
MID_リザルト_デューテ_死亡_1: 不要，哥哥！我不要你死――！！
MID_リザルト_ティータ_完勝: 這是大家一起獲得的勝利。
MID_リザルト_ティータ_辛勝: 算了，反正贏了就好，對吧？
MID_リザルト_ティータ_死亡: 為什麼沒能保護得了呢……
MID_リザルト_ティータ_死亡_1: 吉克！不要啊，吉克！！
MID_リザルト_ジーク_完勝: 贏得真爽快。
MID_リザルト_ジーク_辛勝: 真是場值得學習的戰鬥。
MID_リザルト_ジーク_死亡: 雖說不得已，但內心好難受啊……
MID_リザルト_ジーク_死亡_1: 蒂塔……啊……要是少了妳，我……
MID_リザルト_マイセン_完勝: 嗯，贏得漂亮。
MID_リザルト_マイセン_辛勝: 看來又得重新鍛鍊了。
MID_リザルト_マイセン_死亡: 無論經歷多少次，還是無法習慣夥伴死去……
MID_リザルト_マイセン_死亡_1: 賽莉卡……妳的人生現在才要開始不是嗎……！
MID_リザルト_セリカ_完勝: 是美拉大人守護了我們吧。
MID_リザルト_セリカ_辛勝: 總算贏了……大家沒事吧？
MID_リザルト_セリカ_死亡: 即使如此我還是得往前邁進……
MID_リザルト_メイ_完勝: 太好了，大獲全勝！
MID_リザルト_メイ_辛勝: 呼哇――好險喔！
MID_リザルト_メイ_死亡: 這也是美拉大人的考驗嗎……
MID_リザルト_メイ_死亡_1: 波伊……你到底在幹什麼啊……！
MID_リザルト_ボーイ_完勝: 真希望每次都能這樣。
MID_リザルト_ボーイ_辛勝: 呼……嚇死我了。
MID_リザルト_ボーイ_死亡: 贏是贏了，但好痛苦……
MID_リザルト_ボーイ_死亡_1: 喂，梅、梅伊……這可不好笑啊……
MID_リザルト_ジェニー_完勝: 嘿嘿嘿……我很努力了吧？
MID_リザルト_ジェニー_辛勝: 呼……緊張死了……
MID_リザルト_ジェニー_死亡: 怎麼會……我不要啊……
MID_リザルト_コンラート_完勝: 因為有我在，這結果理所當然。
MID_リザルト_コンラート_辛勝: 如履薄冰的勝利啊，得再精進……
MID_リザルト_コンラート_死亡: 雖說戰鬥總是伴隨犧牲，但……
MID_リザルト_コンラート_死亡_1: 安蒂潔……我明明只是希望妳能幸福……！
MID_リザルト_セーバー_完勝: 真希望每次都像這樣輕鬆獲勝。
MID_リザルト_セーバー_辛勝: 哎呀，贏了就是贏了。
MID_リザルト_セーバー_死亡: 贏是贏了，但真難受啊……
MID_リザルト_セーバー_死亡_1: 大小姐……希望妳能得到幸福啊。
MID_リザルト_バルボ_完勝: 只要有我在，這不過是小事一樁。
MID_リザルト_バルボ_辛勝: 呼，有點不妙呢。
MID_リザルト_バルボ_死亡: 對不起，沒能保護得了……
MID_リザルト_カムイ_完勝: 能輕鬆獲勝的感覺真棒。
MID_リザルト_カムイ_辛勝: 唉――感覺莫名得累啊。
MID_リザルト_カムイ_死亡: ……唉，任誰都會死的啦。
MID_リザルト_レオ_完勝: 呵呵呵，人家真是太完美了――
MID_リザルト_レオ_辛勝: 討厭，害人家緊張死了。
MID_リザルト_レオ_死亡: 對不起啊，沒能幫上忙……
MID_リザルト_レオ_死亡_1: 不要啊，大哥！這教人家該為何而戰！？
MID_リザルト_パオラ_完勝: 好耶，這可是完美的勝利！
