MESS_ARCHIVE_ラムの村_C


Message Name: Message


MID_ADV_C_クリフ仲間入り会話1_アルム: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_00|我也可以去。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_01|解放軍正在整個\n索菲亞戰鬥吧？$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_02|$E笑,|只要想說可以環遊世界，\n那也不錯。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_03|雖然也許會死掉。$k
MID_ADV_C_クリフ_SELECT: 要讓克里夫成為夥伴嗎？
MID_ADV_C_クリフ2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV3_QULYF2_00|$E通常,|……好吧。$k$p$SvpV_SC_1_09_ADV3_QULYF2_01|無所謂。\n我其實也不是非去不可。$k
MID_ADV_C_クリフ仲間入り会話2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……什麼？\n我可以跟去嗎？$k
MID_ADV_C_クリフ仲間入り会話1_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_00|$E驚,|……太驚訝了。\n妳是賽莉卡吧？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_01|$E笑,|好久不見。\n妳平安回來啦。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_02|$E通常,|阿雷武他們……\n發生了好多事，現在不在村裡。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_03|瑪伊森先生也不知上哪去了。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_04|$E悲,|唉……$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_05|本來這村子就什麼都沒有，\n這下更無聊了。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_06|$E通常,|賽莉卡在去哪邊的路上嗎？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_07|$E笑,|如果可以，\n也帶我去吧。$k
MID_ADV_C_クリフ1_SELECT_セリカ: 要讓克里夫成為夥伴嗎？
MID_ADV_C_クリフ2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV1_QULYF2_00|$E通常,|……好吧。$k$p$SvpV_SC_2_13_ADV1_QULYF2_01|無所謂。\n我其實也不是非去不可。$k
MID_ADV_C_クリフ仲間入り会話2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……什麼？\n我可以跟去嗎？$k
MID_ADV_C_エフィ仲間入り会話1_アルム: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$Wv$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_00|$Eキメ,|哇！我也要去！$k$p$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_01|如果阿雷武要去，\n不管是哪我都要一起去！$k
MID_ADV_C_エフィ_SELECT: 要讓艾菲成為夥伴嗎？
MID_ADV_C_エフィ2: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$SvpV_SC_1_09_ADV3_EFI2_00|$E悲,|是嗎……$k$p$SvpV_SC_1_09_ADV3_EFI2_01|既然阿雷武那樣說的話，\n我就在這裡等。$k$p$SvpV_SC_1_09_ADV3_EFI2_02|$E特殊1,|我會一直等著\n阿雷武的歸來……$k
